nome,nota,setor,data_ingestao
Embraer,"4,3",Aeroespaço e defesa,2025-04-08
GE Aerospace,"4,1",Aeroespaço e defesa,2025-04-08
Airbus,"3,4",Aeroespaço e defesa,2025-04-08
Rolls-Royce,"4,0",Aeroespaço e defesa,2025-04-08
Lockheed Martin,"4,1",Aeroespaço e defesa,2025-04-08
Atech,"4,4",Aeroespaço e defesa,2025-04-08
US Department of Defense,"4,0",Aeroespaço e defesa,2025-04-08
Sapura,"4,1",Aeroespaço e defesa,2025-04-08
Naval Group,"4,0",Aeroespaço e defesa,2025-04-08
NASA Jet Propulsion Laboratory,"4,1",Aeroespaço e defesa,2025-04-08
ManTech,"4,2",Aeroespaço e defesa,2025-04-08
Moog Inc.,"4,1",Aeroespaço e defesa,2025-04-08
KBR,"4,1",Aeroespaço e defesa,2025-04-08
BOSH Technology,"4,4",Aeroespaço e defesa,2025-04-08
Leonardo DRS,"4,0",Aeroespaço e defesa,2025-04-08
SRC,"4,0",Aeroespaço e defesa,2025-04-08
ENSCO,"4,0",Aeroespaço e defesa,2025-04-08
Sierra Nevada Corporation,"4,0",Aeroespaço e defesa,2025-04-08
Aeromot,"4,2",Aeroespaço e defesa,2025-04-08
CNA Corporation,"4,3",Aeroespaço e defesa,2025-04-08
MTU Aero Engines,"4,0",Aeroespaço e defesa,2025-04-08
DLR,"4,2",Aeroespaço e defesa,2025-04-08
MIT Lincoln Laboratory,"4,5",Aeroespaço e defesa,2025-04-08
FACC,"4,0",Aeroespaço e defesa,2025-04-08
AGM,"4,0",Aeroespaço e defesa,2025-04-08
L&L Products,"4,1",Aeroespaço e defesa,2025-04-08
a i solutions,"4,5",Aeroespaço e defesa,2025-04-08
European Space Agency,"4,2",Aeroespaço e defesa,2025-04-08
Qualis,"4,0",Aeroespaço e defesa,2025-04-08
Extreme Engineering Solutions (X-ES),"4,3",Aeroespaço e defesa,2025-04-08
"Systems Planning and Analysis, Inc.","4,2",Aeroespaço e defesa,2025-04-08
Tuto Digital,"4,4",Aeroespaço e defesa,2025-04-08
Royal Canadian Air Force,"4,0",Aeroespaço e defesa,2025-04-08
Thales Defense & Security,"4,1",Aeroespaço e defesa,2025-04-08
COMAC,"4,3",Aeroespaço e defesa,2025-04-08
Patria,"4,1",Aeroespaço e defesa,2025-04-08
TMA,"4,0",Aeroespaço e defesa,2025-04-08
ONERA,"4,2",Aeroespaço e defesa,2025-04-08
Astranis,"4,1",Aeroespaço e defesa,2025-04-08
Amazonaves Táxi Aéreo,"4,7",Aeroespaço e defesa,2025-04-08
Navarro Research and Engineering,"4,6",Aeroespaço e defesa,2025-04-08
Premium AEROTEC,"4,0",Aeroespaço e defesa,2025-04-08
Satair,"4,0",Aeroespaço e defesa,2025-04-08
Astronautics,"4,2",Aeroespaço e defesa,2025-04-08
IronMountain Solutions,"4,3",Aeroespaço e defesa,2025-04-08
Abaeté Aviação,"4,1",Aeroespaço e defesa,2025-04-08
Flapper,"4,4",Aeroespaço e defesa,2025-04-08
ARES Corporation,"4,1",Aeroespaço e defesa,2025-04-08
Tecnova India,"4,0",Aeroespaço e defesa,2025-04-08
Cobec Consulting,"4,7",Aeroespaço e defesa,2025-04-08
Subaru Corporation,"4,0",Aeroespaço e defesa,2025-04-08
Sawdey Solution Services,"4,1",Aeroespaço e defesa,2025-04-08
Vertical do Ponto,"4,2",Aeroespaço e defesa,2025-04-08
Bastion Technologies,"4,3",Aeroespaço e defesa,2025-04-08
ARServices,"4,0",Aeroespaço e defesa,2025-04-08
Arcata,"4,1",Aeroespaço e defesa,2025-04-08
Brahmayya,"4,3",Aeroespaço e defesa,2025-04-08
