nome,nota,setor,data_ingestao
MaxMilhas  ,"4,3",Agências de viagens,2025-04-08
Flytour,"4,0",Agências de viagens,2025-04-08
Copastur,"4,2",Agências de viagens,2025-04-08
STB,"4,1",Agências de viagens,2025-04-08
Amo Promo,"4,3",Agências de viagens,2025-04-08
Celebrity Cruises,"4,0",Agências de viagens,2025-04-08
Primetour,"4,1",Agências de viagens,2025-04-08
American Express Global Business Travel,"4,1",Agências de viagens,2025-04-08
Zarpo Viagens,"4,1",Agências de viagens,2025-04-08
Montreal Clube de Hospedagem,"4,3",Agências de viagens,2025-04-08
Peek,"4,1",Agências de viagens,2025-04-08
G Adventures,"4,1",Agências de viagens,2025-04-08
Viajar Faz Bem SBTUR,"4,1",Agências de viagens,2025-04-08
GR GROUP (Brazil),"4,1",Agências de viagens,2025-04-08
LuxuryEscapes,"4,0",Agências de viagens,2025-04-08
Country Holidays Travel,"4,8",Agências de viagens,2025-04-08
Carlson Wagonlit Travel,"4,0",Agências de viagens,2025-04-08
Portão 3,"4,6",Agências de viagens,2025-04-08
DFDS,"4,0",Agências de viagens,2025-04-08
Global Tiket Network,"4,2",Agências de viagens,2025-04-08
Kuoni Tumlare,"4,0",Agências de viagens,2025-04-08
Zupper,"4,5",Agências de viagens,2025-04-08
Rate Hawk,"4,0",Agências de viagens,2025-04-08
TourRadar,"4,0",Agências de viagens,2025-04-08
Premier Turismo,"4,5",Agências de viagens,2025-04-08
MAMA Shelter,"4,3",Agências de viagens,2025-04-08
Ventura TRAVEL,"4,8",Agências de viagens,2025-04-08
Wings Global Travel,"4,1",Agências de viagens,2025-04-08
TripHobo,"4,3",Agências de viagens,2025-04-08
Overseas Leisure Group,"4,4",Agências de viagens,2025-04-08
Abbey Group,"4,0",Agências de viagens,2025-04-08
Overseas Network,"4,2",Agências de viagens,2025-04-08
Comtravo,"4,3",Agências de viagens,2025-04-08
ACIS,"4,0",Agências de viagens,2025-04-08
Mize,"5,0",Agências de viagens,2025-04-08
Cabana,"4,7",Agências de viagens,2025-04-08
Ōner Travel,"4,8",Agências de viagens,2025-04-08
Idex,"4,0",Agências de viagens,2025-04-08
Wtt,"4,2",Agências de viagens,2025-04-08
Costa Verde Transportes,"4,9",Agências de viagens,2025-04-08
Eucatur,"4,2",Agências de viagens,2025-04-08
South America.travel,"4,3",Agências de viagens,2025-04-08
Tvlx Viagens E Turismo,"4,7",Agências de viagens,2025-04-08
VMZ Viagens,"5,0",Agências de viagens,2025-04-08
Malapronta,"4,0",Agências de viagens,2025-04-08
DELTA TOUR & TRAVEL SERVICES,"4,6",Agências de viagens,2025-04-08
MMC Turismo Receptivo,"4,1",Agências de viagens,2025-04-08
Natal Viagens,"5,0",Agências de viagens,2025-04-08
Transnorte,"4,0",Agências de viagens,2025-04-08
Vermari Business Travel,"4,7",Agências de viagens,2025-04-08
Rbarcos,"4,4",Agências de viagens,2025-04-08
Breng,"5,0",Agências de viagens,2025-04-08
Mike Service,"5,0",Agências de viagens,2025-04-08
ÁGUIA TURISMO,"5,0",Agências de viagens,2025-04-08
Bukly Reservation System,"5,0",Agências de viagens,2025-04-08
New Universe,"4,0",Agências de viagens,2025-04-08
Pacto,"5,0",Agências de viagens,2025-04-08
BVT Viagens,"5,0",Agências de viagens,2025-04-08
Martravel,"5,0",Agências de viagens,2025-04-08
Brazil Exclusive Travels,"5,0",Agências de viagens,2025-04-08
Brasventur,"5,0",Agências de viagens,2025-04-08
BR TRIO Eventos & Turismo,"5,0",Agências de viagens,2025-04-08
Smiles Viagens e Turismo,"4,0",Agências de viagens,2025-04-08
Incomum Viagens,"5,0",Agências de viagens,2025-04-08
Viação Calvip,"5,0",Agências de viagens,2025-04-08
Vamo,"4,0",Agências de viagens,2025-04-08
