nome,nota,setor,data_ingestao
Tribunal de Justiça de Minas Gerais (TJMG),"4,5",Agências estaduais e regionais,2025-04-08
Tribunal de Justiça do Estado do Rio de janeiro,"4,6",Agências estaduais e regionais,2025-04-08
VFS Global,"4,1",Agências estaduais e regionais,2025-04-08
Polícia Rodoviária Federal (PRF),"4,6",Agências estaduais e regionais,2025-04-08
Casa da Moeda do Brasil,"4,3",Agências estaduais e regionais,2025-04-08
Tribunal de Justiça do Estado do Pará (TJPA),"4,6",Agências estaduais e regionais,2025-04-08
SES DF,"4,0",Agências estaduais e regionais,2025-04-08
Governo do Estado da Bahia,"4,2",Agências estaduais e regionais,2025-04-08
Governo do Rio Grande do Sul,"4,1",Agências estaduais e regionais,2025-04-08
Palácio da Justiça do Estado do Rio de Janeiro,"4,5",Agências estaduais e regionais,2025-04-08
Instituto de Tecnologia de Alimentos (ITAL),"4,0",Agências estaduais e regionais,2025-04-08
Army National Guard,"4,2",Agências estaduais e regionais,2025-04-08
Secretaria Estadual de Segurança Pública,"4,7",Agências estaduais e regionais,2025-04-08
ACT Auditor-General's Office,"4,2",Agências estaduais e regionais,2025-04-08
Instituto Agronomico,"4,4",Agências estaduais e regionais,2025-04-08
"Agência Amazonense de Desenvolvimento Econômico, Social e Ambiental","4,3",Agências estaduais e regionais,2025-04-08
TRE-RN,"4,7",Agências estaduais e regionais,2025-04-08
Governo do Estado do Pará,"4,5",Agências estaduais e regionais,2025-04-08
Tribunal Regional Federal da 6ª Região,"4,2",Agências estaduais e regionais,2025-04-08
Educational Service Center of Central Ohio,"4,1",Agências estaduais e regionais,2025-04-08
Seplad - Secretaria de Estado de Planejamento e Administração,"4,7",Agências estaduais e regionais,2025-04-08
Departamento Estadual de Proteção e Defesa ao Consumidor,"4,5",Agências estaduais e regionais,2025-04-08
Instituto de Terras do Pará,"4,9",Agências estaduais e regionais,2025-04-08
Defensoria Pública do Estado de Goiás,"4,5",Agências estaduais e regionais,2025-04-08
Secretaria de Estado de Assistência Social e Cidadania,"4,4",Agências estaduais e regionais,2025-04-08
Conselho Regional de Fisioterapia e Terapia Ocupacional da 2ª,"4,4",Agências estaduais e regionais,2025-04-08
Assembleia Legislativa do Estado de Rondônia,"4,8",Agências estaduais e regionais,2025-04-08
"Secretaria de Justiça, Cidadania e Direitos Humanos","4,1",Agências estaduais e regionais,2025-04-08
Secretaria de Educação de Goiás,"4,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado da Administração Prisional e Socioeducativa,"4,4",Agências estaduais e regionais,2025-04-08
Secretaria de Estado de Desenvolvimento Econômico,"4,8",Agências estaduais e regionais,2025-04-08
Vapt Vupt,"4,5",Agências estaduais e regionais,2025-04-08
Assembleia Legislativa do Estado de Sergipe,"4,5",Agências estaduais e regionais,2025-04-08
AEMC,"4,2",Agências estaduais e regionais,2025-04-08
Procuradoria-Geral do Estado de Goiás,"4,9",Agências estaduais e regionais,2025-04-08
Secretaria do Meio Ambiente do Ceará,"4,2",Agências estaduais e regionais,2025-04-08
"Secretaria de Meio Ambiente, Infraestrutura e Logística","4,0",Agências estaduais e regionais,2025-04-08
Governo de Roraima,"4,0",Agências estaduais e regionais,2025-04-08
Defensoria Pública do Estado de Sergipe,"4,6",Agências estaduais e regionais,2025-04-08
Defensoria Pública Geral do Estado de Mato Grosso do Sul,"5,0",Agências estaduais e regionais,2025-04-08
Controladoria Geral do Estado do Rio de Janeiro,"4,5",Agências estaduais e regionais,2025-04-08
ACCG,"4,3",Agências estaduais e regionais,2025-04-08
Secretaria de Segurança Publica do Tocantins,"4,0",Agências estaduais e regionais,2025-04-08
Georgia Federal-State Inspection Service,"4,1",Agências estaduais e regionais,2025-04-08
Superintendência de Obras Públicas,"4,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado do Desenvolvimento Urbano e Sustentabilidade,"4,3",Agências estaduais e regionais,2025-04-08
Paraíba Previdência,"4,6",Agências estaduais e regionais,2025-04-08
Ministerio de Industria y Comercio,"4,1",Agências estaduais e regionais,2025-04-08
Beto for Texas,"4,6",Agências estaduais e regionais,2025-04-08
Ada County Paramedics,"4,3",Agências estaduais e regionais,2025-04-08
North Dakota Department of Health,"4,5",Agências estaduais e regionais,2025-04-08
Junta Comercial do Estado do Ceará,"4,7",Agências estaduais e regionais,2025-04-08
"Fundação Desenvolvimento da Criança e do Adolescente ""Alice de Almeida""","5,0",Agências estaduais e regionais,2025-04-08
Procuradoria Regional do Trabalho da 3° Região,"4,6",Agências estaduais e regionais,2025-04-08
Secretaria de Estado de Fazenda,"5,0",Agências estaduais e regionais,2025-04-08
CAR,"4,8",Agências estaduais e regionais,2025-04-08
AGERSA,"4,7",Agências estaduais e regionais,2025-04-08
Procuradoria Regional da Republica 1ª Região,"4,6",Agências estaduais e regionais,2025-04-08
ADAGRI,"4,6",Agências estaduais e regionais,2025-04-08
9º Ofício de Registro de Imóveis,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado da Fazenda,"4,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado de Agricultura Familiar,"5,0",Agências estaduais e regionais,2025-04-08
SECRETARIA DO DESENVOLVIMENTO ECONÔMICO E TRABALHO DO ESTADO DO CEARÁ,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado da Saúde de Roraima,"4,6",Agências estaduais e regionais,2025-04-08
Polícia Científica,"5,0",Agências estaduais e regionais,2025-04-08
IPE Saúde,"5,0",Agências estaduais e regionais,2025-04-08
Companhia de Água e Esgoto do Amapá,"4,3",Agências estaduais e regionais,2025-04-08
Fundação Parapaz,"4,4",Agências estaduais e regionais,2025-04-08
Cartório do 10º Ofício de Notas e Protesto de Ceilândia-DF,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado de Prevenção à Violência,"4,5",Agências estaduais e regionais,2025-04-08
Controladoria-Geral do Estado Santa Catarina,"5,0",Agências estaduais e regionais,2025-04-08
Conselho Regional de Psicologia RS,"4,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado da Fazenda (João Pessoa),"4,5",Agências estaduais e regionais,2025-04-08
Jucetins,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria da Saúde do Ceará,"5,0",Agências estaduais e regionais,2025-04-08
Instituto de Cardiologia de Santa Catarina,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria de Gestão e Governo Digital,"4,5",Agências estaduais e regionais,2025-04-08
ACAM Portinari,"5,0",Agências estaduais e regionais,2025-04-08
"Laboratório de Reciclagem, Tratamento de Resíduos e Extração","4,7",Agências estaduais e regionais,2025-04-08
Prefeitura Periquito,"4,1",Agências estaduais e regionais,2025-04-08
Arsepam Amazonas,"4,2",Agências estaduais e regionais,2025-04-08
Instituto Pasteur,"4,6",Agências estaduais e regionais,2025-04-08
Conselho Regional de Medicina do Maranhão,"4,0",Agências estaduais e regionais,2025-04-08
Departamento de Higiene e Saúde de Pompeia,"5,0",Agências estaduais e regionais,2025-04-08
A União,"4,5",Agências estaduais e regionais,2025-04-08
Conselho Regional de Engenharia e Agronomia do Maranhão(CREA/MA),"4,5",Agências estaduais e regionais,2025-04-08
Receita Estadual do Rio Grande do Sul,"4,0",Agências estaduais e regionais,2025-04-08
Agência SPRegula,"4,0",Agências estaduais e regionais,2025-04-08
Conselho Regional de Odontologia de Mato Grosso do Sul,"5,0",Agências estaduais e regionais,2025-04-08
Ministério Público de Contas do Estado de Rondônia,"5,0",Agências estaduais e regionais,2025-04-08
Tribunal Regional Eleitoral de Roraima,"4,0",Agências estaduais e regionais,2025-04-08
Superintendência Regional de Ensino em Teófilo Otoni,"4,0",Agências estaduais e regionais,2025-04-08
State Government of Paraíba,"4,0",Agências estaduais e regionais,2025-04-08
Conselho Regional de Farmácia do Estado de Santa Catarina,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria de Segurança Pública do Estado do Piauí,"5,0",Agências estaduais e regionais,2025-04-08
Conselho Estadual de Educação de Minas Gerais,"5,0",Agências estaduais e regionais,2025-04-08
"Secretaria de Estado de Ciência,Tecnologia e Inovação","4,0",Agências estaduais e regionais,2025-04-08
Comunidade Cristã Paz e Vida Ministério Zona Sul,"4,0",Agências estaduais e regionais,2025-04-08
Instituto de Identificação Pedro Mello,"4,1",Agências estaduais e regionais,2025-04-08
CODEG,"5,0",Agências estaduais e regionais,2025-04-08
Prudenprev,"5,0",Agências estaduais e regionais,2025-04-08
Açucena,"4,0",Agências estaduais e regionais,2025-04-08
Institute of Protest Studies for Brazilian Securities - São Paulo Section,"4,4",Agências estaduais e regionais,2025-04-08
Autarquia de Desenvolvimento Sustentável e Limpeza Urbana,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria de Estado da Educação e Esporte do Paraná,"5,0",Agências estaduais e regionais,2025-04-08
Secretaria de Infraestrutura e Cidades RJ,"4,0",Agências estaduais e regionais,2025-04-08
secretaria de desenvolvimento urbano de teresina,"5,0",Agências estaduais e regionais,2025-04-08
Superintendência Regional de Ensino de Ituiutaba Centro,"5,0",Agências estaduais e regionais,2025-04-08
Consorcio Intermunicipal De Saúde Do Litoral Do Paraná,"5,0",Agências estaduais e regionais,2025-04-08
Portal do Servidor,"5,0",Agências estaduais e regionais,2025-04-08
Agencia estadial de Metrologia do Tocantins,"5,0",Agências estaduais e regionais,2025-04-08
Conselho de Arquitetura e Urbanismo do Maranhão,"4,0",Agências estaduais e regionais,2025-04-08
