nome,nota,setor,data_ingestao
Tribunal de Justiça do Estado de São Paulo (TJSP),"4,2",Agências municipais,2025-04-08
Prefeitura de Belo Horizonte,"4,2",Agências municipais,2025-04-08
Cidade de Sao Paulo,"4,2",Agências municipais,2025-04-08
Prefeitura de São Bernardo do Campo,"4,0",Agências municipais,2025-04-08
Instituto Água e Terra,"4,5",Agências municipais,2025-04-08
SEMSA,"4,4",Agências municipais,2025-04-08
Prefeitura de Jundiaí Unidade de Gestão de Educação,"4,0",Agências municipais,2025-04-08
"Secretaria Municipal de, Belém","4,3",Agências municipais,2025-04-08
Unimed Campinas,"4,3",Agências municipais,2025-04-08
Prefeitura Municipal de Teresopolis,"4,6",Agências municipais,2025-04-08
Conam Consultoria em Administração Municipal,"4,1",Agências municipais,2025-04-08
Secretarias - Prefeitura de Osasco,"4,2",Agências municipais,2025-04-08
Comissão de Valores Mobiliários,"4,5",Agências municipais,2025-04-08
Tribunal de Contas do Estado de São Paulo,"4,4",Agências municipais,2025-04-08
Instituto de Desenvolvimento Rural do Paraná,"4,0",Agências municipais,2025-04-08
Secretaria de Desenvolvimento Urbano e Habitação,"4,1",Agências municipais,2025-04-08
Hospital Metropolitano Odilon Behrens,"4,2",Agências municipais,2025-04-08
Secretária de Assistência social,"4,8",Agências municipais,2025-04-08
TIPLAN,"4,3",Agências municipais,2025-04-08
Secretaria de Desenvolvimento Social,"4,5",Agências municipais,2025-04-08
Secretaria de Finanças da Prefeitura de Osasco,"4,3",Agências municipais,2025-04-08
Prefeitura palmas,"4,1",Agências municipais,2025-04-08
Prefeitura de Cuiabá Secretaria Municipal de Ordem Pública,"4,5",Agências municipais,2025-04-08
Prefeitura da Estância Turística de Salto,"4,4",Agências municipais,2025-04-08
Prefeitura Municipal de Franca,"4,3",Agências municipais,2025-04-08
MTI - Empresa Mato-grossense de Tecnologia da Informação,"4,5",Agências municipais,2025-04-08
Empresa Pública de Transporte e Circulação (Brazil),"4,2",Agências municipais,2025-04-08
Secretaria de Planejamento e Gestão de Mato Grosso,"4,4",Agências municipais,2025-04-08
Mesa,"4,0",Agências municipais,2025-04-08
Empresa Gestora de Ativos,"4,3",Agências municipais,2025-04-08
Prefeitura de Sorocaba Secretaria da Habitação e Regularização Fundiária,"4,5",Agências municipais,2025-04-08
Brighton Hove Council,"4,1",Agências municipais,2025-04-08
City of Tempe,"4,3",Agências municipais,2025-04-08
Secretaria Municipal da Fazenda de São Paulo,"4,5",Agências municipais,2025-04-08
Niterói Prev (Brazil),"4,5",Agências municipais,2025-04-08
Prefeitura De Araguaina Secretaria Municipal de Saúde,"4,0",Agências municipais,2025-04-08
Secretaria Municipal de Saúde de Maceió,"4,1",Agências municipais,2025-04-08
Salinas,"4,3",Agências municipais,2025-04-08
Prefeitura de Maceió Secretaria Adjunta Especial de Defesa Civil,"4,2",Agências municipais,2025-04-08
Centro Estadual de Vigilância em Saúde,"4,5",Agências municipais,2025-04-08
TFA,"4,0",Agências municipais,2025-04-08
Polícia Científica de Santa Catarina,"4,3",Agências municipais,2025-04-08
"Pinal County, Arizona","4,2",Agências municipais,2025-04-08
Consórcio Intermunicipal do Oeste Paulista,"4,2",Agências municipais,2025-04-08
Secretaria Municipal da Fazenda - SEFAZ,"4,5",Agências municipais,2025-04-08
Defensoria Pública do Estado de Roraima (Brazil),"4,6",Agências municipais,2025-04-08
Prefeitura Municipal de Goiana,"4,1",Agências municipais,2025-04-08
Prefeitura de Guaíra,"4,0",Agências municipais,2025-04-08
"Prefeitura de Goiânia Agência Municipal de Turismo, Eventos e Lazer","4,5",Agências municipais,2025-04-08
Câmara Municipal de Sumaré,"4,5",Agências municipais,2025-04-08
Prefeitura Municipal de Igarassu,"4,3",Agências municipais,2025-04-08
CISBAF,"4,4",Agências municipais,2025-04-08
Secretaria da Administração Penitênciaria,"4,0",Agências municipais,2025-04-08
"Secretaria de Planejamento, Governança e Gestão","4,2",Agências municipais,2025-04-08
Rede Cruzada,"4,3",Agências municipais,2025-04-08
Prefeitura de Ananindeua Secretaria Municipal de Saneamento e Infraestrutura,"4,1",Agências municipais,2025-04-08
Prefeitura de Maracanaú Secretaria de Recursos Humanos e Patrimoniais,"4,3",Agências municipais,2025-04-08
Empresa de Tecnologia da Informação do Ceará,"5,0",Agências municipais,2025-04-08
Tribunal de Justica do Estado do Parana,"4,8",Agências municipais,2025-04-08
PRODAP (Brazil),"4,1",Agências municipais,2025-04-08
Prefeitura de Jacareí Secretaria de Saúde,"4,8",Agências municipais,2025-04-08
