nome,nota,setor,data_ingestao
Syngenta,"4,0",Agricultura,2025-04-08
Klabin,"4,0",Agricultura,2025-04-08
Louis Dreyfus Company,"4,1",Agricultura,2025-04-08
Tereos,"4,0",Agricultura,2025-04-08
Amaggi,"4,2",Agricultura,2025-04-08
UPL,"4,1",Agricultura,2025-04-08
Coamo,"4,4",Agricultura,2025-04-08
Arauco,"4,1",Agricultura,2025-04-08
Citrosuco,"4,1",Agricultura,2025-04-08
Jacto Agrícola,"4,1",Agricultura,2025-04-08
Sadia,"4,2",Agricultura,2025-04-08
Pioneer,"4,3",Agricultura,2025-04-08
Caramuru,"4,2",Agricultura,2025-04-08
Grupo SLC,"4,1",Agricultura,2025-04-08
SLC Agrícola,"4,4",Agricultura,2025-04-08
KWS Group,"4,1",Agricultura,2025-04-08
Alltech,"4,1",Agricultura,2025-04-08
Jalles,"4,1",Agricultura,2025-04-08
Kepler Weber,"4,2",Agricultura,2025-04-08
Copersucar,"4,0",Agricultura,2025-04-08
Scheffer,"4,1",Agricultura,2025-04-08
DOF Group,"4,6",Agricultura,2025-04-08
Ourofino Agrociência,"4,0",Agricultura,2025-04-08
Cocal Energia Responsável,"4,3",Agricultura,2025-04-08
Aegro,"4,3",Agricultura,2025-04-08
Agrex do Brasil,"4,0",Agricultura,2025-04-08
3 Tentos Agroindustrial,"4,3",Agricultura,2025-04-08
Agroceres,"4,2",Agricultura,2025-04-08
Cooperativa Central dos Produtores Rurais de Minas Gerais (CCPR),"4,4",Agricultura,2025-04-08
Arysta LifeScience,"4,3",Agricultura,2025-04-08
J.Assy,"4,0",Agricultura,2025-04-08
Fiagril Participações,"4,1",Agricultura,2025-04-08
Chethan's Charters- GD FEA Employer,"4,3",Agricultura,2025-04-08
HM.CLAUSE,"4,1",Agricultura,2025-04-08
Koppert Biological Systems,"4,0",Agricultura,2025-04-08
Novus International,"4,0",Agricultura,2025-04-08
Alliance One,"4,0",Agricultura,2025-04-08
Nater Coop,"4,3",Agricultura,2025-04-08
Ouro Safra,"4,1",Agricultura,2025-04-08
Cobb-Vantress,"4,0",Agricultura,2025-04-08
Netafim,"4,1",Agricultura,2025-04-08
Alta Genetics,"4,0",Agricultura,2025-04-08
Biomin,"4,4",Agricultura,2025-04-08
Fundepag,"4,1",Agricultura,2025-04-08
Agrocete Indústria de Fertilizantes,"4,2",Agricultura,2025-04-08
Terrena,"4,2",Agricultura,2025-04-08
Mrs. Fields Famous Brands,"4,1",Agricultura,2025-04-08
MilkPoint Ventures,"4,1",Agricultura,2025-04-08
Sementes São Francisco,"4,8",Agricultura,2025-04-08
Grupo Conceito,"4,4",Agricultura,2025-04-08
Arla Foods,"4,1",Agricultura,2025-04-08
Big Dutchman,"4,0",Agricultura,2025-04-08
Bunge Latin America,"4,1",Agricultura,2025-04-08
Taranis,"4,0",Agricultura,2025-04-08
La Vita Alimentos Agroindústria,"4,2",Agricultura,2025-04-08
Nardini Agroindustrial,"4,4",Agricultura,2025-04-08
Cooperflora,"4,6",Agricultura,2025-04-08
Advanced Nutrients,"4,5",Agricultura,2025-04-08
Drakkar Solos,"4,2",Agricultura,2025-04-08
Cooperativa Tritícola Santa Rosa,"4,1",Agricultura,2025-04-08
Serviço Nacional de Aprendizagem Rural,"4,1",Agricultura,2025-04-08
Vaccinar Nutrição e Saúde Animal,"4,4",Agricultura,2025-04-08
Rijk Zwaan,"4,4",Agricultura,2025-04-08
SeedcorpHO,"4,6",Agricultura,2025-04-08
Basso Pancotte,"4,5",Agricultura,2025-04-08
Trebeschi Tomates,"4,0",Agricultura,2025-04-08
Liquid Consulting,"4,3",Agricultura,2025-04-08
Case IH,"4,0",Agricultura,2025-04-08
Milagro Agro Brasil,"4,0",Agricultura,2025-04-08
Tama Brasil Indústria de Soluções em Embalagens Agrícolas,"4,8",Agricultura,2025-04-08
Pantanal Agrícola,"4,5",Agricultura,2025-04-08
Oxiquímica Agrociência,"4,5",Agricultura,2025-04-08
Stoller,"4,6",Agricultura,2025-04-08
Wisenetix,"4,2",Agricultura,2025-04-08
Futura Agronegócios,"4,6",Agricultura,2025-04-08
Grupo FASA,"4,1",Agricultura,2025-04-08
CIAT,"4,2",Agricultura,2025-04-08
Viralcool Castilho,"4,5",Agricultura,2025-04-08
Fertgrow,"4,4",Agricultura,2025-04-08
Rural Shop,"4,7",Agricultura,2025-04-08
JSF Empreendimentos Florestais,"4,4",Agricultura,2025-04-08
Iterum Fertilizantes,"4,6",Agricultura,2025-04-08
Kuala Lumpur Kepong,"4,0",Agricultura,2025-04-08
Gencau,"4,1",Agricultura,2025-04-08
InPlanet,"5,0",Agricultura,2025-04-08
Nilsen,"4,2",Agricultura,2025-04-08
MS Schippers,"4,2",Agricultura,2025-04-08
iCrop Gestão de Irrigação,"4,6",Agricultura,2025-04-08
GGF (Brazil),"4,4",Agricultura,2025-04-08
RS Florestal,"4,3",Agricultura,2025-04-08
Algar Farming,"4,9",Agricultura,2025-04-08
Forth Jardim,"4,0",Agricultura,2025-04-08
Santiago & Cintra Geotecnologias,"4,0",Agricultura,2025-04-08
Copec,"4,4",Agricultura,2025-04-08
Dedeagro,"4,3",Agricultura,2025-04-08
Protec Produtos Agrícolas,"4,5",Agricultura,2025-04-08
Jiva,"4,4",Agricultura,2025-04-08
HCC (IL),"4,0",Agricultura,2025-04-08
Zinpro,"4,3",Agricultura,2025-04-08
Pink Farms,"4,4",Agricultura,2025-04-08
JCO Bioprodutos,"4,1",Agricultura,2025-04-08
Sistema Famasul,"4,4",Agricultura,2025-04-08
Brevant seeds,"4,8",Agricultura,2025-04-08
Safrasul Sementes,"4,3",Agricultura,2025-04-08
Sementes Oilema,"4,7",Agricultura,2025-04-08
ITAIMBÉ,"4,3",Agricultura,2025-04-08
East - West Seeds Company,"4,0",Agricultura,2025-04-08
Bejo,"4,4",Agricultura,2025-04-08
Royal Agro Cereais,"4,1",Agricultura,2025-04-08
JBS Ambiental,"5,0",Agricultura,2025-04-08
Artemis,"4,3",Agricultura,2025-04-08
Essere Group,"4,2",Agricultura,2025-04-08
FertiSystem,"4,8",Agricultura,2025-04-08
Cropfield do Brasil,"4,8",Agricultura,2025-04-08
Valence Química,"5,0",Agricultura,2025-04-08
Life Agro,"4,4",Agricultura,2025-04-08
Cooperativa Tritícola de Frederico Westphalen,"4,0",Agricultura,2025-04-08
Dois Marcos Sementes,"4,6",Agricultura,2025-04-08
Itacitrus,"5,0",Agricultura,2025-04-08
Cooperativa Agrovale,"4,1",Agricultura,2025-04-08
ABC Agricola,"4,6",Agricultura,2025-04-08
Exagro,"4,5",Agricultura,2025-04-08
Ecoagrícola Café,"4,5",Agricultura,2025-04-08
Usina Colorado,"4,7",Agricultura,2025-04-08
Sementes Mauá,"5,0",Agricultura,2025-04-08
Triunfo Sementes de Soja,"4,6",Agricultura,2025-04-08
National Pork Board,"4,6",Agricultura,2025-04-08
Union Agro,"4,7",Agricultura,2025-04-08
FFA,"4,6",Agricultura,2025-04-08
Nova Era Agrícola,"5,0",Agricultura,2025-04-08
Satis (Brazil),"4,5",Agricultura,2025-04-08
Green Dynamix,"4,4",Agricultura,2025-04-08
Letha Trading,"5,0",Agricultura,2025-04-08
Central Campo Agronegócio,"4,0",Agricultura,2025-04-08
Bussola Ferramentas Agrícolas,"4,6",Agricultura,2025-04-08
Armazéns Gerais Leste de Minas,"4,3",Agricultura,2025-04-08
Fazenda Santa Terezinha,"4,9",Agricultura,2025-04-08
Tecnomyl Brasil Distribuidora de Produtos Agrícolas,"4,4",Agricultura,2025-04-08
Campo forte Fertilizantes,"4,0",Agricultura,2025-04-08
Agropecuaria Vista Alegre,"4,1",Agricultura,2025-04-08
Raíx Sementes,"4,5",Agricultura,2025-04-08
Grimaldi (Brazil),"4,6",Agricultura,2025-04-08
Brago,"4,8",Agricultura,2025-04-08
F&W Forestry Services,"4,5",Agricultura,2025-04-08
Agricola Andreis,"4,8",Agricultura,2025-04-08
Rural Brasil (Brazil),"4,2",Agricultura,2025-04-08
Agro Cangaia,"4,1",Agricultura,2025-04-08
COOPERBOM,"4,7",Agricultura,2025-04-08
BRCarbon,"4,5",Agricultura,2025-04-08
Suinobras Alimentos,"4,6",Agricultura,2025-04-08
MS Florestal,"5,0",Agricultura,2025-04-08
Federação da Associações Rurais do Estado de São Paulo,"4,1",Agricultura,2025-04-08
Grupo Progresso (Brazil),"4,6",Agricultura,2025-04-08
Agromix,"4,5",Agricultura,2025-04-08
Minitube,"4,4",Agricultura,2025-04-08
Produmar,"4,0",Agricultura,2025-04-08
Dinardo Miranda Laboratório de Análises Agrícolas,"5,0",Agricultura,2025-04-08
Imexsul Insumos Agrícolas,"4,2",Agricultura,2025-04-08
"Carvalho's Friends of a Feather, Inc.","4,4",Agricultura,2025-04-08
Bela Sementes,"5,0",Agricultura,2025-04-08
Solpack Agronet,"5,0",Agricultura,2025-04-08
Safras Agroindustria,"4,3",Agricultura,2025-04-08
Vitasal,"5,0",Agricultura,2025-04-08
Campo Santo Parque das Flores,"4,6",Agricultura,2025-04-08
Dafonte Tratores,"4,5",Agricultura,2025-04-08
NOVALUZ Serviços,"4,8",Agricultura,2025-04-08
Grupo Somar Agro,"4,4",Agricultura,2025-04-08
McDonald and Pelz,"4,5",Agricultura,2025-04-08
BioScientific,"4,0",Agricultura,2025-04-08
Ramiro Hortifrutigranjeiro,"4,7",Agricultura,2025-04-08
Agrigento Fertilizantes,"4,0",Agricultura,2025-04-08
Spatial Informatics Group,"4,7",Agricultura,2025-04-08
Agropecuária,"4,0",Agricultura,2025-04-08
Confboi,"4,4",Agricultura,2025-04-08
Acero Agronegócios,"4,6",Agricultura,2025-04-08
Hidro Solo,"4,7",Agricultura,2025-04-08
Santos Lab,"4,5",Agricultura,2025-04-08
Terranuts,"5,0",Agricultura,2025-04-08
Lassa,"4,0",Agricultura,2025-04-08
Cisbra Farinhas,"5,0",Agricultura,2025-04-08
Paranagran Fertilizantes,"4,1",Agricultura,2025-04-08
AgroTerra,"4,1",Agricultura,2025-04-08
Quimivita Fertilizantes,"4,3",Agricultura,2025-04-08
Arrozeira Pelotas,"4,0",Agricultura,2025-04-08
WEST Fertilizantes,"4,3",Agricultura,2025-04-08
2Tree Ambiental,"5,0",Agricultura,2025-04-08
Agrocavalca,"4,5",Agricultura,2025-04-08
AFOCAPI,"4,0",Agricultura,2025-04-08
COMAK,"4,3",Agricultura,2025-04-08
Adubos Rifertil,"5,0",Agricultura,2025-04-08
Geraleite Nutrição Animal,"5,0",Agricultura,2025-04-08
Fazendas Reunidas,"5,0",Agricultura,2025-04-08
Life Company,"4,5",Agricultura,2025-04-08
Trust Agro Company,"4,0",Agricultura,2025-04-08
Cooproeste,"5,0",Agricultura,2025-04-08
G'S Marketing,"4,0",Agricultura,2025-04-08
farahservice,"4,8",Agricultura,2025-04-08
Norpel,"4,6",Agricultura,2025-04-08
Sterman Masser,"4,8",Agricultura,2025-04-08
Comercial Paty Importações,"5,0",Agricultura,2025-04-08
Gaio Agronegócios,"4,4",Agricultura,2025-04-08
Comercial Paty Importações,"5,0",Agricultura,2025-04-08
Vig Sementes,"5,0",Agricultura,2025-04-08
Mepel (Brazil),"5,0",Agricultura,2025-04-08
Central Irrigação,"4,2",Agricultura,2025-04-08
Granja São José (Brazil),"5,0",Agricultura,2025-04-08
Mata Fresca,"5,0",Agricultura,2025-04-08
Águia Florestal,"4,4",Agricultura,2025-04-08
VW Madeiras,"4,7",Agricultura,2025-04-08
NutriQuest,"5,0",Agricultura,2025-04-08
Consultax,"4,6",Agricultura,2025-04-08
Alma Plantation,"4,2",Agricultura,2025-04-08
A M S Exotic,"5,0",Agricultura,2025-04-08
Casa das Correntes,"4,2",Agricultura,2025-04-08
Ipacol Máquinas Agrícolas LTDA,"5,0",Agricultura,2025-04-08
Rico Nutrição Animal,"5,0",Agricultura,2025-04-08
Agropecuária Carboni,"4,6",Agricultura,2025-04-08
GCS AGROPECUARIA,"5,0",Agricultura,2025-04-08
Bio Plugs,"4,0",Agricultura,2025-04-08
Regional Agro,"5,0",Agricultura,2025-04-08
Regional Agro,"5,0",Agricultura,2025-04-08
Pacifil,"4,0",Agricultura,2025-04-08
Nuntec Agro,"5,0",Agricultura,2025-04-08
Pescados Fish,"5,0",Agricultura,2025-04-08
Grupo AgroSalgueiro,"5,0",Agricultura,2025-04-08
Grupo Aguetoni,"5,0",Agricultura,2025-04-08
Natter,"4,5",Agricultura,2025-04-08
Domos,"4,3",Agricultura,2025-04-08
Sementes Agrosol,"4,0",Agricultura,2025-04-08
Metra Industrial,"5,0",Agricultura,2025-04-08
Corpal Comércio e Representações,"5,0",Agricultura,2025-04-08
Usina Bom Sucesso,"5,0",Agricultura,2025-04-08
Agro Pillati,"4,2",Agricultura,2025-04-08
Mamore Maquinas Agricolas,"4,5",Agricultura,2025-04-08
PS AVI Agroindústria,"5,0",Agricultura,2025-04-08
Shull Seeds,"5,0",Agricultura,2025-04-08
Uniagro Negócios,"4,0",Agricultura,2025-04-08
Grupo FV (Brazil),"4,5",Agricultura,2025-04-08
Mns Comercio De Produtos Agropecuarios,"5,0",Agricultura,2025-04-08
Norflor SA,"5,0",Agricultura,2025-04-08
Frota rodoviária amaggi,"4,5",Agricultura,2025-04-08
Grupo Cavalca,"4,5",Agricultura,2025-04-08
Cooperativa Central de Comercialização Extrativista do Acre,"5,0",Agricultura,2025-04-08
Complemento Nutrição Animal,"4,5",Agricultura,2025-04-08
Sítio Hiromi,"5,0",Agricultura,2025-04-08
Grupo JGV,"4,2",Agricultura,2025-04-08
Folhito,"4,6",Agricultura,2025-04-08
