nome,nota,setor,data_ingestao
Localiza&Co,"4,3",Aluguel de automóveis e caminhões,2025-04-08
LM Soluções de Mobilidade,"4,1",Aluguel de automóveis e caminhões,2025-04-08
Motz,"4,0",Aluguel de automóveis e caminhões,2025-04-08
AX,"4,1",Aluguel de automóveis e caminhões,2025-04-08
Click & Boat,"4,1",Aluguel de automóveis e caminhões,2025-04-08
Fleet Solutions,"4,9",Aluguel de automóveis e caminhões,2025-04-08
Sorriso de Curitiba,"4,9",Aluguel de automóveis e caminhões,2025-04-08
IMAP Industry and Commerce,"4,3",Aluguel de automóveis e caminhões,2025-04-08
SatTrack,"4,0",Aluguel de automóveis e caminhões,2025-04-08
Ecoolmove,"4,0",Aluguel de automóveis e caminhões,2025-04-08
NETMAK,"4,2",Aluguel de automóveis e caminhões,2025-04-08
Davi Caminhões,"5,0",Aluguel de automóveis e caminhões,2025-04-08
Poty Rent a Car,"5,0",Aluguel de automóveis e caminhões,2025-04-08
Mayfran Locadora,"4,0",Aluguel de automóveis e caminhões,2025-04-08
ShalomTur,"5,0",Aluguel de automóveis e caminhões,2025-04-08
Cooper Rádio Táxi,"5,0",Aluguel de automóveis e caminhões,2025-04-08
Samam Locadora,"5,0",Aluguel de automóveis e caminhões,2025-04-08
