nome,nota,setor,data_ingestao
Truly Nolen,"4,1",Aluguel de produtos para o consumidor,2025-04-08
Go Speedy Go,"4,8",Aluguel de produtos para o consumidor,2025-04-08
Grupo Anjos da Guarda,"4,1",Aluguel de produtos para o consumidor,2025-04-08
Kyte,"4,0",Aluguel de produtos para o consumidor,2025-04-08
Cooltra Motos,"4,1",Aluguel de produtos para o consumidor,2025-04-08
Uber Carshare,"4,3",Aluguel de produtos para o consumidor,2025-04-08
Layr,"4,6",Aluguel de produtos para o consumidor,2025-04-08
Haix (Brazil),"4,0",Aluguel de produtos para o consumidor,2025-04-08
Repromaq Comercio E Servicos De Tecnologia,"4,0",Aluguel de produtos para o consumidor,2025-04-08
Bilhares Arapoca,"4,6",Aluguel de produtos para o consumidor,2025-04-08
Lau Rent,"4,0",Aluguel de produtos para o consumidor,2025-04-08
CM Locação e Serviços,"4,6",Aluguel de produtos para o consumidor,2025-04-08
General Logistics,"5,0",Aluguel de produtos para o consumidor,2025-04-08
Moremac Locacoes De Maquinas Agricolas,"4,0",Aluguel de produtos para o consumidor,2025-04-08
Microplan Informática,"4,0",Aluguel de produtos para o consumidor,2025-04-08
Santa Terezinha (Brazil),"4,5",Aluguel de produtos para o consumidor,2025-04-08
Virtual Locação,"5,0",Aluguel de produtos para o consumidor,2025-04-08
Rigger guindastes,"4,0",Aluguel de produtos para o consumidor,2025-04-08
