nome,nota,setor,data_ingestao
Progen,"4,2",Arquitetura e engenharia,2025-04-08
Komatsu,"4,1",Arquitetura e engenharia,2025-04-08
Techint,"4,2",Arquitetura e engenharia,2025-04-08
Jacobs,"4,0",Arquitetura e engenharia,2025-04-08
Jungheinrich,"4,0",Arquitetura e engenharia,2025-04-08
Perkins & Will,"4,1",Arquitetura e engenharia,2025-04-08
Fluor,"4,0",Arquitetura e engenharia,2025-04-08
KUKA,"4,1",Arquitetura e engenharia,2025-04-08
Hines,"4,3",Arquitetura e engenharia,2025-04-08
Skanska,"4,1",Arquitetura e engenharia,2025-04-08
SENER,"4,2",Arquitetura e engenharia,2025-04-08
Pöyry,"4,4",Arquitetura e engenharia,2025-04-08
Paul Wurth,"4,0",Arquitetura e engenharia,2025-04-08
Tata,"4,0",Arquitetura e engenharia,2025-04-08
Civil Master Engenharia em Altura,"4,3",Arquitetura e engenharia,2025-04-08
Pöyry Tecnologia,"4,4",Arquitetura e engenharia,2025-04-08
Antea Group,"4,1",Arquitetura e engenharia,2025-04-08
Kaiser Group,"4,3",Arquitetura e engenharia,2025-04-08
Skanska USA,"4,1",Arquitetura e engenharia,2025-04-08
Compasa Engenharia e Empreendimentos,"4,1",Arquitetura e engenharia,2025-04-08
Toyo Setal,"4,4",Arquitetura e engenharia,2025-04-08
Projel Engenharia,"4,4",Arquitetura e engenharia,2025-04-08
HDR,"4,1",Arquitetura e engenharia,2025-04-08
GMV,"4,2",Arquitetura e engenharia,2025-04-08
Sandech Consultoria Em Engenharia E Gestão,"4,0",Arquitetura e engenharia,2025-04-08
Telmec Engenharia,"4,3",Arquitetura e engenharia,2025-04-08
AXS Energia,"4,0",Arquitetura e engenharia,2025-04-08
Temon Serviços,"4,0",Arquitetura e engenharia,2025-04-08
Mott MacDonald,"4,0",Arquitetura e engenharia,2025-04-08
Walm BH Engenharia,"4,3",Arquitetura e engenharia,2025-04-08
Usimeca Industria Mecanica,"4,0",Arquitetura e engenharia,2025-04-08
Uliving,"4,0",Arquitetura e engenharia,2025-04-08
Jirau Energia,"4,0",Arquitetura e engenharia,2025-04-08
TEES,"4,4",Arquitetura e engenharia,2025-04-08
DF+ Eng. Geotécnica e Recursos Hídricos,"4,5",Arquitetura e engenharia,2025-04-08
Bechtel,"4,0",Arquitetura e engenharia,2025-04-08
Dynatest Engenharia,"4,2",Arquitetura e engenharia,2025-04-08
Moffatt & Nichol,"4,4",Arquitetura e engenharia,2025-04-08
Opus Construções Modulares,"4,2",Arquitetura e engenharia,2025-04-08
HGA,"4,1",Arquitetura e engenharia,2025-04-08
Akm Performma,"4,0",Arquitetura e engenharia,2025-04-08
GroundProbe,"4,1",Arquitetura e engenharia,2025-04-08
MBP,"4,4",Arquitetura e engenharia,2025-04-08
LCD Engenharia,"4,1",Arquitetura e engenharia,2025-04-08
alfanar,"4,0",Arquitetura e engenharia,2025-04-08
ACP Group,"4,2",Arquitetura e engenharia,2025-04-08
RD Engenharia (Brazil),"4,3",Arquitetura e engenharia,2025-04-08
COWI,"4,1",Arquitetura e engenharia,2025-04-08
HOK,"4,1",Arquitetura e engenharia,2025-04-08
Eltman,"4,3",Arquitetura e engenharia,2025-04-08
Thá Engenharia,"4,0",Arquitetura e engenharia,2025-04-08
RS&H,"4,0",Arquitetura e engenharia,2025-04-08
PM Group,"4,0",Arquitetura e engenharia,2025-04-08
SMMA,"4,0",Arquitetura e engenharia,2025-04-08
IA Interior Architects,"4,1",Arquitetura e engenharia,2025-04-08
IBR Engenharia,"4,0",Arquitetura e engenharia,2025-04-08
Engibras Engenharia,"4,5",Arquitetura e engenharia,2025-04-08
Ghafari Associates,"4,5",Arquitetura e engenharia,2025-04-08
Statum Geotecnia,"4,5",Arquitetura e engenharia,2025-04-08
Darwin Engenharia,"4,4",Arquitetura e engenharia,2025-04-08
Engetec Infra,"4,2",Arquitetura e engenharia,2025-04-08
CPE,"4,0",Arquitetura e engenharia,2025-04-08
ERRG,"4,0",Arquitetura e engenharia,2025-04-08
SCS Engineers,"4,0",Arquitetura e engenharia,2025-04-08
IKM,"4,2",Arquitetura e engenharia,2025-04-08
Construtora Bidese,"4,5",Arquitetura e engenharia,2025-04-08
Cifra Engenharia,"4,3",Arquitetura e engenharia,2025-04-08
Cogera Energia,"4,1",Arquitetura e engenharia,2025-04-08
P2S Inc.,"4,5",Arquitetura e engenharia,2025-04-08
Qatar Petroleum,"4,2",Arquitetura e engenharia,2025-04-08
"Civil & Environmental Consultants, Inc.","4,4",Arquitetura e engenharia,2025-04-08
SMR,"4,0",Arquitetura e engenharia,2025-04-08
SitelogIQ,"4,2",Arquitetura e engenharia,2025-04-08
KPG,"4,1",Arquitetura e engenharia,2025-04-08
LaBella Associates,"4,0",Arquitetura e engenharia,2025-04-08
Isay Weinfeld,"4,0",Arquitetura e engenharia,2025-04-08
SGM,"4,2",Arquitetura e engenharia,2025-04-08
TBG Partners,"4,2",Arquitetura e engenharia,2025-04-08
Proyfe Group,"4,0",Arquitetura e engenharia,2025-04-08
GulfMark Offshore,"4,0",Arquitetura e engenharia,2025-04-08
S5 Engenharia,"4,4",Arquitetura e engenharia,2025-04-08
P.Avelar Engenharia,"4,0",Arquitetura e engenharia,2025-04-08
Lavitta Engenharia Civil,"4,4",Arquitetura e engenharia,2025-04-08
Navarro Research and Engineering,"4,6",Arquitetura e engenharia,2025-04-08
Thermo Systems,"4,3",Arquitetura e engenharia,2025-04-08
DGA,"4,3",Arquitetura e engenharia,2025-04-08
Zucchi Luxury Stones,"4,6",Arquitetura e engenharia,2025-04-08
DSA Engenharia,"4,1",Arquitetura e engenharia,2025-04-08
