nome,nota,setor,data_ingestao
Area 51,"4,3",Bares e casas noturnas,2025-04-08
4Beer,"4,0",Bares e casas noturnas,2025-04-08
Outlaws,"4,6",Bares e casas noturnas,2025-04-08
Bar da Dona Onça,"5,0",Bares e casas noturnas,2025-04-08
Cavo,"4,1",Bares e casas noturnas,2025-04-08
Bar Candreva,"4,2",Bares e casas noturnas,2025-04-08
Life Drinks e Coquetéis,"5,0",Bares e casas noturnas,2025-04-08
Vila JK,"5,0",Bares e casas noturnas,2025-04-08
Azzure Club,"5,0",Bares e casas noturnas,2025-04-08
Mint Open Bar,"4,5",Bares e casas noturnas,2025-04-08
Floresta Bar,"5,0",Bares e casas noturnas,2025-04-08
Punch Tavern,"4,5",Bares e casas noturnas,2025-04-08
The Grand Balneário Camboriú,"5,0",Bares e casas noturnas,2025-04-08
OLÍVIO BAR E GASTRONOMIA,"4,0",Bares e casas noturnas,2025-04-08
