nome,nota,setor,data_ingestao
Bluefit Academia,"4,0",Beleza e bem-estar,2025-04-08
DB Diagnósticos,"4,0",Beleza e bem-estar,2025-04-08
Belcorp,"4,1",Beleza e bem-estar,2025-04-08
L'Oréal Professional Products,"4,1",Beleza e bem-estar,2025-04-08
Club Pilates,"4,0",Beleza e bem-estar,2025-04-08
Academia Pratique Fitness,"4,2",Beleza e bem-estar,2025-04-08
Cemig Saúde,"4,0",Beleza e bem-estar,2025-04-08
Imetris,"4,5",Beleza e bem-estar,2025-04-08
EoS Fitness,"4,0",Beleza e bem-estar,2025-04-08
Unimed Santos,"4,3",Beleza e bem-estar,2025-04-08
Adoxy Medical,"4,1",Beleza e bem-estar,2025-04-08
Athos,"4,0",Beleza e bem-estar,2025-04-08
Golden Hippo,"4,3",Beleza e bem-estar,2025-04-08
Zumba Fitness,"4,4",Beleza e bem-estar,2025-04-08
Brahma Consulting Services,"4,9",Beleza e bem-estar,2025-04-08
Genome International,"4,6",Beleza e bem-estar,2025-04-08
Ducash,"4,4",Beleza e bem-estar,2025-04-08
Kert,"4,2",Beleza e bem-estar,2025-04-08
Specialisterne Brasil,"4,7",Beleza e bem-estar,2025-04-08
Kickoff,"4,5",Beleza e bem-estar,2025-04-08
Solaris,"4,0",Beleza e bem-estar,2025-04-08
Fosbel,"4,1",Beleza e bem-estar,2025-04-08
Saphire Solutions,"4,3",Beleza e bem-estar,2025-04-08
Ultra Academia,"4,2",Beleza e bem-estar,2025-04-08
Cemitério Vertical de Curitiba,"4,3",Beleza e bem-estar,2025-04-08
Retrofit,"4,7",Beleza e bem-estar,2025-04-08
Fenix Nefrologia,"4,3",Beleza e bem-estar,2025-04-08
VIDA Select,"4,2",Beleza e bem-estar,2025-04-08
Porto Alegre Clinicas,"4,1",Beleza e bem-estar,2025-04-08
GBI,"4,1",Beleza e bem-estar,2025-04-08
Provalliance,"4,7",Beleza e bem-estar,2025-04-08
Impala,"4,1",Beleza e bem-estar,2025-04-08
Be Relax,"4,0",Beleza e bem-estar,2025-04-08
Studio E Salons,"4,9",Beleza e bem-estar,2025-04-08
Ecore,"4,7",Beleza e bem-estar,2025-04-08
Tivolly,"4,0",Beleza e bem-estar,2025-04-08
Lock&Stock,"4,8",Beleza e bem-estar,2025-04-08
Club Tattoo,"4,0",Beleza e bem-estar,2025-04-08
SOLOR,"4,9",Beleza e bem-estar,2025-04-08
Reinhausen Manufacturing,"4,4",Beleza e bem-estar,2025-04-08
Bluwe,"4,0",Beleza e bem-estar,2025-04-08
Frankfurt Kurnit Klein & Selz PC,"4,2",Beleza e bem-estar,2025-04-08
Hemobanco,"4,7",Beleza e bem-estar,2025-04-08
Honda Kaihatsu Kogyo Usa,"4,1",Beleza e bem-estar,2025-04-08
