nome,nota,setor,data_ingestao
Siemens Healthineers,"4,0",Biotecnologia,2025-04-08
Amgen,"4,2",Biotecnologia,2025-04-08
Neoprospecta,"4,0",Biotecnologia,2025-04-08
Novonesis,"4,2",Biotecnologia,2025-04-08
Grupo Kovalent,"4,4",Biotecnologia,2025-04-08
Gelco International,"4,5",Biotecnologia,2025-04-08
Exxtend Solução em Oligos,"4,3",Biotecnologia,2025-04-08
Vidara,"4,5",Biotecnologia,2025-04-08
Union Agener,"4,7",Biotecnologia,2025-04-08
Green Brasil,"4,5",Biotecnologia,2025-04-08
Amgen Biotecnologia,"4,5",Biotecnologia,2025-04-08
Eescola Tecnica Estadual Conselheiro Antonio Prado,"5,0",Biotecnologia,2025-04-08
Central Analisys,"4,6",Biotecnologia,2025-04-08
Latina Seeds,"4,7",Biotecnologia,2025-04-08
I peace,"5,0",Biotecnologia,2025-04-08
Clean Up Biotecnologia,"4,0",Biotecnologia,2025-04-08
Clean Esterilização,"5,0",Biotecnologia,2025-04-08
FG LABORATORIO,"5,0",Biotecnologia,2025-04-08
ICTB,"4,0",Biotecnologia,2025-04-08
