nome,nota,setor,data_ingestao
Johnson & Johnson,"4,1",Biotecnologia e farmacêutica,2025-04-08
Sanofi,"4,2",Biotecnologia e farmacêutica,2025-04-08
GSK,"4,1",Biotecnologia e farmacêutica,2025-04-08
Roche,"4,2",Biotecnologia e farmacêutica,2025-04-08
Novartis,"4,0",Biotecnologia e farmacêutica,2025-04-08
Merck,"4,1",Biotecnologia e farmacêutica,2025-04-08
AstraZeneca,"4,0",Biotecnologia e farmacêutica,2025-04-08
Boehringer Ingelheim,"4,1",Biotecnologia e farmacêutica,2025-04-08
Novo Nordisk,"4,3",Biotecnologia e farmacêutica,2025-04-08
Eli Lilly and Company,"4,1",Biotecnologia e farmacêutica,2025-04-08
AbbVie,"4,0",Biotecnologia e farmacêutica,2025-04-08
MSD,"4,1",Biotecnologia e farmacêutica,2025-04-08
Merck KGaA,"4,0",Biotecnologia e farmacêutica,2025-04-08
Libbs Farmaceutica,"4,4",Biotecnologia e farmacêutica,2025-04-08
Amgen,"4,1",Biotecnologia e farmacêutica,2025-04-08
Parexel,"4,0",Biotecnologia e farmacêutica,2025-04-08
Cristália,"4,0",Biotecnologia e farmacêutica,2025-04-08
Biolab Farmacêutica,"4,1",Biotecnologia e farmacêutica,2025-04-08
Sandoz,"4,0",Biotecnologia e farmacêutica,2025-04-08
Servier,"4,1",Biotecnologia e farmacêutica,2025-04-08
Daiichi Sankyo,"4,0",Biotecnologia e farmacêutica,2025-04-08
Marjan Farma,"4,4",Biotecnologia e farmacêutica,2025-04-08
bioMérieux,"4,0",Biotecnologia e farmacêutica,2025-04-08
UCB,"4,1",Biotecnologia e farmacêutica,2025-04-08
Herbarium,"4,2",Biotecnologia e farmacêutica,2025-04-08
Pioneer,"4,3",Biotecnologia e farmacêutica,2025-04-08
Zydus Lifesciences,"4,4",Biotecnologia e farmacêutica,2025-04-08
Brainfarma Indústria Química e Farmacêutica,"4,3",Biotecnologia e farmacêutica,2025-04-08
Grunenthal,"4,0",Biotecnologia e farmacêutica,2025-04-08
Chiesi,"4,1",Biotecnologia e farmacêutica,2025-04-08
Lundbeck,"4,1",Biotecnologia e farmacêutica,2025-04-08
Vertex Pharmaceuticals,"4,1",Biotecnologia e farmacêutica,2025-04-08
Genentech,"4,1",Biotecnologia e farmacêutica,2025-04-08
ISDIN,"4,0",Biotecnologia e farmacêutica,2025-04-08
Torrent Pharmaceuticals,"4,0",Biotecnologia e farmacêutica,2025-04-08
Laboratorios Pisa,"4,0",Biotecnologia e farmacêutica,2025-04-08
PSI CRO,"4,2",Biotecnologia e farmacêutica,2025-04-08
Dechra Pharmaceuticals,"4,0",Biotecnologia e farmacêutica,2025-04-08
Merial Saude Animal,"4,0",Biotecnologia e farmacêutica,2025-04-08
Octa Lab Farmácia de Manipulação,"4,0",Biotecnologia e farmacêutica,2025-04-08
PTC Therapeutics,"4,0",Biotecnologia e farmacêutica,2025-04-08
Pfizer Limited,"4,0",Biotecnologia e farmacêutica,2025-04-08
Merz Group,"4,1",Biotecnologia e farmacêutica,2025-04-08
Solfarma,"4,2",Biotecnologia e farmacêutica,2025-04-08
Zambon Group,"4,0",Biotecnologia e farmacêutica,2025-04-08
NIH,"4,3",Biotecnologia e farmacêutica,2025-04-08
BeiGene,"4,1",Biotecnologia e farmacêutica,2025-04-08
Momenta Pharmaceuticals,"4,3",Biotecnologia e farmacêutica,2025-04-08
Wyeth,"4,3",Biotecnologia e farmacêutica,2025-04-08
Colorcon INC,"4,0",Biotecnologia e farmacêutica,2025-04-08
Confab,"4,0",Biotecnologia e farmacêutica,2025-04-08
Renata,"4,1",Biotecnologia e farmacêutica,2025-04-08
Ajanta Pharma,"4,1",Biotecnologia e farmacêutica,2025-04-08
IPS-Integrated Project Services,"4,1",Biotecnologia e farmacêutica,2025-04-08
Sarepta Therapeutics,"4,3",Biotecnologia e farmacêutica,2025-04-08
EMBL,"4,5",Biotecnologia e farmacêutica,2025-04-08
Sunovion,"4,0",Biotecnologia e farmacêutica,2025-04-08
Syneos Health Commercial Solutions,"4,0",Biotecnologia e farmacêutica,2025-04-08
Formulatrix,"4,0",Biotecnologia e farmacêutica,2025-04-08
DSP Biomedical,"4,1",Biotecnologia e farmacêutica,2025-04-08
International Health Care,"4,0",Biotecnologia e farmacêutica,2025-04-08
Laboris Consultoria,"4,5",Biotecnologia e farmacêutica,2025-04-08
Talmax,"4,2",Biotecnologia e farmacêutica,2025-04-08
SelfDecode,"4,3",Biotecnologia e farmacêutica,2025-04-08
Clintec,"4,2",Biotecnologia e farmacêutica,2025-04-08
AAI,"4,2",Biotecnologia e farmacêutica,2025-04-08
Macopharma,"4,0",Biotecnologia e farmacêutica,2025-04-08
NanoTemper Technologies,"4,5",Biotecnologia e farmacêutica,2025-04-08
Gador,"4,0",Biotecnologia e farmacêutica,2025-04-08
Projectus,"4,6",Biotecnologia e farmacêutica,2025-04-08
SHL Group,"4,2",Biotecnologia e farmacêutica,2025-04-08
Mimic,"4,3",Biotecnologia e farmacêutica,2025-04-08
Biofarm,"4,3",Biotecnologia e farmacêutica,2025-04-08
Adimab,"4,2",Biotecnologia e farmacêutica,2025-04-08
Chromos,"4,1",Biotecnologia e farmacêutica,2025-04-08
Inflammatix,"4,1",Biotecnologia e farmacêutica,2025-04-08
BSN,"4,2",Biotecnologia e farmacêutica,2025-04-08
Chr. Hansen Holding,"4,1",Biotecnologia e farmacêutica,2025-04-08
Wolbito do Brasil,"5,0",Biotecnologia e farmacêutica,2025-04-08
Inato,"4,6",Biotecnologia e farmacêutica,2025-04-08
Pillar Biosciences,"4,0",Biotecnologia e farmacêutica,2025-04-08
Maravai LifeSciences,"4,0",Biotecnologia e farmacêutica,2025-04-08
Biomapas,"4,3",Biotecnologia e farmacêutica,2025-04-08
Genelabs,"4,2",Biotecnologia e farmacêutica,2025-04-08
Artel,"4,4",Biotecnologia e farmacêutica,2025-04-08
Gattefossé,"4,7",Biotecnologia e farmacêutica,2025-04-08
Nature's Cure,"5,0",Biotecnologia e farmacêutica,2025-04-08
Pulmatrix,"4,4",Biotecnologia e farmacêutica,2025-04-08
JGL,"4,0",Biotecnologia e farmacêutica,2025-04-08
Ferdinando Costa,"4,0",Biotecnologia e farmacêutica,2025-04-08
Accera,"4,2",Biotecnologia e farmacêutica,2025-04-08
JK Associates,"4,4",Biotecnologia e farmacêutica,2025-04-08
InVitro Cell Research,"4,4",Biotecnologia e farmacêutica,2025-04-08
X4 Pharmaceuticals,"4,7",Biotecnologia e farmacêutica,2025-04-08
Alamar Biosciences,"4,5",Biotecnologia e farmacêutica,2025-04-08
Unimed Pharmaceuticals,"4,0",Biotecnologia e farmacêutica,2025-04-08
Qualimax,"4,2",Biotecnologia e farmacêutica,2025-04-08
Lavizoo,"4,4",Biotecnologia e farmacêutica,2025-04-08
Celsis International,"4,1",Biotecnologia e farmacêutica,2025-04-08
Affygility Solutions,"5,0",Biotecnologia e farmacêutica,2025-04-08
Digilab,"4,3",Biotecnologia e farmacêutica,2025-04-08
Activa Cro,"4,5",Biotecnologia e farmacêutica,2025-04-08
Entrada,"4,2",Biotecnologia e farmacêutica,2025-04-08
Personal Products Company,"4,0",Biotecnologia e farmacêutica,2025-04-08
InsilicAll,"5,0",Biotecnologia e farmacêutica,2025-04-08
Biodonostia,"4,3",Biotecnologia e farmacêutica,2025-04-08
Impiricus,"4,4",Biotecnologia e farmacêutica,2025-04-08
BioCardia,"4,7",Biotecnologia e farmacêutica,2025-04-08
LDM Group,"4,0",Biotecnologia e farmacêutica,2025-04-08
Medasense Biometrics,"4,6",Biotecnologia e farmacêutica,2025-04-08
iHisto,"4,2",Biotecnologia e farmacêutica,2025-04-08
MK Studio,"4,1",Biotecnologia e farmacêutica,2025-04-08
Akron Pharma (Brazil),"4,1",Biotecnologia e farmacêutica,2025-04-08
VGX Pharmaceuticals,"4,6",Biotecnologia e farmacêutica,2025-04-08
Hemagen Diagnostics,"4,5",Biotecnologia e farmacêutica,2025-04-08
Lema Biologic do Brasil,"5,0",Biotecnologia e farmacêutica,2025-04-08
ProThera,"5,0",Biotecnologia e farmacêutica,2025-04-08
Synvista,"5,0",Biotecnologia e farmacêutica,2025-04-08
Shanbally,"5,0",Biotecnologia e farmacêutica,2025-04-08
Crop Breeding and Applied Biotechnology,"5,0",Biotecnologia e farmacêutica,2025-04-08
