nome,nota,setor,data_ingestao
B3,"4,3",Bolsa de valores,2025-04-08
Avenue Securities,"4,5",Bolsa de valores,2025-04-08
Ável Investimentos,"4,1",Bolsa de valores,2025-04-08
Susquehanna International Group,"4,1",Bolsa de valores,2025-04-08
Clube do Valor,"4,8",Bolsa de valores,2025-04-08
Nasdaq,"4,0",Bolsa de valores,2025-04-08
Itaúsa,"4,5",Bolsa de valores,2025-04-08
IMC Trading,"4,1",Bolsa de valores,2025-04-08
Stake,"4,3",Bolsa de valores,2025-04-08
Cboe,"4,4",Bolsa de valores,2025-04-08
BMV,"4,0",Bolsa de valores,2025-04-08
Altonomy,"4,4",Bolsa de valores,2025-04-08
3A Investimentos,"4,5",Bolsa de valores,2025-04-08
Grana Capital,"4,4",Bolsa de valores,2025-04-08
XS,"4,8",Bolsa de valores,2025-04-08
BME | Bolsas y Mercados Españoles,"4,2",Bolsa de valores,2025-04-08
OTC Markets Group,"4,4",Bolsa de valores,2025-04-08
Parfin,"4,0",Bolsa de valores,2025-04-08
Trade Arena,"4,8",Bolsa de valores,2025-04-08
Kalshi,"4,1",Bolsa de valores,2025-04-08
Brasil Bitcoin,"5,0",Bolsa de valores,2025-04-08
Scalper,"4,3",Bolsa de valores,2025-04-08
Pocket Option,"4,7",Bolsa de valores,2025-04-08
