nome,nota,setor,data_ingestao
MINT dentistry,"4,1",Clubes e serviços sociais,2025-04-08
Hori Clinica Odontológica,"4,5",Clubes e serviços sociais,2025-04-08
Dentalshop Produtos Odontlógicos,"4,3",Clubes e serviços sociais,2025-04-08
Uniodonto Manaus,"4,1",Clubes e serviços sociais,2025-04-08
Crool Centro Odontológico,"4,2",Clubes e serviços sociais,2025-04-08
FGM Dental Group,"4,2",Clubes e serviços sociais,2025-04-08
OdontoTop Franchising,"5,0",Clubes e serviços sociais,2025-04-08
DentalVidas,"4,2",Clubes e serviços sociais,2025-04-08
PowerDent,"4,5",Clubes e serviços sociais,2025-04-08
Uniero radiologia odontologica,"4,0",Clubes e serviços sociais,2025-04-08
Qualybless,"4,0",Clubes e serviços sociais,2025-04-08
Rede Odonto Empresas,"4,2",Clubes e serviços sociais,2025-04-08
Interdental,"5,0",Clubes e serviços sociais,2025-04-08
Docs Radiologia Odontológica,"4,0",Clubes e serviços sociais,2025-04-08
Studio Brudent,"5,0",Clubes e serviços sociais,2025-04-08
Instituto Prado Odontologia Moderna,"5,0",Clubes e serviços sociais,2025-04-08
Facenter,"4,5",Clubes e serviços sociais,2025-04-08
Top Doctors Odontologia,"5,0",Clubes e serviços sociais,2025-04-08
DentalKids,"5,0",Clubes e serviços sociais,2025-04-08
Dental MV,"5,0",Clubes e serviços sociais,2025-04-08
Cohen Orthodontics,"5,0",Clubes e serviços sociais,2025-04-08
Dental Adelar,"5,0",Clubes e serviços sociais,2025-04-08
Método Ambiental,"5,0",Clubes e serviços sociais,2025-04-08
Trialis Odontologia,"4,0",Clubes e serviços sociais,2025-04-08
Portodent,"5,0",Clubes e serviços sociais,2025-04-08
