nome,nota,setor,data_ingestao
Localiza&Co,"4,3",Concessionárias de veículos,2025-04-08
Brasileira de Distribuição,"4,0",Concessionárias de veículos,2025-04-08
Jeep do Brasil,"4,1",Concessionárias de veículos,2025-04-08
Volkswagen Caminhões e Ônibus,"4,0",Concessionárias de veículos,2025-04-08
Chevrolet,"4,1",Concessionárias de veículos,2025-04-08
Volkswagen do Brasil,"4,4",Concessionárias de veículos,2025-04-08
Renault do Brasil,"4,4",Concessionárias de veículos,2025-04-08
Grupo Vamos,"4,0",Concessionárias de veículos,2025-04-08
Toyota do brasil,"4,5",Concessionárias de veículos,2025-04-08
Autus Chevrolet,"4,3",Concessionárias de veículos,2025-04-08
Grupo Enzo,"4,4",Concessionárias de veículos,2025-04-08
Porsche Cars North America,"4,1",Concessionárias de veículos,2025-04-08
Banco Mercedes Benz,"4,1",Concessionárias de veículos,2025-04-08
Motor Group Brasil,"4,4",Concessionárias de veículos,2025-04-08
Operadora Futurama,"4,1",Concessionárias de veículos,2025-04-08
Nutrilite,"4,0",Concessionárias de veículos,2025-04-08
Iquegami Supermercados,"4,0",Concessionárias de veículos,2025-04-08
Rivesa,"4,0",Concessionárias de veículos,2025-04-08
Empresas Revemar,"4,0",Concessionárias de veículos,2025-04-08
Sewell Automotive Companies,"4,2",Concessionárias de veículos,2025-04-08
Hendrick Automotive Group,"4,2",Concessionárias de veículos,2025-04-08
Ethos Group,"4,5",Concessionárias de veículos,2025-04-08
Global Automotive Group,"4,0",Concessionárias de veículos,2025-04-08
Grupo Raviera,"4,1",Concessionárias de veículos,2025-04-08
Grupo Servopa,"4,1",Concessionárias de veículos,2025-04-08
Continental Brasil Indústria Automotiva,"4,1",Concessionárias de veículos,2025-04-08
Retail Renault Group,"4,7",Concessionárias de veículos,2025-04-08
Via Marconi Veículos,"4,2",Concessionárias de veículos,2025-04-08
Sanmell Motos,"4,5",Concessionárias de veículos,2025-04-08
driversselect,"4,7",Concessionárias de veículos,2025-04-08
Vitória Diesel,"4,4",Concessionárias de veículos,2025-04-08
Grupo Primavia,"4,0",Concessionárias de veículos,2025-04-08
CB Autos,"4,0",Concessionárias de veículos,2025-04-08
Motobel Veículos,"4,2",Concessionárias de veículos,2025-04-08
Pirasa Veículos,"4,3",Concessionárias de veículos,2025-04-08
CityCar Aluguel de Veículos,"4,4",Concessionárias de veículos,2025-04-08
Grupo Ramasa,"4,2",Concessionárias de veículos,2025-04-08
John Deere BR,"4,8",Concessionárias de veículos,2025-04-08
NACIONAL,"4,4",Concessionárias de veículos,2025-04-08
Codema Scania,"4,3",Concessionárias de veículos,2025-04-08
McLarty Maia,"4,6",Concessionárias de veículos,2025-04-08
Volkswagen Truck and Bus,"4,6",Concessionárias de veículos,2025-04-08
Gigante,"4,0",Concessionárias de veículos,2025-04-08
BRAM Auto Group,"4,8",Concessionárias de veículos,2025-04-08
Cometa Motocenter,"4,8",Concessionárias de veículos,2025-04-08
Vessa Veículos,"4,1",Concessionárias de veículos,2025-04-08
Brazilian Car,"5,0",Concessionárias de veículos,2025-04-08
Jeff Belzer's Auto Group,"4,1",Concessionárias de veículos,2025-04-08
GRANDE COREIA,"4,4",Concessionárias de veículos,2025-04-08
Moto Clube Honda,"5,0",Concessionárias de veículos,2025-04-08
Super Safra Group,"4,5",Concessionárias de veículos,2025-04-08
Toyota Sulpar,"5,0",Concessionárias de veículos,2025-04-08
Unimaq Motos,"4,2",Concessionárias de veículos,2025-04-08
Peters Chevrolet Chrysler Jeep Dodge RAM Fiat,"4,1",Concessionárias de veículos,2025-04-08
Azimut,"4,4",Concessionárias de veículos,2025-04-08
Mori Motors,"4,0",Concessionárias de veículos,2025-04-08
Newsedan,"5,0",Concessionárias de veículos,2025-04-08
Fazauto,"4,5",Concessionárias de veículos,2025-04-08
Moto Vix,"4,2",Concessionárias de veículos,2025-04-08
Garden Foods,"4,0",Concessionárias de veículos,2025-04-08
Alta VW,"4,4",Concessionárias de veículos,2025-04-08
Igrmen Máquinas e Equipamentos,"4,0",Concessionárias de veículos,2025-04-08
Grupo Via Mondo,"4,4",Concessionárias de veículos,2025-04-08
Ford Slaviero,"4,0",Concessionárias de veículos,2025-04-08
Nissey Máquinas,"4,7",Concessionárias de veículos,2025-04-08
Minami Motors,"5,0",Concessionárias de veículos,2025-04-08
Grupo Germânica,"4,0",Concessionárias de veículos,2025-04-08
BR France,"4,5",Concessionárias de veículos,2025-04-08
Grupo Nissul Gala,"4,6",Concessionárias de veículos,2025-04-08
Brazauto Toyota,"4,5",Concessionárias de veículos,2025-04-08
Taubaté Veículos,"4,6",Concessionárias de veículos,2025-04-08
Ascia Fiat,"4,0",Concessionárias de veículos,2025-04-08
Santa Isabel,"4,2",Concessionárias de veículos,2025-04-08
Nação Chevrolet,"4,0",Concessionárias de veículos,2025-04-08
Redenção Renault,"4,1",Concessionárias de veículos,2025-04-08
Honda Enjin Automóveis,"5,0",Concessionárias de veículos,2025-04-08
Sponchiado Jardine Veiculos,"4,2",Concessionárias de veículos,2025-04-08
Ourisman Automotive of Virginia,"4,1",Concessionárias de veículos,2025-04-08
Jon Hall Chevrolet,"4,2",Concessionárias de veículos,2025-04-08
Rodaleve Comercial de Motos,"4,0",Concessionárias de veículos,2025-04-08
Motor Group Vitória,"4,1",Concessionárias de veículos,2025-04-08
Orca Chevrolet,"4,2",Concessionárias de veículos,2025-04-08
Jacuipe Fiat,"4,6",Concessionárias de veículos,2025-04-08
Betral,"5,0",Concessionárias de veículos,2025-04-08
Mitsubishi Electric Brasil,"5,0",Concessionárias de veículos,2025-04-08
Grupo Globo (Brazil),"4,0",Concessionárias de veículos,2025-04-08
Allma Jeep,"4,5",Concessionárias de veículos,2025-04-08
Callis Veículos,"4,3",Concessionárias de veículos,2025-04-08
Strada Jeep,"5,0",Concessionárias de veículos,2025-04-08
Brandini,"4,8",Concessionárias de veículos,2025-04-08
MG Motos,"4,6",Concessionárias de veículos,2025-04-08
Evoluir Consórcios,"5,0",Concessionárias de veículos,2025-04-08
Ideal Veículos,"5,0",Concessionárias de veículos,2025-04-08
