nome,nota,setor,data_ingestao
Saint-Gobain,"4,1",Construção,2025-04-08
Arcadis,"4,0",Construção,2025-04-08
Dexco,"4,0",Construção,2025-04-08
Novonor,"4,4",Construção,2025-04-08
Aker Solutions,"4,2",Construção,2025-04-08
AtkinsRéalis,"4,1",Construção,2025-04-08
Andrade Gutierrez,"4,3",Construção,2025-04-08
Tigre,"4,2",Construção,2025-04-08
Hilti Group,"4,0",Construção,2025-04-08
Acciona,"4,0",Construção,2025-04-08
Camargo Corrêa,"4,3",Construção,2025-04-08
Ramboll,"4,0",Construção,2025-04-08
Construtora OAS,"4,3",Construção,2025-04-08
OEC,"4,5",Construção,2025-04-08
SENAI CIMATEC,"4,2",Construção,2025-04-08
Casa Do Construtor,"4,1",Construção,2025-04-08
Fluor,"4,0",Construção,2025-04-08
Turner Construction,"4,2",Construção,2025-04-08
ENGEFORM,"4,3",Construção,2025-04-08
Hines,"4,3",Construção,2025-04-08
Skanska,"4,1",Construção,2025-04-08
Brasil Terminal Portuário,"4,4",Construção,2025-04-08
Cimento Nacional,"4,5",Construção,2025-04-08
A. Yoshii Engenharia,"4,1",Construção,2025-04-08
"S.H. Formas, Andaimes E Escoramentos","4,6",Construção,2025-04-08
Eternit (Brasil),"4,1",Construção,2025-04-08
BRZ Empreendimentos,"4,4",Construção,2025-04-08
HTB,"4,4",Construção,2025-04-08
Power Home Remodeling,"4,5",Construção,2025-04-08
Mota-Engil,"4,0",Construção,2025-04-08
Passarelli Engenharia e Construção,"4,6",Construção,2025-04-08
PROCON,"4,6",Construção,2025-04-08
Van Oord,"4,1",Construção,2025-04-08
Camargo Corrêa Infra,"4,1",Construção,2025-04-08
ISG Ltd,"4,1",Construção,2025-04-08
Grupo Nortis,"4,5",Construção,2025-04-08
Burns & McDonnell,"4,1",Construção,2025-04-08
Zeppelin Konzern,"4,2",Construção,2025-04-08
Empresas ICA,"4,1",Construção,2025-04-08
Blossom Consult,"4,2",Construção,2025-04-08
Pormade,"4,0",Construção,2025-04-08
Sigdo Koppers,"4,2",Construção,2025-04-08
Saeng Engenharia,"4,0",Construção,2025-04-08
PCL Construction,"4,1",Construção,2025-04-08
Techint Engenharia e Construção,"4,3",Construção,2025-04-08
Mortenson,"4,3",Construção,2025-04-08
SEEL Serviços Especiais em Engenharia,"4,6",Construção,2025-04-08
A.Tonanni Construções e Serviços,"4,0",Construção,2025-04-08
Skanska USA,"4,1",Construção,2025-04-08
Espaço Smart,"4,1",Construção,2025-04-08
Elastri Engenharia,"4,1",Construção,2025-04-08
Diálogo Engenharia,"4,1",Construção,2025-04-08
Trail Infraestrutura Eireli,"4,2",Construção,2025-04-08
Ergeon,"4,6",Construção,2025-04-08
Uniforte Engenharia e Construtora,"4,2",Construção,2025-04-08
DPR Construction,"4,2",Construção,2025-04-08
Alfa Engenharia (Brazil),"4,0",Construção,2025-04-08
KDM Contracting,"4,0",Construção,2025-04-08
Student Works,"4,0",Construção,2025-04-08
ECC,"4,0",Construção,2025-04-08
Alcance Engenharia e Construcao,"4,4",Construção,2025-04-08
Azul,"4,6",Construção,2025-04-08
Alea,"4,2",Construção,2025-04-08
VINCI Construction,"4,0",Construção,2025-04-08
SM&A Sistemas Elétricos e Automação,"4,4",Construção,2025-04-08
Hilti do Brasil,"4,4",Construção,2025-04-08
United Rentals,"4,1",Construção,2025-04-08
Dubai Construtora e Incorporadora,"4,0",Construção,2025-04-08
TNB,"4,3",Construção,2025-04-08
Taylor Morrison,"4,4",Construção,2025-04-08
UltraTech Cement,"4,1",Construção,2025-04-08
Ecosystem,"4,6",Construção,2025-04-08
MLM Home Improvement,"4,6",Construção,2025-04-08
FR Instalações e Construções,"4,4",Construção,2025-04-08
Aramebras,"4,2",Construção,2025-04-08
alfanar,"4,0",Construção,2025-04-08
Weiku do Brasil,"4,4",Construção,2025-04-08
BRNPAR Empreendimentos,"4,2",Construção,2025-04-08
Cotrin,"4,2",Construção,2025-04-08
Oico,"4,1",Construção,2025-04-08
PulteGroup,"4,2",Construção,2025-04-08
Major Drilling Group,"4,0",Construção,2025-04-08
Jaraguá,"4,3",Construção,2025-04-08
Camargo Corrêa Engenharia e Construção,"4,5",Construção,2025-04-08
Npe Group,"4,2",Construção,2025-04-08
Cupertino Electric,"4,0",Construção,2025-04-08
Gilbane Building Company,"4,3",Construção,2025-04-08
Construtora Castilho (Brazil),"4,2",Construção,2025-04-08
Webber,"4,0",Construção,2025-04-08
