nome,nota,setor,data_ingestao
Freelancer,"4,2",Consultoria de RH,2025-04-08
Manpower,"4,1",Consultoria de RH,2025-04-08
freelance,"4,2",Consultoria de RH,2025-04-08
Test,"4,0",Consultoria de RH,2025-04-08
Airswift,"4,0",Consultoria de RH,2025-04-08
Cia de Talentos,"4,0",Consultoria de RH,2025-04-08
iPlace,"4,0",Consultoria de RH,2025-04-08
METARH Recursos Humanos,"4,4",Consultoria de RH,2025-04-08
EDC Group,"4,4",Consultoria de RH,2025-04-08
Spencer Stuart,"4,3",Consultoria de RH,2025-04-08
The Foursales Company,"4,7",Consultoria de RH,2025-04-08
Atlas Professionals,"4,1",Consultoria de RH,2025-04-08
FoxTime Recursos Humanos,"4,0",Consultoria de RH,2025-04-08
Captativa,"4,6",Consultoria de RH,2025-04-08
SEEK,"4,0",Consultoria de RH,2025-04-08
FESA Group,"4,2",Consultoria de RH,2025-04-08
RHF Talentos,"4,6",Consultoria de RH,2025-04-08
Naos International,"4,4",Consultoria de RH,2025-04-08
ImpulseUP,"4,4",Consultoria de RH,2025-04-08
PROMAN,"4,1",Consultoria de RH,2025-04-08
Host Healthcare,"4,4",Consultoria de RH,2025-04-08
Job Duck,"4,0",Consultoria de RH,2025-04-08
Petra Group,"4,2",Consultoria de RH,2025-04-08
Reed,"4,1",Consultoria de RH,2025-04-08
US Tech Solutions,"4,3",Consultoria de RH,2025-04-08
CHG Healthcare,"4,3",Consultoria de RH,2025-04-08
Aquent,"4,0",Consultoria de RH,2025-04-08
PeopleShare,"4,8",Consultoria de RH,2025-04-08
TOA Global,"4,5",Consultoria de RH,2025-04-08
Fox Human Capital,"4,3",Consultoria de RH,2025-04-08
PSG Global Solutions,"4,1",Consultoria de RH,2025-04-08
Creative Circle,"4,1",Consultoria de RH,2025-04-08
NES Fircroft,"4,6",Consultoria de RH,2025-04-08
Infotree Global Solutions,"4,0",Consultoria de RH,2025-04-08
Rose International,"4,0",Consultoria de RH,2025-04-08
Pro Staff,"4,7",Consultoria de RH,2025-04-08
ASK Consulting,"4,1",Consultoria de RH,2025-04-08
Neeyamo Enterprise Solutions,"4,0",Consultoria de RH,2025-04-08
INTEGRAR-RS,"4,1",Consultoria de RH,2025-04-08
Fortitude Systems,"4,0",Consultoria de RH,2025-04-08
Kantro,"4,0",Consultoria de RH,2025-04-08
Lisa IT,"4,4",Consultoria de RH,2025-04-08
SGS Consulting,"4,1",Consultoria de RH,2025-04-08
Hub Talent Connections,"4,7",Consultoria de RH,2025-04-08
Employer RH,"4,4",Consultoria de RH,2025-04-08
Social Media Marketing,"4,3",Consultoria de RH,2025-04-08
ALOIS,"4,2",Consultoria de RH,2025-04-08
Pentalog,"4,1",Consultoria de RH,2025-04-08
Conexão Talento,"4,7",Consultoria de RH,2025-04-08
Office Angels,"4,2",Consultoria de RH,2025-04-08
Cabalheiro Consultores,"5,0",Consultoria de RH,2025-04-08
Peninsula,"4,2",Consultoria de RH,2025-04-08
Graduate Recruitment Bureau (GRB),"4,5",Consultoria de RH,2025-04-08
B2HR Pessoas & Estratégias,"4,5",Consultoria de RH,2025-04-08
Integrity Recruitment Group,"4,1",Consultoria de RH,2025-04-08
V-Soft Consulting Group,"4,1",Consultoria de RH,2025-04-08
Perfect Placement,"4,4",Consultoria de RH,2025-04-08
99Hunters,"4,5",Consultoria de RH,2025-04-08
People Profilers,"4,4",Consultoria de RH,2025-04-08
Aasaanjobs.com,"4,0",Consultoria de RH,2025-04-08
Staff Management SMX,"4,4",Consultoria de RH,2025-04-08
LE WAR PRO,"4,8",Consultoria de RH,2025-04-08
J & J Staffing Resources,"4,4",Consultoria de RH,2025-04-08
Omega Resource Group,"4,4",Consultoria de RH,2025-04-08
Epic Travel Staffing,"4,3",Consultoria de RH,2025-04-08
Proservice Hawaii,"4,2",Consultoria de RH,2025-04-08
KellyMitchell Group,"4,1",Consultoria de RH,2025-04-08
CER Education,"4,2",Consultoria de RH,2025-04-08
Wishup,"4,2",Consultoria de RH,2025-04-08
Grafton Recruitment,"4,1",Consultoria de RH,2025-04-08
PMBasis,"4,9",Consultoria de RH,2025-04-08
VDAB,"4,0",Consultoria de RH,2025-04-08
GlowTouch Technologies,"4,2",Consultoria de RH,2025-04-08
Driver Hire,"4,3",Consultoria de RH,2025-04-08
Eminent Groep,"4,2",Consultoria de RH,2025-04-08
Options Group,"4,0",Consultoria de RH,2025-04-08
Fênix Recursos Humanos,"4,2",Consultoria de RH,2025-04-08
