nome,nota,setor,data_ingestao
McKinsey & Company,"4,1",Consultoria empresarial,2025-04-08
Bain & Company,"4,3",Consultoria empresarial,2025-04-08
Boston Consulting Group,"4,2",Consultoria empresarial,2025-04-08
Alvarez & Marsal,"4,0",Consultoria empresarial,2025-04-08
SelfEmployed.com,"4,4",Consultoria empresarial,2025-04-08
SEBRAE,"4,4",Consultoria empresarial,2025-04-08
Kearney,"4,0",Consultoria empresarial,2025-04-08
Gartner,"4,0",Consultoria empresarial,2025-04-08
Visagio,"4,1",Consultoria empresarial,2025-04-08
EloGroup,"4,2",Consultoria empresarial,2025-04-08
Oliver Wyman,"4,1",Consultoria empresarial,2025-04-08
dunnhumby,"4,3",Consultoria empresarial,2025-04-08
Randstad Enterprise,"4,0",Consultoria empresarial,2025-04-08
LexisNexis Risk Solutions,"4,0",Consultoria empresarial,2025-04-08
Faber-Castell,"4,0",Consultoria empresarial,2025-04-08
Enext,"4,1",Consultoria empresarial,2025-04-08
IHS Markit,"4,0",Consultoria empresarial,2025-04-08
Strategy&,"4,0",Consultoria empresarial,2025-04-08
Companhia Própria,"4,8",Consultoria empresarial,2025-04-08
Peers Consulting + Technology,"4,6",Consultoria empresarial,2025-04-08
Simon-Kucher,"4,0",Consultoria empresarial,2025-04-08
Artefact,"4,0",Consultoria empresarial,2025-04-08
Go Further,"4,2",Consultoria empresarial,2025-04-08
Semcon,"4,2",Consultoria empresarial,2025-04-08
Intertechne,"4,2",Consultoria empresarial,2025-04-08
Orizon (Brazil),"4,0",Consultoria empresarial,2025-04-08
Promon Engenharia,"4,5",Consultoria empresarial,2025-04-08
SPAR Brasil,"4,2",Consultoria empresarial,2025-04-08
Porsche Consulting,"4,3",Consultoria empresarial,2025-04-08
WayCarbon,"4,2",Consultoria empresarial,2025-04-08
Pöyry,"4,4",Consultoria empresarial,2025-04-08
Demarco,"4,1",Consultoria empresarial,2025-04-08
OC&C Strategy Consultants,"4,4",Consultoria empresarial,2025-04-08
Outgive,"4,2",Consultoria empresarial,2025-04-08
4flow,"4,6",Consultoria empresarial,2025-04-08
Aquanima,"4,0",Consultoria empresarial,2025-04-08
Synergia Consultoria Socioambiental,"4,0",Consultoria empresarial,2025-04-08
Driven CX,"4,2",Consultoria empresarial,2025-04-08
SEBRAE SP,"4,3",Consultoria empresarial,2025-04-08
Integration Consulting,"4,4",Consultoria empresarial,2025-04-08
Promon Group,"4,0",Consultoria empresarial,2025-04-08
Gallup,"4,3",Consultoria empresarial,2025-04-08
Grupo Portfolio,"4,4",Consultoria empresarial,2025-04-08
AZ Tecnologia em Gestão,"4,6",Consultoria empresarial,2025-04-08
Spencer Stuart,"4,3",Consultoria empresarial,2025-04-08
Indicium,"4,5",Consultoria empresarial,2025-04-08
Analysis Group,"4,4",Consultoria empresarial,2025-04-08
Fractal,"4,2",Consultoria empresarial,2025-04-08
ProV International,"4,0",Consultoria empresarial,2025-04-08
Endeavor Global,"4,3",Consultoria empresarial,2025-04-08
Partners in Performance,"4,2",Consultoria empresarial,2025-04-08
CITS,"4,0",Consultoria empresarial,2025-04-08
Growth Machine,"4,5",Consultoria empresarial,2025-04-08
Weme,"4,0",Consultoria empresarial,2025-04-08
Hprojekt,"4,1",Consultoria empresarial,2025-04-08
DinsmoreCompass,"4,7",Consultoria empresarial,2025-04-08
Bridge & Co,"4,1",Consultoria empresarial,2025-04-08
Apsis Consultoria,"4,2",Consultoria empresarial,2025-04-08
Business France,"4,0",Consultoria empresarial,2025-04-08
Athena,"4,0",Consultoria empresarial,2025-04-08
Environmental Protection Agency,"4,3",Consultoria empresarial,2025-04-08
Yeb Marketing & Sourcing,"4,0",Consultoria empresarial,2025-04-08
Fundação para o Desenvolvimento Tecnológico da Engenharia,"4,3",Consultoria empresarial,2025-04-08
Cask,"4,6",Consultoria empresarial,2025-04-08
ACE STARTUPS,"4,5",Consultoria empresarial,2025-04-08
General Water,"4,5",Consultoria empresarial,2025-04-08
ConVista Consulting,"4,3",Consultoria empresarial,2025-04-08
Peloton Consulting Group,"4,1",Consultoria empresarial,2025-04-08
Tredence,"4,0",Consultoria empresarial,2025-04-08
Scooto,"4,1",Consultoria empresarial,2025-04-08
tms,"4,0",Consultoria empresarial,2025-04-08
Heartman House Consultores,"4,7",Consultoria empresarial,2025-04-08
HKA,"4,0",Consultoria empresarial,2025-04-08
Prime Resuls,"4,1",Consultoria empresarial,2025-04-08
Metal Toad,"4,5",Consultoria empresarial,2025-04-08
QuantumBlack,"4,0",Consultoria empresarial,2025-04-08
Fluxo Consultoria,"4,8",Consultoria empresarial,2025-04-08
AFYA,"4,3",Consultoria empresarial,2025-04-08
Mirow & Co,"4,7",Consultoria empresarial,2025-04-08
Meiuca,"4,3",Consultoria empresarial,2025-04-08
Right Management,"4,0",Consultoria empresarial,2025-04-08
Familiar,"4,1",Consultoria empresarial,2025-04-08
Adami S/A,"4,4",Consultoria empresarial,2025-04-08
Greylogix,"4,6",Consultoria empresarial,2025-04-08
Petra Group,"4,2",Consultoria empresarial,2025-04-08
Kea&Partners,"4,1",Consultoria empresarial,2025-04-08
LMI,"4,0",Consultoria empresarial,2025-04-08
Fundação Gorceix,"4,0",Consultoria empresarial,2025-04-08
BCG Platinion,"4,3",Consultoria empresarial,2025-04-08
Kaizen Institute,"4,1",Consultoria empresarial,2025-04-08
BMJ Consultores Associados,"4,0",Consultoria empresarial,2025-04-08
