nome,nota,setor,data_ingestao
FAPESP,"4,7",Contabilidade e serviços fiscais,2025-04-08
Embraco,"4,1",Contabilidade e serviços fiscais,2025-04-08
Bernhoeft,"4,4",Contabilidade e serviços fiscais,2025-04-08
Artplan,"4,0",Contabilidade e serviços fiscais,2025-04-08
NeuroTech,"4,6",Contabilidade e serviços fiscais,2025-04-08
Grant Thornton Brasil,"4,0",Contabilidade e serviços fiscais,2025-04-08
SMS,"4,3",Contabilidade e serviços fiscais,2025-04-08
Drummond Advisors,"4,0",Contabilidade e serviços fiscais,2025-04-08
CCI,"4,1",Contabilidade e serviços fiscais,2025-04-08
Secran Contabilidade,"4,4",Contabilidade e serviços fiscais,2025-04-08
JCA Contadores,"4,4",Contabilidade e serviços fiscais,2025-04-08
Grupo Skill,"4,1",Contabilidade e serviços fiscais,2025-04-08
"DuCharme, McMillen & Associates, Inc.","4,2",Contabilidade e serviços fiscais,2025-04-08
Sintec,"4,2",Contabilidade e serviços fiscais,2025-04-08
Moss Adams LLP,"4,0",Contabilidade e serviços fiscais,2025-04-08
"Ryan, LLC","4,3",Contabilidade e serviços fiscais,2025-04-08
eLife,"4,3",Contabilidade e serviços fiscais,2025-04-08
Sicredi Planalto Central,"4,0",Contabilidade e serviços fiscais,2025-04-08
Kreston,"4,0",Contabilidade e serviços fiscais,2025-04-08
Alianzo,"4,3",Contabilidade e serviços fiscais,2025-04-08
DGA Office,"4,0",Contabilidade e serviços fiscais,2025-04-08
Tendências Consultoria Integrada,"4,3",Contabilidade e serviços fiscais,2025-04-08
Agrocontar,"4,2",Contabilidade e serviços fiscais,2025-04-08
Petroeng,"4,3",Contabilidade e serviços fiscais,2025-04-08
Plante Moran,"4,1",Contabilidade e serviços fiscais,2025-04-08
Coplan Contadores & Consultores,"4,1",Contabilidade e serviços fiscais,2025-04-08
TAG,"4,3",Contabilidade e serviços fiscais,2025-04-08
H&CO,"4,1",Contabilidade e serviços fiscais,2025-04-08
DHG,"4,2",Contabilidade e serviços fiscais,2025-04-08
Contele Soluções Tecnológicas,"4,4",Contabilidade e serviços fiscais,2025-04-08
Manager Gestão Condominial,"4,2",Contabilidade e serviços fiscais,2025-04-08
Krypton BPO,"4,3",Contabilidade e serviços fiscais,2025-04-08
Evolução,"4,3",Contabilidade e serviços fiscais,2025-04-08
Moore Prisma,"4,1",Contabilidade e serviços fiscais,2025-04-08
Planave,"4,0",Contabilidade e serviços fiscais,2025-04-08
Crowe MacKay,"4,1",Contabilidade e serviços fiscais,2025-04-08
KTG BRASIL CONTÁBIL,"4,1",Contabilidade e serviços fiscais,2025-04-08
Grupo SKZ,"4,1",Contabilidade e serviços fiscais,2025-04-08
TVS,"4,0",Contabilidade e serviços fiscais,2025-04-08
