nome,nota,setor,data_ingestao
Unimed,"4,2",Cuidados de saúde,2025-04-08
SPDM - Associação Paulista para o Desenvolvimento da Medicina,"4,0",Cuidados de saúde,2025-04-08
Hospital Israelita Albert Einstein,"4,5",Cuidados de saúde,2025-04-08
Prevent Sênior,"4,2",Cuidados de saúde,2025-04-08
Hospital Santa Marcelina,"4,0",Cuidados de saúde,2025-04-08
BP - A Beneficência Portuguesa de São Paulo,"4,0",Cuidados de saúde,2025-04-08
Northside Hospital,"4,4",Cuidados de saúde,2025-04-08
Associação Saúde da Família (ASF),"4,3",Cuidados de saúde,2025-04-08
A.C.Camargo Cancer Center,"4,2",Cuidados de saúde,2025-04-08
Unimed - Belo Horizonte,"4,2",Cuidados de saúde,2025-04-08
epharma,"4,3",Cuidados de saúde,2025-04-08
NewYork-Presbyterian Hospital,"4,0",Cuidados de saúde,2025-04-08
Seconci Hospital Estadual da Vila Alpina,"4,0",Cuidados de saúde,2025-04-08
Hospital Pequeno Príncipe,"4,0",Cuidados de saúde,2025-04-08
Unimed Nacional,"4,2",Cuidados de saúde,2025-04-08
Strattner,"4,1",Cuidados de saúde,2025-04-08
AllCare Gestora de Saúde,"4,3",Cuidados de saúde,2025-04-08
Qualirede,"4,1",Cuidados de saúde,2025-04-08
24 Hour Home Care,"4,0",Cuidados de saúde,2025-04-08
Hospital Albert Einstein,"4,5",Cuidados de saúde,2025-04-08
Hospital São Camilo,"4,1",Cuidados de saúde,2025-04-08
Werfen,"4,0",Cuidados de saúde,2025-04-08
Vittude,"4,0",Cuidados de saúde,2025-04-08
Helping Hands Home Care,"4,4",Cuidados de saúde,2025-04-08
St. Jude Children's Research Hospital,"4,6",Cuidados de saúde,2025-04-08
Action Behavior Centers - ABA Therapy for Autism,"4,0",Cuidados de saúde,2025-04-08
Mendelics,"4,2",Cuidados de saúde,2025-04-08
HHH,"4,0",Cuidados de saúde,2025-04-08
MD Anderson Cancer Center,"4,1",Cuidados de saúde,2025-04-08
Omega Healthcare,"4,0",Cuidados de saúde,2025-04-08
Hospital Tacchini,"4,0",Cuidados de saúde,2025-04-08
Laboratório Ramos de Souza,"4,2",Cuidados de saúde,2025-04-08
NYU Langone Health,"4,4",Cuidados de saúde,2025-04-08
Dana-Farber Cancer Institute,"4,0",Cuidados de saúde,2025-04-08
Hospital da PUC-Campinas,"4,0",Cuidados de saúde,2025-04-08
Hospital Ipiranga,"4,1",Cuidados de saúde,2025-04-08
SouSmile,"4,4",Cuidados de saúde,2025-04-08
Everymind,"4,0",Cuidados de saúde,2025-04-08
Cedars-Sinai Medical Center,"4,0",Cuidados de saúde,2025-04-08
Trilogy Health Services,"4,2",Cuidados de saúde,2025-04-08
Houston Methodist,"4,3",Cuidados de saúde,2025-04-08
Instituto de Cardiologia do Rio Grande do Sul,"4,0",Cuidados de saúde,2025-04-08
Sharp HealthCare,"4,1",Cuidados de saúde,2025-04-08
AFECC - Hospital Santa Rita de Cássia,"4,2",Cuidados de saúde,2025-04-08
Unilab,"4,0",Cuidados de saúde,2025-04-08
AdventHealth Corporate,"4,0",Cuidados de saúde,2025-04-08
Orlando Health,"4,1",Cuidados de saúde,2025-04-08
"Associação de Gestão, Inovação e Resultados em Saúde,","4,3",Cuidados de saúde,2025-04-08
Grupo Taiz Campbell,"4,5",Cuidados de saúde,2025-04-08
CTI Clinical Trial and Consulting Services,"4,3",Cuidados de saúde,2025-04-08
Medcor,"4,0",Cuidados de saúde,2025-04-08
GRANDISON MANAGEMENT,"4,0",Cuidados de saúde,2025-04-08
Portal Telemedicina,"4,0",Cuidados de saúde,2025-04-08
Proprio,"4,5",Cuidados de saúde,2025-04-08
AIDS Healthcare Foundation,"3,0",Cuidados de saúde,2025-04-08
Medprev,"4,0",Cuidados de saúde,2025-04-08
Unimed Sorocaba,"4,1",Cuidados de saúde,2025-04-08
Grupo Empório Saúde,"4,1",Cuidados de saúde,2025-04-08
CBV Hospital de Olhos,"4,4",Cuidados de saúde,2025-04-08
MINT dentistry,"4,1",Cuidados de saúde,2025-04-08
Silverado,"4,0",Cuidados de saúde,2025-04-08
Luma Health,"4,3",Cuidados de saúde,2025-04-08
Genial Care,"4,0",Cuidados de saúde,2025-04-08
