nome,nota,setor,data_ingestao
Microsoft,"4,2",Desenvolvimento de hardware,2025-04-08
Robert Bosch,"4,2",Desenvolvimento de hardware,2025-04-08
Apple,"4,1",Desenvolvimento de hardware,2025-04-08
HP Inc.,"4,1",Desenvolvimento de hardware,2025-04-08
Honeywell,"4,1",Desenvolvimento de hardware,2025-04-08
Instituto de Pesquisas ELDORADO,"4,4",Desenvolvimento de hardware,2025-04-08
RD Station,"4,2",Desenvolvimento de hardware,2025-04-08
VTEX,"4,0",Desenvolvimento de hardware,2025-04-08
Luizalabs,"4,3",Desenvolvimento de hardware,2025-04-08
Adobe,"4,2",Desenvolvimento de hardware,2025-04-08
Cadence Design Systems,"4,2",Desenvolvimento de hardware,2025-04-08
Olist,"4,0",Desenvolvimento de hardware,2025-04-08
Dextra,"4,5",Desenvolvimento de hardware,2025-04-08
ioasys,"4,1",Desenvolvimento de hardware,2025-04-08
E.life Group,"4,2",Desenvolvimento de hardware,2025-04-08
DocPlanner,"4,5",Desenvolvimento de hardware,2025-04-08
Light,"4,0",Desenvolvimento de hardware,2025-04-08
FICO,"4,1",Desenvolvimento de hardware,2025-04-08
Gemalto,"4,2",Desenvolvimento de hardware,2025-04-08
AMD,"4,0",Desenvolvimento de hardware,2025-04-08
DONE by NONE,"4,1",Desenvolvimento de hardware,2025-04-08
Involves,"4,1",Desenvolvimento de hardware,2025-04-08
NVIDIA,"4,5",Desenvolvimento de hardware,2025-04-08
ArcTouch,"4,2",Desenvolvimento de hardware,2025-04-08
Trimble,"4,0",Desenvolvimento de hardware,2025-04-08
Itautec,"4,3",Desenvolvimento de hardware,2025-04-08
NeuroTech,"4,6",Desenvolvimento de hardware,2025-04-08
Ícaro Technologies,"4,6",Desenvolvimento de hardware,2025-04-08
SAP Concur,"4,0",Desenvolvimento de hardware,2025-04-08
"Alelo TLT, LLC.","4,2",Desenvolvimento de hardware,2025-04-08
Blip,"4,2",Desenvolvimento de hardware,2025-04-08
Databricks,"4,3",Desenvolvimento de hardware,2025-04-08
Kaspersky,"4,2",Desenvolvimento de hardware,2025-04-08
Slide Inc,"4,4",Desenvolvimento de hardware,2025-04-08
Logitech,"4,2",Desenvolvimento de hardware,2025-04-08
Tractian,"4,3",Desenvolvimento de hardware,2025-04-08
Marvell Technology,"4,1",Desenvolvimento de hardware,2025-04-08
Arm,"4,4",Desenvolvimento de hardware,2025-04-08
YES,"4,2",Desenvolvimento de hardware,2025-04-08
Buscapé,"4,2",Desenvolvimento de hardware,2025-04-08
Movidesk,"4,1",Desenvolvimento de hardware,2025-04-08
ESSS,"4,3",Desenvolvimento de hardware,2025-04-08
Hexagon Mining,"4,3",Desenvolvimento de hardware,2025-04-08
Zappts,"4,0",Desenvolvimento de hardware,2025-04-08
FPF Tech,"4,5",Desenvolvimento de hardware,2025-04-08
Khomp,"4,3",Desenvolvimento de hardware,2025-04-08
Vistex,"4,2",Desenvolvimento de hardware,2025-04-08
GSW Software,"4,3",Desenvolvimento de hardware,2025-04-08
EPI-USE,"4,3",Desenvolvimento de hardware,2025-04-08
Premier IT Solutions,"4,2",Desenvolvimento de hardware,2025-04-08
Trimble Brasil,"4,6",Desenvolvimento de hardware,2025-04-08
Audaces,"4,0",Desenvolvimento de hardware,2025-04-08
Intralinks,"4,2",Desenvolvimento de hardware,2025-04-08
Grupo Casa Magalhães,"4,1",Desenvolvimento de hardware,2025-04-08
Seiko Epson,"4,0",Desenvolvimento de hardware,2025-04-08
Academia,"4,1",Desenvolvimento de hardware,2025-04-08
