nome,nota,setor,data_ingestao
Softplan,"4,2",Desenvolvimento de software,2025-04-08
Motorola Solutions,"4,3",Desenvolvimento de software,2025-04-08
CWI Software,"4,4",Desenvolvimento de software,2025-04-08
Intuit,"4,3",Desenvolvimento de software,2025-04-08
Gupy,"4,1",Desenvolvimento de software,2025-04-08
Dassault Systèmes,"4,0",Desenvolvimento de software,2025-04-08
Siemens Digital Industries Software,"4,2",Desenvolvimento de software,2025-04-08
PTC,"4,0",Desenvolvimento de software,2025-04-08
ReclameAqui,"4,0",Desenvolvimento de software,2025-04-08
AVEVA,"4,0",Desenvolvimento de software,2025-04-08
Zoho,"4,3",Desenvolvimento de software,2025-04-08
IOB,"4,2",Desenvolvimento de software,2025-04-08
Pontomais,"4,0",Desenvolvimento de software,2025-04-08
UDS Tecnologia,"4,2",Desenvolvimento de software,2025-04-08
Syngenta Digital,"4,4",Desenvolvimento de software,2025-04-08
Caju (Brazil),"4,4",Desenvolvimento de software,2025-04-08
Nimbi,"4,1",Desenvolvimento de software,2025-04-08
Engesoftware Tecnologia,"4,2",Desenvolvimento de software,2025-04-08
Atlas Technologies (Brazil),"4,4",Desenvolvimento de software,2025-04-08
SUSE,"4,0",Desenvolvimento de software,2025-04-08
Luby,"4,4",Desenvolvimento de software,2025-04-08
Altair Engineering,"4,2",Desenvolvimento de software,2025-04-08
Magazord,"4,3",Desenvolvimento de software,2025-04-08
Exadel,"4,2",Desenvolvimento de software,2025-04-08
Canva,"4,1",Desenvolvimento de software,2025-04-08
Guidewire,"4,2",Desenvolvimento de software,2025-04-08
PontoTel,"4,5",Desenvolvimento de software,2025-04-08
SoftDesign,"4,7",Desenvolvimento de software,2025-04-08
Laboratório Bridge,"4,8",Desenvolvimento de software,2025-04-08
Stealth Startup,"4,2",Desenvolvimento de software,2025-04-08
Corebiz,"4,1",Desenvolvimento de software,2025-04-08
MáximaTech,"4,1",Desenvolvimento de software,2025-04-08
WK,"4,2",Desenvolvimento de software,2025-04-08
Elotech,"4,2",Desenvolvimento de software,2025-04-08
Box,"4,3",Desenvolvimento de software,2025-04-08
MathWorks,"4,3",Desenvolvimento de software,2025-04-08
Cloudera,"4,0",Desenvolvimento de software,2025-04-08
Deliver IT,"4,3",Desenvolvimento de software,2025-04-08
Kobe,"4,5",Desenvolvimento de software,2025-04-08
Griaule,"4,4",Desenvolvimento de software,2025-04-08
Hinova Solucoes Digitais,"4,1",Desenvolvimento de software,2025-04-08
Descartes Systems,"4,0",Desenvolvimento de software,2025-04-08
