nome,nota,setor,data_ingestao
Farmacias de Similares,"4,0",Drogarias e farmácias,2025-04-08
Dental Cremer,"4,0",Drogarias e farmácias,2025-04-08
Farmacia San Pablo,"4,1",Drogarias e farmácias,2025-04-08
A Nossa Drogaria,"4,1",Drogarias e farmácias,2025-04-08
dm-drogerie markt,"4,0",Drogarias e farmácias,2025-04-08
Vhita,"4,3",Drogarias e farmácias,2025-04-08
Ótica Popular,"4,4",Drogarias e farmácias,2025-04-08
Dimed,"4,1",Drogarias e farmácias,2025-04-08
MB Farmácias,"4,0",Drogarias e farmácias,2025-04-08
Grupo Cenutri,"4,2",Drogarias e farmácias,2025-04-08
Drogaria Big Farma,"4,3",Drogarias e farmácias,2025-04-08
American Botanical Pharmacy,"4,7",Drogarias e farmácias,2025-04-08
Grupo J-Cruz,"4,4",Drogarias e farmácias,2025-04-08
DF Distribuidora Farma E HPC,"4,0",Drogarias e farmácias,2025-04-08
N1 Distribuidora,"4,3",Drogarias e farmácias,2025-04-08
Óticas Americanas,"4,6",Drogarias e farmácias,2025-04-08
Max Muscle,"4,3",Drogarias e farmácias,2025-04-08
Grupo Soma Hospitalar,"4,1",Drogarias e farmácias,2025-04-08
Distribuidora De Medicamentos Santa Cruz,"4,3",Drogarias e farmácias,2025-04-08
DROGARIA SÃO LEOPOLDO,"4,0",Drogarias e farmácias,2025-04-08
Laszlo Aromaterapia,"4,7",Drogarias e farmácias,2025-04-08
Grupo Distrifarma,"4,5",Drogarias e farmácias,2025-04-08
Rede Biodrogas,"4,1",Drogarias e farmácias,2025-04-08
Caufarma Drogarias,"4,6",Drogarias e farmácias,2025-04-08
Canello Pneumáticos,"4,0",Drogarias e farmácias,2025-04-08
Flyby,"4,4",Drogarias e farmácias,2025-04-08
Sartori (Brazil),"4,6",Drogarias e farmácias,2025-04-08
Tudo Delas Makeup,"4,1",Drogarias e farmácias,2025-04-08
WellWell,"4,0",Drogarias e farmácias,2025-04-08
Nova Medtec,"5,0",Drogarias e farmácias,2025-04-08
Drogaria Marcelino,"5,0",Drogarias e farmácias,2025-04-08
Comércio e Indústria Química,"4,2",Drogarias e farmácias,2025-04-08
Drug Store Popular,"5,0",Drogarias e farmácias,2025-04-08
Distribuidora Prohospital,"4,0",Drogarias e farmácias,2025-04-08
Bisturi,"4,4",Drogarias e farmácias,2025-04-08
Under labz,"4,5",Drogarias e farmácias,2025-04-08
Qualylentes Indústria Óptica,"4,7",Drogarias e farmácias,2025-04-08
Smart Laboratório,"5,0",Drogarias e farmácias,2025-04-08
Treemed,"5,0",Drogarias e farmácias,2025-04-08
Farmácia de Manipulação Dias da Cruz,"4,5",Drogarias e farmácias,2025-04-08
CLP Tabacos,"5,0",Drogarias e farmácias,2025-04-08
Americana Hospitalar,"4,0",Drogarias e farmácias,2025-04-08
LOCASET,"4,0",Drogarias e farmácias,2025-04-08
Supermercado Para Todos,"5,0",Drogarias e farmácias,2025-04-08
Curaden Swiss do Brasil Importação e Exportação,"5,0",Drogarias e farmácias,2025-04-08
Marine Shop,"5,0",Drogarias e farmácias,2025-04-08
Dental Pasane,"5,0",Drogarias e farmácias,2025-04-08
Med Supply Produtos Médicos,"4,0",Drogarias e farmácias,2025-04-08
Kapsula,"4,0",Drogarias e farmácias,2025-04-08
Drogaria Speedfarma,"4,0",Drogarias e farmácias,2025-04-08
Drogaria Speedfarma,"4,0",Drogarias e farmácias,2025-04-08
Doctor Feet (Brazil),"5,0",Drogarias e farmácias,2025-04-08
A Feirita Distribuidora,"4,2",Drogarias e farmácias,2025-04-08
Fitness Mall,"5,0",Drogarias e farmácias,2025-04-08
