nome,nota,setor,data_ingestao
Suzano,"4,4",Educação,2025-04-08
CIEE (Brazil),"4,2",Educação,2025-04-08
Kroton Educacional,"4,1",Educação,2025-04-08
Universidade Estadual de Campinas (UNICAMP),"4,5",Educação,2025-04-08
Cogna,"4,1",Educação,2025-04-08
YDUQS,"4,1",Educação,2025-04-08
Universidade Federal do Rio de Janeiro,"4,1",Educação,2025-04-08
Afya,"4,1",Educação,2025-04-08
Somos Educação,"4,1",Educação,2025-04-08
Grupo Marista,"4,2",Educação,2025-04-08
CAPES,"4,0",Educação,2025-04-08
UFMG - Universidade Federal de Minas Gerais,"4,4",Educação,2025-04-08
SESI-SP,"4,1",Educação,2025-04-08
Universidade Federal do Rio Grande do Sul (UFRS),"4,4",Educação,2025-04-08
Pontificia Universidade Católica do Rio Grande do Sul (PUC-RS),"4,0",Educação,2025-04-08
Laureate Education,"4,0",Educação,2025-04-08
Grupo UNINTER,"4,3",Educação,2025-04-08
Universidade Federal de Santa Catarina (UFSC),"4,4",Educação,2025-04-08
Gran,"4,4",Educação,2025-04-08
Uniasselvi,"4,1",Educação,2025-04-08
Universidade de Brasília (UBN),"4,3",Educação,2025-04-08
Universidade Federal de Pernambuco (UFPE),"4,3",Educação,2025-04-08
Universidade Federal Fluminense (UFF),"4,6",Educação,2025-04-08
PUC Minas,"4,4",Educação,2025-04-08
Universidade do Estado do Rio de Janeiro (UERJ),"4,4",Educação,2025-04-08
Universidade Tecnológica Federal do Paraná (UTFPR),"4,5",Educação,2025-04-08
PUC Rio,"4,5",Educação,2025-04-08
Butantan Institute,"4,2",Educação,2025-04-08
Universidade Federal de São Paulo (UNIFESP),"4,1",Educação,2025-04-08
Colégio Visconde de Porto Seguro,"4,1",Educação,2025-04-08
Senac,"4,2",Educação,2025-04-08
Inatel,"4,0",Educação,2025-04-08
Trybe (Brazil),"4,0",Educação,2025-04-08
Universidade Federal do ABC (UFABC),"4,4",Educação,2025-04-08
Insper,"4,3",Educação,2025-04-08
Universidade de Fortaleza - Unifor,"4,3",Educação,2025-04-08
Poliedro Educação,"4,0",Educação,2025-04-08
Unisinos,"4,0",Educação,2025-04-08
Stanford University,"4,3",Educação,2025-04-08
Universidade Federal de Juiz de Fora (UFJF),"4,7",Educação,2025-04-08
Simon Fraser University,"4,0",Educação,2025-04-08
Indiana University,"4,1",Educação,2025-04-08
Feevale University,"4,1",Educação,2025-04-08
SENAI-SP,"4,0",Educação,2025-04-08
Universidad Nacional Autónoma de México,"4,4",Educação,2025-04-08
UNASP,"4,4",Educação,2025-04-08
UC San Francisco,"4,0",Educação,2025-04-08
MIT,"4,3",Educação,2025-04-08
University of Michigan,"4,3",Educação,2025-04-08
Universidade Federal de Lavras (UFLA),"4,7",Educação,2025-04-08
UC Santa Cruz,"4,1",Educação,2025-04-08
UC Santa Barbara,"4,3",Educação,2025-04-08
Harvard University,"4,2",Educação,2025-04-08
UFAM - Universidade Federal do Amazonas,"4,4",Educação,2025-04-08
PUCPR,"4,1",Educação,2025-04-08
Rockfeller Language Center,"4,1",Educação,2025-04-08
Tecnológico de Monterrey,"4,4",Educação,2025-04-08
Fundação Dom Cabral,"4,4",Educação,2025-04-08
Ibmec,"4,3",Educação,2025-04-08
Symplicity Corporation,"4,5",Educação,2025-04-08
IFSP,"4,4",Educação,2025-04-08
Columbia University,"4,0",Educação,2025-04-08
Texas A&M University,"4,4",Educação,2025-04-08
University of Notre Dame,"4,6",Educação,2025-04-08
Medway Residência Médica,"4,3",Educação,2025-04-08
TCU,"4,4",Educação,2025-04-08
UC San Diego,"4,2",Educação,2025-04-08
Imperial College London,"4,4",Educação,2025-04-08
Oxford University,"4,1",Educação,2025-04-08
+A Educação,"4,0",Educação,2025-04-08
University of Washington,"4,2",Educação,2025-04-08
Colégio Adventista,"4,0",Educação,2025-04-08
NYU (New York University),"4,3",Educação,2025-04-08
Organização Educacional Farias Brito,"4,1",Educação,2025-04-08
Georgia Tech,"4,3",Educação,2025-04-08
Universidade Federal de Alagoas (UFAL),"4,3",Educação,2025-04-08
University of Florida,"4,3",Educação,2025-04-08
Fundação Vanzolini,"4,1",Educação,2025-04-08
UFSCAR - Universidade Federal de São Carlos,"4,5",Educação,2025-04-08
Firjan SENAI,"4,4",Educação,2025-04-08
Universidade Federal do Pará (UFPA),"4,6",Educação,2025-04-08
DeVry University,"4,1",Educação,2025-04-08
Crescimentum,"4,2",Educação,2025-04-08
Fundação Instituto Nacional de Telecomunicações,"4,2",Educação,2025-04-08
North Carolina State University,"4,2",Educação,2025-04-08
Tera,"4,1",Educação,2025-04-08
University of Texas at Austin,"4,1",Educação,2025-04-08
Case Western Reserve University,"4,1",Educação,2025-04-08
ESPM,"4,3",Educação,2025-04-08
University of Melbourne,"4,2",Educação,2025-04-08
University of Minnesota,"4,1",Educação,2025-04-08
San José State University,"4,2",Educação,2025-04-08
Cultural Care Au Pair,"4,1",Educação,2025-04-08
Universidade Católica de Brasília,"4,2",Educação,2025-04-08
University of Toronto,"4,3",Educação,2025-04-08
University of Cambridge,"4,2",Educação,2025-04-08
"IDP - Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa","4,1",Educação,2025-04-08
Dale Carnegie,"4,4",Educação,2025-04-08
University of Pennsylvania,"4,1",Educação,2025-04-08
Arizona State University,"4,3",Educação,2025-04-08
Colégio Albert Sabin,"4,4",Educação,2025-04-08
Universidade Federal do Piauí (UFPI),"4,4",Educação,2025-04-08
Alumia,"4,6",Educação,2025-04-08
IDP Education,"4,0",Educação,2025-04-08
UNIBRA Centro Universitário Brasileiro,"4,0",Educação,2025-04-08
