nome,nota,setor,data_ingestao
Raízen,"4,0",Energia e serviços públicos,2025-04-08
Schneider Electric,"4,3",Energia e serviços públicos,2025-04-08
Shell,"4,0",Energia e serviços públicos,2025-04-08
SLB,"4,0",Energia e serviços públicos,2025-04-08
Petrobras,"4,6",Energia e serviços públicos,2025-04-08
TechnipFMC,"4,3",Energia e serviços públicos,2025-04-08
Petrobras Energía,"4,5",Energia e serviços públicos,2025-04-08
Energisa,"4,1",Energia e serviços públicos,2025-04-08
CPFL Energia,"4,0",Energia e serviços públicos,2025-04-08
Siemens Energy,"4,2",Energia e serviços públicos,2025-04-08
Ipiranga,"4,0",Energia e serviços públicos,2025-04-08
EDP,"4,0",Energia e serviços públicos,2025-04-08
SABESP,"4,3",Energia e serviços públicos,2025-04-08
Ultragaz,"4,0",Energia e serviços públicos,2025-04-08
TotalEnergies,"4,0",Energia e serviços públicos,2025-04-08
Neoenergia,"4,1",Energia e serviços públicos,2025-04-08
Aker Solutions,"4,2",Energia e serviços públicos,2025-04-08
Petronas,"4,2",Energia e serviços públicos,2025-04-08
Subsea 7,"4,2",Energia e serviços públicos,2025-04-08
Supergasbras,"4,5",Energia e serviços públicos,2025-04-08
CEMIG,"4,2",Energia e serviços públicos,2025-04-08
MODEC,"4,0",Energia e serviços públicos,2025-04-08
Eletrobras,"4,1",Energia e serviços públicos,2025-04-08
Comgás,"4,3",Energia e serviços públicos,2025-04-08
Vestas Wind Systems,"4,0",Energia e serviços públicos,2025-04-08
Aegea Saneamento,"4,0",Energia e serviços públicos,2025-04-08
SBM Offshore,"4,2",Energia e serviços públicos,2025-04-08
DNV,"4,0",Energia e serviços públicos,2025-04-08
ISA CTEEP,"4,2",Energia e serviços públicos,2025-04-08
Hitachi Energy,"4,1",Energia e serviços públicos,2025-04-08
Atvos,"4,1",Energia e serviços públicos,2025-04-08
Norsk Hydro,"4,0",Energia e serviços públicos,2025-04-08
GE Renewable Energy,"4,1",Energia e serviços públicos,2025-04-08
Equinor,"4,4",Energia e serviços públicos,2025-04-08
AES Eletropaulo,"4,0",Energia e serviços públicos,2025-04-08
Moove Lubrificantes,"4,3",Energia e serviços públicos,2025-04-08
Furnas,"4,7",Energia e serviços públicos,2025-04-08
BP Bunge Bioenergia,"4,3",Energia e serviços públicos,2025-04-08
Comerc Energia,"4,3",Energia e serviços públicos,2025-04-08
Companhia de Saneamento,"4,3",Energia e serviços públicos,2025-04-08
Celesc,"4,2",Energia e serviços públicos,2025-04-08
Cpfl Paulista,"4,3",Energia e serviços públicos,2025-04-08
Transpetro,"4,4",Energia e serviços públicos,2025-04-08
ONS Operador Nacional do Sistema Elétrico,"4,5",Energia e serviços públicos,2025-04-08
CCEE,"4,4",Energia e serviços públicos,2025-04-08
Transocean,"4,4",Energia e serviços públicos,2025-04-08
Estre Ambiental,"4,3",Energia e serviços públicos,2025-04-08
Itaipu,"4,6",Energia e serviços públicos,2025-04-08
Statkraft AS,"4,3",Energia e serviços públicos,2025-04-08
Fluor,"4,0",Energia e serviços públicos,2025-04-08
Ecogen,"4,0",Energia e serviços públicos,2025-04-08
GreenYellow,"4,1",Energia e serviços públicos,2025-04-08
Kongsberg Gruppen,"4,1",Energia e serviços públicos,2025-04-08
Equatorial Maranhão,"4,4",Energia e serviços públicos,2025-04-08
Technip,"4,1",Energia e serviços públicos,2025-04-08
Cosan,"4,3",Energia e serviços públicos,2025-04-08
Norte Tech,"4,1",Energia e serviços públicos,2025-04-08
Light Servicos de Eletricidade,"4,2",Energia e serviços públicos,2025-04-08
Copersucar,"4,0",Energia e serviços públicos,2025-04-08
Constellation Energy,"4,0",Energia e serviços públicos,2025-04-08
ACCIONA,"4,1",Energia e serviços públicos,2025-04-08
Matrix Energia,"4,1",Energia e serviços públicos,2025-04-08
Pacific Gas and Electric,"4,1",Energia e serviços públicos,2025-04-08
Royal Vopak,"4,3",Energia e serviços públicos,2025-04-08
Grupo Lwart,"4,4",Energia e serviços públicos,2025-04-08
Hydro One,"4,2",Energia e serviços públicos,2025-04-08
Oceânica,"4,0",Energia e serviços públicos,2025-04-08
Combio Energia,"4,3",Energia e serviços públicos,2025-04-08
DOF Subsea,"4,3",Energia e serviços públicos,2025-04-08
CASAN,"4,5",Energia e serviços públicos,2025-04-08
TBG,"4,2",Energia e serviços públicos,2025-04-08
Citelum,"4,1",Energia e serviços públicos,2025-04-08
Ferrous Resources,"4,2",Energia e serviços públicos,2025-04-08
EDF Renewables,"4,2",Energia e serviços públicos,2025-04-08
Repsol,"4,0",Energia e serviços públicos,2025-04-08
SSE,"4,0",Energia e serviços públicos,2025-04-08
Wayne Fueling Systems,"4,1",Energia e serviços públicos,2025-04-08
Valaris,"4,1",Energia e serviços públicos,2025-04-08
Oil and Natural Gas,"4,2",Energia e serviços públicos,2025-04-08
Sterlite Power,"4,0",Energia e serviços públicos,2025-04-08
Soltec,"4,0",Energia e serviços públicos,2025-04-08
Valero,"4,2",Energia e serviços públicos,2025-04-08
Casa dos Ventos,"4,2",Energia e serviços públicos,2025-04-08
Binatural,"4,0",Energia e serviços públicos,2025-04-08
E.ON,"4,1",Energia e serviços públicos,2025-04-08
BG Group,"4,1",Energia e serviços públicos,2025-04-08
Neosolar Energia,"4,7",Energia e serviços públicos,2025-04-08
Acelen,"4,0",Energia e serviços públicos,2025-04-08
Saudi Aramco,"4,2",Energia e serviços públicos,2025-04-08
BC Hydro,"4,0",Energia e serviços públicos,2025-04-08
Severn Trent,"4,5",Energia e serviços públicos,2025-04-08
Shell Energy Retail,"4,1",Energia e serviços públicos,2025-04-08
Dominion Energy,"4,0",Energia e serviços públicos,2025-04-08
FGH,"4,1",Energia e serviços públicos,2025-04-08
