nome,nota,setor,data_ingestao
MAERSK,"4,0",Entrega de mercadorias,2025-04-08
Total Quality Logistics,"4,1",Entrega de mercadorias,2025-04-08
Hamburg Süd,"4,1",Entrega de mercadorias,2025-04-08
Expresso São Miguel,"4,0",Entrega de mercadorias,2025-04-08
ZIM Integrated Shipping Services,"4,2",Entrega de mercadorias,2025-04-08
CHEP,"4,0",Entrega de mercadorias,2025-04-08
Melhor Envio,"4,0",Entrega de mercadorias,2025-04-08
Aliança Navegação,"4,4",Entrega de mercadorias,2025-04-08
OSM Maritime Group,"4,1",Entrega de mercadorias,2025-04-08
Wilhelmsen Group,"4,0",Entrega de mercadorias,2025-04-08
Teekay,"4,0",Entrega de mercadorias,2025-04-08
Work & Co,"4,1",Entrega de mercadorias,2025-04-08
Trensurb,"4,4",Entrega de mercadorias,2025-04-08
CET Logistics,"4,1",Entrega de mercadorias,2025-04-08
Goop (Brazil),"4,2",Entrega de mercadorias,2025-04-08
Boskalis,"4,2",Entrega de mercadorias,2025-04-08
MISC,"4,1",Entrega de mercadorias,2025-04-08
LOTS Group,"4,3",Entrega de mercadorias,2025-04-08
SuperFrete,"4,6",Entrega de mercadorias,2025-04-08
SAAM Towage,"4,1",Entrega de mercadorias,2025-04-08
Averitt,"4,0",Entrega de mercadorias,2025-04-08
Rocha Terminais Portuários e Logística,"4,8",Entrega de mercadorias,2025-04-08
Fratelli Cosulich,"4,3",Entrega de mercadorias,2025-04-08
CJ Darcl Logistics,"4,2",Entrega de mercadorias,2025-04-08
Orgafarma,"4,2",Entrega de mercadorias,2025-04-08
ANSAL,"4,1",Entrega de mercadorias,2025-04-08
Royal Cargo do Brasil,"4,3",Entrega de mercadorias,2025-04-08
D´Granel Transportes,"4,2",Entrega de mercadorias,2025-04-08
ES,"4,3",Entrega de mercadorias,2025-04-08
Bosta,"4,0",Entrega de mercadorias,2025-04-08
Via Sudeste Transportes Urbanos,"4,0",Entrega de mercadorias,2025-04-08
Grupo Ergo,"4,7",Entrega de mercadorias,2025-04-08
T2P Transport to Progress,"4,0",Entrega de mercadorias,2025-04-08
UWL,"4,1",Entrega de mercadorias,2025-04-08
PX (Brazil),"4,0",Entrega de mercadorias,2025-04-08
Cenibra Logística,"4,1",Entrega de mercadorias,2025-04-08
DFDS,"4,0",Entrega de mercadorias,2025-04-08
Farstad Shipping,"4,2",Entrega de mercadorias,2025-04-08
Next Shipping,"4,5",Entrega de mercadorias,2025-04-08
BW Group,"4,1",Entrega de mercadorias,2025-04-08
Grupo Boa Praça,"4,0",Entrega de mercadorias,2025-04-08
Rapido Luxo Campinas,"4,1",Entrega de mercadorias,2025-04-08
Southeastern Freight Lines,"4,0",Entrega de mercadorias,2025-04-08
Carris Porto Alegrense,"4,4",Entrega de mercadorias,2025-04-08
Iceport,"4,2",Entrega de mercadorias,2025-04-08
LS LOG,"4,1",Entrega de mercadorias,2025-04-08
Platinum Log,"4,0",Entrega de mercadorias,2025-04-08
Unindo Logistica,"4,4",Entrega de mercadorias,2025-04-08
EQI,"4,1",Entrega de mercadorias,2025-04-08
Brambles,"4,3",Entrega de mercadorias,2025-04-08
Bandeirantes Deicmar,"4,1",Entrega de mercadorias,2025-04-08
Julio Simões Transportes,"4,3",Entrega de mercadorias,2025-04-08
Billor,"4,9",Entrega de mercadorias,2025-04-08
Uniserve Group,"4,5",Entrega de mercadorias,2025-04-08
Sunset Transportation,"4,5",Entrega de mercadorias,2025-04-08
DP WORLD,"4,1",Entrega de mercadorias,2025-04-08
Brasmeg,"4,4",Entrega de mercadorias,2025-04-08
Jomed Transportes e Logistica,"4,5",Entrega de mercadorias,2025-04-08
H.Essers,"4,0",Entrega de mercadorias,2025-04-08
Garbuio Transportadora,"4,3",Entrega de mercadorias,2025-04-08
Leão Log,"4,3",Entrega de mercadorias,2025-04-08
MVA,"4,3",Entrega de mercadorias,2025-04-08
Azul Cargo Express,"4,3",Entrega de mercadorias,2025-04-08
FLAMARSUL DISTRIBUIDORA,"4,2",Entrega de mercadorias,2025-04-08
Transportes Cordenonsi,"4,5",Entrega de mercadorias,2025-04-08
LBC Express,"4,0",Entrega de mercadorias,2025-04-08
Flowspace,"4,7",Entrega de mercadorias,2025-04-08
Gaslog,"4,2",Entrega de mercadorias,2025-04-08
Copadubo Transportes e Logística,"4,4",Entrega de mercadorias,2025-04-08
Carsten Serviços,"4,4",Entrega de mercadorias,2025-04-08
Grupo Disbral (Brazil),"4,3",Entrega de mercadorias,2025-04-08
Rapido Fenix Viacao,"4,1",Entrega de mercadorias,2025-04-08
Metrobi,"4,3",Entrega de mercadorias,2025-04-08
B.lotti,"4,1",Entrega de mercadorias,2025-04-08
Lordelo log,"4,3",Entrega de mercadorias,2025-04-08
Morada Logística,"4,4",Entrega de mercadorias,2025-04-08
Cooperativa dos Transportadores Unidos,"4,2",Entrega de mercadorias,2025-04-08
ITA Frotas,"4,4",Entrega de mercadorias,2025-04-08
Vuxx,"4,5",Entrega de mercadorias,2025-04-08
Holmes,"4,0",Entrega de mercadorias,2025-04-08
Rodovitor Transportes,"4,0",Entrega de mercadorias,2025-04-08
Ike,"4,8",Entrega de mercadorias,2025-04-08
BBC Chartering,"4,3",Entrega de mercadorias,2025-04-08
Golar LNG,"4,0",Entrega de mercadorias,2025-04-08
Grupo TGSLog,"4,5",Entrega de mercadorias,2025-04-08
MacPonta Caminhões,"4,3",Entrega de mercadorias,2025-04-08
Agronorte,"4,1",Entrega de mercadorias,2025-04-08
Disjoi Gaucha,"4,5",Entrega de mercadorias,2025-04-08
CDS Logistics Management,"4,8",Entrega de mercadorias,2025-04-08
