nome,nota,setor,data_ingestao
Kroton Educacional,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Somos Educação,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Colégio Albert Sabin,"4,4",Escolas de ensino fundamental e médio,2025-04-08
Beacon School (Brazil),"4,2",Escolas de ensino fundamental e médio,2025-04-08
Progresso Bilíngue,"4,2",Escolas de ensino fundamental e médio,2025-04-08
Studio Creative Play,"4,2",Escolas de ensino fundamental e médio,2025-04-08
EPM,"4,7",Escolas de ensino fundamental e médio,2025-04-08
SEO,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Matific,"4,2",Escolas de ensino fundamental e médio,2025-04-08
TutorABC,"4,5",Escolas de ensino fundamental e médio,2025-04-08
Escola Moppe,"4,6",Escolas de ensino fundamental e médio,2025-04-08
Colegio Jean Piaget,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Jordan School District,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Magic Ears,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Khan Academy,"4,3",Escolas de ensino fundamental e médio,2025-04-08
Turnitin,"4,3",Escolas de ensino fundamental e médio,2025-04-08
Curriculum Associates,"4,4",Escolas de ensino fundamental e médio,2025-04-08
All Saints Anglican School,"4,4",Escolas de ensino fundamental e médio,2025-04-08
Juan Uribe Ensino Afetivo,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Alchemy Tuition,"4,3",Escolas de ensino fundamental e médio,2025-04-08
CPV Educacional,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Colégio Rainha da Paz,"4,2",Escolas de ensino fundamental e médio,2025-04-08
Kokua,"4,3",Escolas de ensino fundamental e médio,2025-04-08
HOMER,"4,6",Escolas de ensino fundamental e médio,2025-04-08
Avenues (NY),"4,4",Escolas de ensino fundamental e médio,2025-04-08
Klein ISD,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Pasadena Independent School District,"4,2",Escolas de ensino fundamental e médio,2025-04-08
Colégio Santa Maria (Brazil),"4,4",Escolas de ensino fundamental e médio,2025-04-08
Escola Modelar Cambaúba,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Up Learn,"4,0",Escolas de ensino fundamental e médio,2025-04-08
СЕВ - Centro Educacional Brandão,"4,5",Escolas de ensino fundamental e médio,2025-04-08
Escola Nossa Senhora das Graças,"4,3",Escolas de ensino fundamental e médio,2025-04-08
Colégio Santo Ivo,"4,6",Escolas de ensino fundamental e médio,2025-04-08
Colegio Poliedro,"4,3",Escolas de ensino fundamental e médio,2025-04-08
Ábaco (São Bernardo do Campo),"4,2",Escolas de ensino fundamental e médio,2025-04-08
Teach Me 2,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Colégio Shalom,"4,2",Escolas de ensino fundamental e médio,2025-04-08
Santa Mônica Rede de Ensino,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Colégio Ao Cubo,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Colegio Estudiantes,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Colégio São Miguel arcanjo,"4,3",Escolas de ensino fundamental e médio,2025-04-08
Ednovate,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Elite Pré-Vestibular,"4,9",Escolas de ensino fundamental e médio,2025-04-08
FourC Bilingual Academy,"4,4",Escolas de ensino fundamental e médio,2025-04-08
Colégio Salvatoriano Nossa Senhora de Fátima,"4,9",Escolas de ensino fundamental e médio,2025-04-08
Colégio Vera Cruz,"4,6",Escolas de ensino fundamental e médio,2025-04-08
Laredo ISD,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Mathspace,"4,3",Escolas de ensino fundamental e médio,2025-04-08
IEP Therapy,"4,8",Escolas de ensino fundamental e médio,2025-04-08
San Angelo ISD,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Danny's Tutoring,"4,4",Escolas de ensino fundamental e médio,2025-04-08
Teachers' Curriculum Institute,"4,3",Escolas de ensino fundamental e médio,2025-04-08
Progresso,"4,3",Escolas de ensino fundamental e médio,2025-04-08
Eskolare,"4,0",Escolas de ensino fundamental e médio,2025-04-08
UME Preparatory Academy,"4,4",Escolas de ensino fundamental e médio,2025-04-08
Otus,"4,5",Escolas de ensino fundamental e médio,2025-04-08
Garden International School,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Cempaka Schools Malaysia,"4,1",Escolas de ensino fundamental e médio,2025-04-08
Trampolim Educação Infantil Bilíngue,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Escola Literal,"4,0",Escolas de ensino fundamental e médio,2025-04-08
M.E.F. International,"4,6",Escolas de ensino fundamental e médio,2025-04-08
Escola Interamerica,"4,4",Escolas de ensino fundamental e médio,2025-04-08
South Dakota School for the Deaf,"4,0",Escolas de ensino fundamental e médio,2025-04-08
Isaac Newton,"4,4",Escolas de ensino fundamental e médio,2025-04-08
Escola de Aplicação da FEUSP,"4,8",Escolas de ensino fundamental e médio,2025-04-08
Educativa (Brazil),"4,3",Escolas de ensino fundamental e médio,2025-04-08
Colégio do Sol,"4,2",Escolas de ensino fundamental e médio,2025-04-08
Colégio dos Jesuítas,"4,5",Escolas de ensino fundamental e médio,2025-04-08
