nome,nota,setor,data_ingestao
Yamaha Motor,"4,0",Esporte e lazer,2025-04-08
Rio 2016,"4,0",Esporte e lazer,2025-04-08
Fanatee,"4,3",Esporte e lazer,2025-04-08
Comitê Olímpico Brasileiro,"4,3",Esporte e lazer,2025-04-08
TPC,"4,0",Esporte e lazer,2025-04-08
Fifa,"4,0",Esporte e lazer,2025-04-08
Clube Curitibano,"4,0",Esporte e lazer,2025-04-08
Pullmantur,"4,3",Esporte e lazer,2025-04-08
Little Kickers,"4,3",Esporte e lazer,2025-04-08
The Bay Club,"4,3",Esporte e lazer,2025-04-08
FURIA ESPORTS,"4,0",Esporte e lazer,2025-04-08
XDN Travel,"4,4",Esporte e lazer,2025-04-08
Vogue,"4,2",Esporte e lazer,2025-04-08
Blue Man Productions,"4,0",Esporte e lazer,2025-04-08
365Scores,"4,7",Esporte e lazer,2025-04-08
Manchester United,"4,2",Esporte e lazer,2025-04-08
TGA,"4,1",Esporte e lazer,2025-04-08
Soccer Shots,"4,2",Esporte e lazer,2025-04-08
Boston Red Sox,"4,3",Esporte e lazer,2025-04-08
Gracie Barra Association,"4,0",Esporte e lazer,2025-04-08
Challenger Sports,"4,0",Esporte e lazer,2025-04-08
HSC,"4,3",Esporte e lazer,2025-04-08
Orlando City Soccer Club,"4,4",Esporte e lazer,2025-04-08
Clube Atlético Aramaçan,"4,5",Esporte e lazer,2025-04-08
Real Madrid,"4,1",Esporte e lazer,2025-04-08
San Diego Padres,"4,3",Esporte e lazer,2025-04-08
AGV Sport Group,"4,1",Esporte e lazer,2025-04-08
Atlanta Hawks,"4,3",Esporte e lazer,2025-04-08
PADI,"4,0",Esporte e lazer,2025-04-08
PGA of America,"4,0",Esporte e lazer,2025-04-08
Juventus FC,"4,4",Esporte e lazer,2025-04-08
Repúbllica Lago,"4,4",Esporte e lazer,2025-04-08
RED BULL NEW YORK,"4,2",Esporte e lazer,2025-04-08
Omnify,"4,4",Esporte e lazer,2025-04-08
Adelaide Oval,"4,0",Esporte e lazer,2025-04-08
MetLife Stadium,"4,2",Esporte e lazer,2025-04-08
DMi,"4,0",Esporte e lazer,2025-04-08
LPGA,"4,0",Esporte e lazer,2025-04-08
São José Desportivo,"4,2",Esporte e lazer,2025-04-08
Minnesota Vikings,"4,7",Esporte e lazer,2025-04-08
Academia Fibratech,"4,4",Esporte e lazer,2025-04-08
Fortaleza Esporte Clube,"4,6",Esporte e lazer,2025-04-08
Elite Fitness,"4,2",Esporte e lazer,2025-04-08
Acqua Fit A Academia da Mooca Ltda,"4,1",Esporte e lazer,2025-04-08
Urbana Park District,"4,3",Esporte e lazer,2025-04-08
International Brazilian Jiu-Jitsu Federation,"4,0",Esporte e lazer,2025-04-08
Hammerhead,"4,9",Esporte e lazer,2025-04-08
F&MD,"4,0",Esporte e lazer,2025-04-08
Arajara Park,"5,0",Esporte e lazer,2025-04-08
Mude Mobilarios Urbanos,"4,6",Esporte e lazer,2025-04-08
SK Clube de Tiro,"5,0",Esporte e lazer,2025-04-08
Mondamin,"4,5",Esporte e lazer,2025-04-08
San Diego Surf School,"4,0",Esporte e lazer,2025-04-08
ZiYou,"4,3",Esporte e lazer,2025-04-08
Clube Jaó,"4,8",Esporte e lazer,2025-04-08
Tamarack Camps,"4,6",Esporte e lazer,2025-04-08
Flash Entertainment,"4,2",Esporte e lazer,2025-04-08
Chalezinho,"4,3",Esporte e lazer,2025-04-08
Fitcorp,"4,4",Esporte e lazer,2025-04-08
Objetivo Sorocaba,"4,0",Esporte e lazer,2025-04-08
Thermas dos Laranjais,"5,0",Esporte e lazer,2025-04-08
ID Sports,"4,8",Esporte e lazer,2025-04-08
MJF,"4,2",Esporte e lazer,2025-04-08
Berlinale,"4,0",Esporte e lazer,2025-04-08
North Hempstead Country Club,"4,1",Esporte e lazer,2025-04-08
Dreams Park Show,"5,0",Esporte e lazer,2025-04-08
Alles Park,"4,7",Esporte e lazer,2025-04-08
Camp Ramah Darom,"4,7",Esporte e lazer,2025-04-08
Les Cinq Gym,"5,0",Esporte e lazer,2025-04-08
Sítio do Carroção,"5,0",Esporte e lazer,2025-04-08
Bloop Kids Natação,"5,0",Esporte e lazer,2025-04-08
Ganso Complexo de Lazer,"4,0",Esporte e lazer,2025-04-08
End to End (Brazil),"4,3",Esporte e lazer,2025-04-08
Joinville Esporte Clube,"4,0",Esporte e lazer,2025-04-08
Deutscher Klub Pernambuco,"4,5",Esporte e lazer,2025-04-08
Clube Comercial de Lorena,"4,2",Esporte e lazer,2025-04-08
Academia AMC Sports LTDA,"5,0",Esporte e lazer,2025-04-08
Alliance Piscines,"4,0",Esporte e lazer,2025-04-08
Espaço Aquático,"4,5",Esporte e lazer,2025-04-08
Mel Fisher's Treasures,"4,2",Esporte e lazer,2025-04-08
Esportes.Co,"5,0",Esporte e lazer,2025-04-08
Stock Car Racing,"5,0",Esporte e lazer,2025-04-08
GramadoZoo,"5,0",Esporte e lazer,2025-04-08
Pliq,"5,0",Esporte e lazer,2025-04-08
Speed Kids Playgrounds,"5,0",Esporte e lazer,2025-04-08
Mackenzie Esporte Clube,"4,0",Esporte e lazer,2025-04-08
Gun House Clube de Tiro,"4,5",Esporte e lazer,2025-04-08
accesso ShoWare Center,"4,6",Esporte e lazer,2025-04-08
Limonta Sport,"5,0",Esporte e lazer,2025-04-08
Dagaz,"5,0",Esporte e lazer,2025-04-08
Aguas Correntes Park,"4,5",Esporte e lazer,2025-04-08
Minas Brasilia Tenis Clube,"4,0",Esporte e lazer,2025-04-08
Roman Paradigm Massage & Therapy,"4,0",Esporte e lazer,2025-04-08
Associação Desportiva Confiança,"5,0",Esporte e lazer,2025-04-08
