nome,nota,setor,data_ingestao
+60 Saúde,"4,3",Estabelecimentos de cuidados de enfermagem,2025-04-08
Single Care,"4,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
StoneRidge,"4,5",Estabelecimentos de cuidados de enfermagem,2025-04-08
Salus Homecare,"4,2",Estabelecimentos de cuidados de enfermagem,2025-04-08
Qualific Home Care,"4,3",Estabelecimentos de cuidados de enfermagem,2025-04-08
SADDE Tecnologia em Saúde,"4,2",Estabelecimentos de cuidados de enfermagem,2025-04-08
Laboratório Stürmer,"4,1",Estabelecimentos de cuidados de enfermagem,2025-04-08
COOPVIDA SAÚDE,"4,1",Estabelecimentos de cuidados de enfermagem,2025-04-08
HomeCare Vida & Saúde,"4,5",Estabelecimentos de cuidados de enfermagem,2025-04-08
Emile,"4,4",Estabelecimentos de cuidados de enfermagem,2025-04-08
HomeCare Health Services and Hospice,"4,5",Estabelecimentos de cuidados de enfermagem,2025-04-08
Olu's Home,"4,2",Estabelecimentos de cuidados de enfermagem,2025-04-08
Casa de Cuidado Integral,"4,6",Estabelecimentos de cuidados de enfermagem,2025-04-08
Home Staff,"4,1",Estabelecimentos de cuidados de enfermagem,2025-04-08
Residência Primaveras,"4,6",Estabelecimentos de cuidados de enfermagem,2025-04-08
Primordial Cuidados,"4,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Diogo Veras Musculação & Pilates Especializado,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
BabyCor,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Conceito Enfermagem,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Casa de Repouso Lar São Judas Tadeu,"4,1",Estabelecimentos de cuidados de enfermagem,2025-04-08
Casa de Repouso Lar São Judas Tadeu,"4,1",Estabelecimentos de cuidados de enfermagem,2025-04-08
AGR Medical Distribuidora de Medicamentos,"4,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Residência Santiago Apóstol,"4,1",Estabelecimentos de cuidados de enfermagem,2025-04-08
Cuida e Amor,"4,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Vital Cuidados,"4,5",Estabelecimentos de cuidados de enfermagem,2025-04-08
Carelife Home Care,"4,7",Estabelecimentos de cuidados de enfermagem,2025-04-08
Feel Home Care,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Elar saúde,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Life vida na sua casa,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
PróVida (Brazil),"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Casa da Vila Mariana,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Cia Cuidadores,"4,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Human Care Saúde,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
Luz Clinic,"5,0",Estabelecimentos de cuidados de enfermagem,2025-04-08
