nome,nota,setor,data_ingestao
GE,"4,0",Fabricação de máquinas,2025-04-08
Suzano,"4,4",Fabricação de máquinas,2025-04-08
Caterpillar,"4,1",Fabricação de máquinas,2025-04-08
SENAI,"4,3",Fabricação de máquinas,2025-04-08
Michelin,"4,0",Fabricação de máquinas,2025-04-08
Atlas Copco,"4,2",Fabricação de máquinas,2025-04-08
Komatsu,"4,1",Fabricação de máquinas,2025-04-08
Voith,"4,1",Fabricação de máquinas,2025-04-08
Trane Technologies,"4,0",Fabricação de máquinas,2025-04-08
SKF,"4,0",Fabricação de máquinas,2025-04-08
BENTELER Group,"4,0",Fabricação de máquinas,2025-04-08
Aeris Energy,"4,1",Fabricação de máquinas,2025-04-08
Flowserve,"4,1",Fabricação de máquinas,2025-04-08
Sandvik,"4,0",Fabricação de máquinas,2025-04-08
Toledo do Brasil Indústria de Balanças,"4,4",Fabricação de máquinas,2025-04-08
Kärcher,"4,0",Fabricação de máquinas,2025-04-08
Festo,"4,0",Fabricação de máquinas,2025-04-08
InterCement,"4,3",Fabricação de máquinas,2025-04-08
Valmet,"4,1",Fabricação de máquinas,2025-04-08
Bühler Group,"4,0",Fabricação de máquinas,2025-04-08
Wärtsilä,"4,0",Fabricação de máquinas,2025-04-08
Companhia de Tecidos Norte,"4,0",Fabricação de máquinas,2025-04-08
OneSubsea,"4,1",Fabricação de máquinas,2025-04-08
Aptar,"4,0",Fabricação de máquinas,2025-04-08
Nidec Global Appliance,"4,0",Fabricação de máquinas,2025-04-08
SEW-Eurodrive,"4,1",Fabricação de máquinas,2025-04-08
Bateria Moura,"4,2",Fabricação de máquinas,2025-04-08
SICPA,"4,0",Fabricação de máquinas,2025-04-08
Cebrace,"4,3",Fabricação de máquinas,2025-04-08
Hyster-Yale Materials Handling,"4,0",Fabricação de máquinas,2025-04-08
Krones,"4,2",Fabricação de máquinas,2025-04-08
Michelin North America,"4,1",Fabricação de máquinas,2025-04-08
SIG Group,"4,1",Fabricação de máquinas,2025-04-08
Tecumseh Products,"4,1",Fabricação de máquinas,2025-04-08
Endress+Hauser Gruppe,"4,1",Fabricação de máquinas,2025-04-08
Stihl,"4,1",Fabricação de máquinas,2025-04-08
Jungheinrich,"4,0",Fabricação de máquinas,2025-04-08
Harsco,"4,0",Fabricação de máquinas,2025-04-08
Indústrias Romi,"4,0",Fabricação de máquinas,2025-04-08
KUKA,"4,1",Fabricação de máquinas,2025-04-08
CMPC,"4,0",Fabricação de máquinas,2025-04-08
Robert Bosch India,"4,0",Fabricação de máquinas,2025-04-08
Schuler,"4,0",Fabricação de máquinas,2025-04-08
EMBRAER,"4,4",Fabricação de máquinas,2025-04-08
Southco,"4,0",Fabricação de máquinas,2025-04-08
Palfinger,"4,0",Fabricação de máquinas,2025-04-08
