nome,nota,setor,data_ingestao
Siemens,"4,1",Fabricação de produtos eletrônicos,2025-04-08
ABB,"4,0",Fabricação de produtos eletrônicos,2025-04-08
WEG,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Intelbras,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Motorola Mobility,"4,2",Fabricação de produtos eletrônicos,2025-04-08
ZEISS Group,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Bosch Rexroth,"4,0",Fabricação de produtos eletrônicos,2025-04-08
NXP Semiconductors,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Padtec,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Texas Instruments,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Clarios,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Elsys Eletrônicos,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Solinftec,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Schweitzer Engineering Laboratories,"4,0",Fabricação de produtos eletrônicos,2025-04-08
SICK,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Applied Materials,"4,0",Fabricação de produtos eletrônicos,2025-04-08
STMicroelectronics,"4,0",Fabricação de produtos eletrônicos,2025-04-08
MWM International,"4,5",Fabricação de produtos eletrônicos,2025-04-08
KLA,"4,0",Fabricação de produtos eletrônicos,2025-04-08
KUKA,"4,1",Fabricação de produtos eletrônicos,2025-04-08
DATACOM (Brazil),"4,3",Fabricação de produtos eletrônicos,2025-04-08
Infineon Technologies,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Infinera,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Franklin Electric,"4,1",Fabricação de produtos eletrônicos,2025-04-08
ASML,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Freescale Semiconductor,"4,2",Fabricação de produtos eletrônicos,2025-04-08
IHM stefanini,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Lumicenter,"4,6",Fabricação de produtos eletrônicos,2025-04-08
SMART Modular,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Schmersal Gruppe,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Metrohm,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Anton Paar USA,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Lam Research,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Motoman,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Silicon Labs,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Shimadzu,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Wago,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Capricórnio Têxtil,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Tellabs,"4,0",Fabricação de produtos eletrônicos,2025-04-08
S&C Electric Company,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Prolind,"4,1",Fabricação de produtos eletrônicos,2025-04-08
VYDENCE Medical,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Digiboard Eletrônica da Amazônia,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Trópico,"4,0",Fabricação de produtos eletrônicos,2025-04-08
ETC,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Autonomous Solutions,"4,3",Fabricação de produtos eletrônicos,2025-04-08
First Solar,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Acuity Inc.,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Spectris,"4,1",Fabricação de produtos eletrônicos,2025-04-08
MyCompany,"4,5",Fabricação de produtos eletrônicos,2025-04-08
Autron Automação Indústria e Comércio,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Pumatronix,"4,1",Fabricação de produtos eletrônicos,2025-04-08
University of Texas at Arlington,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Pionner do brasil,"4,0",Fabricação de produtos eletrônicos,2025-04-08
DSP Group,"4,1",Fabricação de produtos eletrônicos,2025-04-08
EXCELbr Produtos Eletrônicos,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Smar International,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Topcon Positioning Systems,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Linear Technology,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Reichle & De-Massari AG,"4,2",Fabricação de produtos eletrônicos,2025-04-08
ECIL,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Aselsan,"4,0",Fabricação de produtos eletrônicos,2025-04-08
AMX,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Cuattro,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Nomad,"4,4",Fabricação de produtos eletrônicos,2025-04-08
"ABB Motors and Mechanical, Inc.","4,1",Fabricação de produtos eletrônicos,2025-04-08
Conductix-Wampfler,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Leviton,"4,1",Fabricação de produtos eletrônicos,2025-04-08
RBR,"4,2",Fabricação de produtos eletrônicos,2025-04-08
TPC Wire & Cable,"4,2",Fabricação de produtos eletrônicos,2025-04-08
ECI Telecom,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Artesyn Embedded Technologies,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Halma,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Belimo,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Total Access Communications,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Würth Elektronik Group,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Master Electronics,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Embrasul,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Connectwell Industries,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Curv Group,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Dura-Line Corp,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Elettric 80,"4,1",Fabricação de produtos eletrônicos,2025-04-08
MMS,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Circuibras Circuitos Impressos,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Sencon,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Zetec,"4,2",Fabricação de produtos eletrônicos,2025-04-08
ATEME,"4,0",Fabricação de produtos eletrônicos,2025-04-08
wenglor sensoric,"4,1",Fabricação de produtos eletrônicos,2025-04-08
CSI Inteligência Industrial,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Panasonic Life Solutions India,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Zilia Technologies,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Paradox,"4,0",Fabricação de produtos eletrônicos,2025-04-08
FIBRALINK IR TECNOLOGIA,"4,6",Fabricação de produtos eletrônicos,2025-04-08
Murata Electronics North America,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Aethra,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Microservice Tecnologia Digital,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Abracon,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Stealth,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Titan Logix,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Ecozen Solutions,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Bit Mapper Integration Technologies,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Cobreflex,"4,5",Fabricação de produtos eletrônicos,2025-04-08
Movimatic,"4,4",Fabricação de produtos eletrônicos,2025-04-08
Sonardyne International Ltd,"4,7",Fabricação de produtos eletrônicos,2025-04-08
Feniex,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Usina Design + Iluminação,"4,2",Fabricação de produtos eletrônicos,2025-04-08
ACOME,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Perfectus,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Autopoli Automotive Technology,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Indicon,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Condex Cabos Elétricos,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Grupo Melo Cordeiro,"4,1",Fabricação de produtos eletrônicos,2025-04-08
RWR,"4,4",Fabricação de produtos eletrônicos,2025-04-08
T&T Sistemi,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Hana Micron,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Dean Technology,"4,7",Fabricação de produtos eletrônicos,2025-04-08
ZENNER,"4,0",Fabricação de produtos eletrônicos,2025-04-08
Flessak Eletro Industrial,"4,6",Fabricação de produtos eletrônicos,2025-04-08
VRI Indústria Eletrônica,"4,2",Fabricação de produtos eletrônicos,2025-04-08
Bandai do Brasil,"4,5",Fabricação de produtos eletrônicos,2025-04-08
Incap,"4,1",Fabricação de produtos eletrônicos,2025-04-08
Tensilica,"4,3",Fabricação de produtos eletrônicos,2025-04-08
Mobiwire,"4,5",Fabricação de produtos eletrônicos,2025-04-08
VIP Internet,"4,4",Fabricação de produtos eletrônicos,2025-04-08
AMO GmbH,"4,5",Fabricação de produtos eletrônicos,2025-04-08
