nome,nota,setor,data_ingestao
GE HealthCare,"4,2",Fabricação de produtos farmacêuticos,2025-04-08
Boston Scientific,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Stryker,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Smith+Nephew,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Royal Canin,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Resmed,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Dorel Juvenile,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Sysmex America,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Ultradent,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Fanem,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
FUJIFILM Medical Systems,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Prodiet,"4,4",Fabricação de produtos farmacêuticos,2025-04-08
DFL,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Biosense Webster,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Esaote,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Direct Supply,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
DDL,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
COSMED,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Ecofitus,"4,3",Fabricação de produtos farmacêuticos,2025-04-08
Blackrock Neurotech,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Canon Medical Systems do Brasil,"4,7",Fabricação de produtos farmacêuticos,2025-04-08
"Eficácia Farmácia de Manipulação, Oliveira e Cavalcante","4,0",Fabricação de produtos farmacêuticos,2025-04-08
SOLARIS,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Hidrolight,"4,4",Fabricação de produtos farmacêuticos,2025-04-08
Sun Pharma,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Aesculap,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Opuspac Indústria e Comércio de Máquinas,"4,3",Fabricação de produtos farmacêuticos,2025-04-08
Goldmedic Saúde e Bem-estar,"4,2",Fabricação de produtos farmacêuticos,2025-04-08
Copan Italia,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Kopp Sistema De Implante Dental,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
MRJ Farma,"4,8",Fabricação de produtos farmacêuticos,2025-04-08
Vidacare,"4,2",Fabricação de produtos farmacêuticos,2025-04-08
Globe Química,"4,7",Fabricação de produtos farmacêuticos,2025-04-08
Zobele,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Signus Indústria Óptica,"4,3",Fabricação de produtos farmacêuticos,2025-04-08
Primed,"4,2",Fabricação de produtos farmacêuticos,2025-04-08
Polycore Optical,"4,3",Fabricação de produtos farmacêuticos,2025-04-08
Perlen Packaging,"4,6",Fabricação de produtos farmacêuticos,2025-04-08
Laboratorios Grascon,"4,8",Fabricação de produtos farmacêuticos,2025-04-08
Grupo Macom Instrumental Cirúrgico,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
Corflex,"4,3",Fabricação de produtos farmacêuticos,2025-04-08
Grupo Binaural,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
Confirma,"4,5",Fabricação de produtos farmacêuticos,2025-04-08
Conor Medsystems,"4,3",Fabricação de produtos farmacêuticos,2025-04-08
BiO2 Medical,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
i9 Magistral,"4,5",Fabricação de produtos farmacêuticos,2025-04-08
OrthoServ,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Biohit,"4,5",Fabricação de produtos farmacêuticos,2025-04-08
Prolink Indústria Química,"4,7",Fabricação de produtos farmacêuticos,2025-04-08
Distek,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
GJO Comércio e Representações,"4,5",Fabricação de produtos farmacêuticos,2025-04-08
Pemaco,"4,1",Fabricação de produtos farmacêuticos,2025-04-08
Magnamed,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
ENDOTECH Produtos Médicos,"4,7",Fabricação de produtos farmacêuticos,2025-04-08
Pnfarma,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
IDEV Technologies,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Reabilitech Tecnologia em Reabilitação,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
Servioptica,"4,7",Fabricação de produtos farmacêuticos,2025-04-08
Hospital Innovations,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
ViaMed,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
Minas Medical,"4,7",Fabricação de produtos farmacêuticos,2025-04-08
Palheiros Paulistinha,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
Haoxi,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
CTA Continental Tobaccos Alliance S. A.,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
Wipex,"4,5",Fabricação de produtos farmacêuticos,2025-04-08
Farmatex,"4,5",Fabricação de produtos farmacêuticos,2025-04-08
O.M. Plástico,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
Laborglas,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
Criado por Cirmed Médicos,"4,0",Fabricação de produtos farmacêuticos,2025-04-08
GIFARMA DROGARIAS,"5,0",Fabricação de produtos farmacêuticos,2025-04-08
