nome,nota,setor,data_ingestao
Gerdau,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
ArcelorMittal,"4,3",Fabricação de produtos minerais e metálicos,2025-04-08
Votorantim Cimentos,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Ternium,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
Aperam,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Norsk Hydro,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Furukawa Electric Group,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Bombril,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
ypf,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
NETZSCH Group,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
SMS group,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Votorantim Metais,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
Castrol,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
Mangels,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Hindalco,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Saint-Gobain PAM,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
CEMEX,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Waelzholz,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
SSAB,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Tiberina Group,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Cimento Itambé,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Nucor,"4,3",Fabricação de produtos minerais e metálicos,2025-04-08
winoa group,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Dongkuk Steel Mill Co,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Suprens Abraçadeiras,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Paulo,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Ferronorte Industrial,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
DSD Steel Group,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Vedamotors,"4,3",Fabricação de produtos minerais e metálicos,2025-04-08
V & M do BRASIL,"4,3",Fabricação de produtos minerais e metálicos,2025-04-08
Boston Metal,"4,5",Fabricação de produtos minerais e metálicos,2025-04-08
Outokumpu,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Essar Steel,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Neo Steel,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Companhia Brasileira de Alumínio,"4,3",Fabricação de produtos minerais e metálicos,2025-04-08
Lantech,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
Grupo Dallon,"4,5",Fabricação de produtos minerais e metálicos,2025-04-08
SPM,"4,0",Fabricação de produtos minerais e metálicos,2025-04-08
McDonald Steel,"4,5",Fabricação de produtos minerais e metálicos,2025-04-08
Logan Aluminum,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
Otima,"4,4",Fabricação de produtos minerais e metálicos,2025-04-08
Okonite,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
American Superconductor,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
JCL Cabos de Aço,"4,3",Fabricação de produtos minerais e metálicos,2025-04-08
Ponto do Aço (Brazil),"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
Welding Alloys Group,"4,4",Fabricação de produtos minerais e metálicos,2025-04-08
Durex,"4,8",Fabricação de produtos minerais e metálicos,2025-04-08
Acotecnica,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
SPS Group,"4,3",Fabricação de produtos minerais e metálicos,2025-04-08
Baxmann,"4,5",Fabricação de produtos minerais e metálicos,2025-04-08
Tévere Forte em Aço,"4,8",Fabricação de produtos minerais e metálicos,2025-04-08
Bruson Metalúrgica,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
Brasil Ferro e Aço,"4,2",Fabricação de produtos minerais e metálicos,2025-04-08
Super Laminação,"4,4",Fabricação de produtos minerais e metálicos,2025-04-08
ALUMAX,"4,5",Fabricação de produtos minerais e metálicos,2025-04-08
Kawai,"4,1",Fabricação de produtos minerais e metálicos,2025-04-08
