nome,nota,setor,data_ingestao
Natura,"4,2",Fabricação de produtos químicos,2025-04-08
Petrobras,"4,6",Fabricação de produtos químicos,2025-04-08
Braskem,"4,2",Fabricação de produtos químicos,2025-04-08
Petrobras Energía,"4,5",Fabricação de produtos químicos,2025-04-08
Dow,"4,1",Fabricação de produtos químicos,2025-04-08
Solvay,"4,0",Fabricação de produtos químicos,2025-04-08
Yara,"4,0",Fabricação de produtos químicos,2025-04-08
Givaudan,"4,0",Fabricação de produtos químicos,2025-04-08
Oxiteno,"4,2",Fabricação de produtos químicos,2025-04-08
Yara Brasil Fertilizantes,"4,4",Fabricação de produtos químicos,2025-04-08
Evonik,"4,0",Fabricação de produtos químicos,2025-04-08
Air Products,"4,0",Fabricação de produtos químicos,2025-04-08
ICL Group,"4,0",Fabricação de produtos químicos,2025-04-08
LANXESS,"4,0",Fabricação de produtos químicos,2025-04-08
Fertipar,"4,3",Fabricação de produtos químicos,2025-04-08
LyondellBasell,"4,0",Fabricação de produtos químicos,2025-04-08
ARLANXEO,"4,0",Fabricação de produtos químicos,2025-04-08
Fertilizantes Heringer,"4,3",Fabricação de produtos químicos,2025-04-08
Caramuru,"4,2",Fabricação de produtos químicos,2025-04-08
Unipar,"4,2",Fabricação de produtos químicos,2025-04-08
MANE,"4,1",Fabricação de produtos químicos,2025-04-08
Ultrapar,"4,2",Fabricação de produtos químicos,2025-04-08
Cosan,"4,3",Fabricação de produtos químicos,2025-04-08
Hexion,"4,1",Fabricação de produtos químicos,2025-04-08
Copersucar,"4,0",Fabricação de produtos químicos,2025-04-08
Stepan,"4,0",Fabricação de produtos químicos,2025-04-08
Phibro Animal Health,"4,1",Fabricação de produtos químicos,2025-04-08
Tronox,"4,1",Fabricação de produtos químicos,2025-04-08
Roquette,"4,1",Fabricação de produtos químicos,2025-04-08
CP Kelco,"4,2",Fabricação de produtos químicos,2025-04-08
Kemira,"4,0",Fabricação de produtos químicos,2025-04-08
Cless Cosméticos,"4,2",Fabricação de produtos químicos,2025-04-08
Borealis,"4,0",Fabricação de produtos químicos,2025-04-08
Elekeiroz,"4,1",Fabricação de produtos químicos,2025-04-08
Sigdo Koppers,"4,2",Fabricação de produtos químicos,2025-04-08
Jotun Paints,"4,2",Fabricação de produtos químicos,2025-04-08
Oswaldo Cruz Química,"4,0",Fabricação de produtos químicos,2025-04-08
Rhodia (US),"4,3",Fabricação de produtos químicos,2025-04-08
Unipac (Brazil),"4,1",Fabricação de produtos químicos,2025-04-08
Chemtrade,"4,0",Fabricação de produtos químicos,2025-04-08
Birla Carbon,"4,3",Fabricação de produtos químicos,2025-04-08
Amazon Shoe Components,"4,0",Fabricação de produtos químicos,2025-04-08
FanTR,"4,0",Fabricação de produtos químicos,2025-04-08
Seta SA Extrativa Tanino de Acácia,"4,3",Fabricação de produtos químicos,2025-04-08
Fenchem,"4,1",Fabricação de produtos químicos,2025-04-08
Chevron Phillips Chemical,"4,0",Fabricação de produtos químicos,2025-04-08
JSP International,"4,0",Fabricação de produtos químicos,2025-04-08
Elkem Group,"4,3",Fabricação de produtos químicos,2025-04-08
Toyobo,"4,0",Fabricação de produtos químicos,2025-04-08
Helena,"4,1",Fabricação de produtos químicos,2025-04-08
Mitsui Chemicals,"4,1",Fabricação de produtos químicos,2025-04-08
Petroquimica de Suape,"4,6",Fabricação de produtos químicos,2025-04-08
Sabin,"4,3",Fabricação de produtos químicos,2025-04-08
Umicore Brazil,"4,5",Fabricação de produtos químicos,2025-04-08
Inova Sistemas Eletrônicos,"4,6",Fabricação de produtos químicos,2025-04-08
drom fragrances,"4,1",Fabricação de produtos químicos,2025-04-08
Von Roll USA,"4,5",Fabricação de produtos químicos,2025-04-08
Promax (Brazil),"4,7",Fabricação de produtos químicos,2025-04-08
Pulcra Chemicals,"4,0",Fabricação de produtos químicos,2025-04-08
Pinturas Prisa,"4,3",Fabricação de produtos químicos,2025-04-08
Mave,"5,0",Fabricação de produtos químicos,2025-04-08
Associated British Foods,"4,0",Fabricação de produtos químicos,2025-04-08
Wana Química,"4,0",Fabricação de produtos químicos,2025-04-08
BRILUX,"4,3",Fabricação de produtos químicos,2025-04-08
JGC,"4,1",Fabricação de produtos químicos,2025-04-08
NOVA Chemicals,"4,0",Fabricação de produtos químicos,2025-04-08
Mattr Infrastructure Technologies,"4,1",Fabricação de produtos químicos,2025-04-08
Santa Clara Agrociencia,"4,3",Fabricação de produtos químicos,2025-04-08
LATICRETE,"4,0",Fabricação de produtos químicos,2025-04-08
Vipal Borrachas,"4,2",Fabricação de produtos químicos,2025-04-08
Solenis Especialidades Quimicas,"4,0",Fabricação de produtos químicos,2025-04-08
Qatar Petroleum,"4,2",Fabricação de produtos químicos,2025-04-08
Dunax Lubrificantes LTDA,"4,0",Fabricação de produtos químicos,2025-04-08
Topsoe,"4,1",Fabricação de produtos químicos,2025-04-08
Contech (Brazil),"4,0",Fabricação de produtos químicos,2025-04-08
Greenfield Global,"4,0",Fabricação de produtos químicos,2025-04-08
Copobras Group,"4,1",Fabricação de produtos químicos,2025-04-08
Infasul,"4,4",Fabricação de produtos químicos,2025-04-08
Methanex,"4,0",Fabricação de produtos químicos,2025-04-08
Kobo Products,"4,0",Fabricação de produtos químicos,2025-04-08
CampoRico,"4,1",Fabricação de produtos químicos,2025-04-08
InkJet,"4,0",Fabricação de produtos químicos,2025-04-08
Kuala Lumpur Kepong,"4,0",Fabricação de produtos químicos,2025-04-08
Christeyns,"4,1",Fabricação de produtos químicos,2025-04-08
ALTANA,"4,0",Fabricação de produtos químicos,2025-04-08
MCF,"4,2",Fabricação de produtos químicos,2025-04-08
TRATHO METAL QUÍMICA,"4,5",Fabricação de produtos químicos,2025-04-08
Purcom,"4,2",Fabricação de produtos químicos,2025-04-08
BioPar Parecis,"4,2",Fabricação de produtos químicos,2025-04-08
Tintas Killing,"4,5",Fabricação de produtos químicos,2025-04-08
SQM,"4,0",Fabricação de produtos químicos,2025-04-08
Perstorp,"4,0",Fabricação de produtos químicos,2025-04-08
Garratt-Callahan,"4,2",Fabricação de produtos químicos,2025-04-08
Master Fluid Solutions,"4,6",Fabricação de produtos químicos,2025-04-08
DVA Group,"4,4",Fabricação de produtos químicos,2025-04-08
Marbow Resinas,"4,0",Fabricação de produtos químicos,2025-04-08
Florpinus Industria Quimica,"4,2",Fabricação de produtos químicos,2025-04-08
Condat (France),"4,2",Fabricação de produtos químicos,2025-04-08
Bredero Shaw,"4,0",Fabricação de produtos químicos,2025-04-08
MacDermid Enthone Industrial,"4,1",Fabricação de produtos químicos,2025-04-08
NewPop do Brasil,"4,5",Fabricação de produtos químicos,2025-04-08
Südzucker,"4,5",Fabricação de produtos químicos,2025-04-08
Verde Brasil Industria de Plásticos LTDA,"4,5",Fabricação de produtos químicos,2025-04-08
Royal Marck,"4,7",Fabricação de produtos químicos,2025-04-08
Microsal Indústria e Comércio,"4,0",Fabricação de produtos químicos,2025-04-08
Axion,"4,0",Fabricação de produtos químicos,2025-04-08
Isoflex (Brazil),"4,6",Fabricação de produtos químicos,2025-04-08
Canopus Química,"4,0",Fabricação de produtos químicos,2025-04-08
Ube,"4,2",Fabricação de produtos químicos,2025-04-08
ZEON,"4,2",Fabricação de produtos químicos,2025-04-08
Companhia Petroquímica do Nordeste,"4,6",Fabricação de produtos químicos,2025-04-08
National Starch and Chemical,"4,4",Fabricação de produtos químicos,2025-04-08
Blaser Swisslube,"4,0",Fabricação de produtos químicos,2025-04-08
Millennium Inorganic Chemicals,"4,1",Fabricação de produtos químicos,2025-04-08
Unipack,"4,4",Fabricação de produtos químicos,2025-04-08
KLINGER,"4,3",Fabricação de produtos químicos,2025-04-08
Esseco Group,"4,0",Fabricação de produtos químicos,2025-04-08
Dacarto Industria E Comercio De Plasticos,"4,0",Fabricação de produtos químicos,2025-04-08
Miaki Revestimentos,"4,4",Fabricação de produtos químicos,2025-04-08
Artbella,"4,3",Fabricação de produtos químicos,2025-04-08
Macpet Embalagens,"4,0",Fabricação de produtos químicos,2025-04-08
Iimak da Amazonia,"4,5",Fabricação de produtos químicos,2025-04-08
CCB Coatings,"4,0",Fabricação de produtos químicos,2025-04-08
Decortintas,"4,0",Fabricação de produtos químicos,2025-04-08
Guimarães Produtos de Limpeza,"4,6",Fabricação de produtos químicos,2025-04-08
Dominus Quimica,"4,5",Fabricação de produtos químicos,2025-04-08
BRA Defensivos Agrícolas,"4,3",Fabricação de produtos químicos,2025-04-08
PG Química,"4,7",Fabricação de produtos químicos,2025-04-08
Lagos Chemical Industry,"4,7",Fabricação de produtos químicos,2025-04-08
Mocelin (Brazil),"5,0",Fabricação de produtos químicos,2025-04-08
Metal-Tech,"4,2",Fabricação de produtos químicos,2025-04-08
Loctite,"4,5",Fabricação de produtos químicos,2025-04-08
"Politec (Sumaré, Brazil)","4,6",Fabricação de produtos químicos,2025-04-08
Radex,"5,0",Fabricação de produtos químicos,2025-04-08
Quimica Nova Brasil,"4,0",Fabricação de produtos químicos,2025-04-08
Cht química,"4,3",Fabricação de produtos químicos,2025-04-08
Zufer Tecnologia e Ferramentaria,"4,1",Fabricação de produtos químicos,2025-04-08
Joongbo,"5,0",Fabricação de produtos químicos,2025-04-08
Chem Impex Intl,"4,6",Fabricação de produtos químicos,2025-04-08
International Plastics,"4,2",Fabricação de produtos químicos,2025-04-08
Semorin (Brazil),"4,5",Fabricação de produtos químicos,2025-04-08
Ademar do Bloco,"4,4",Fabricação de produtos químicos,2025-04-08
CarboNet Nanotechnologies,"4,2",Fabricação de produtos químicos,2025-04-08
Cal Master,"5,0",Fabricação de produtos químicos,2025-04-08
Porcelanas Industriais Germer,"5,0",Fabricação de produtos químicos,2025-04-08
Enbä Embalagens In Mold Label,"5,0",Fabricação de produtos químicos,2025-04-08
Yamada Brasil,"5,0",Fabricação de produtos químicos,2025-04-08
South America Services Indústria e Comércio de Produtos Químicos,"5,0",Fabricação de produtos químicos,2025-04-08
Aglutina,"4,0",Fabricação de produtos químicos,2025-04-08
Pack Industria e Comércio de Produtos Agropecuários,"4,5",Fabricação de produtos químicos,2025-04-08
A Tonal,"5,0",Fabricação de produtos químicos,2025-04-08
Aderco,"5,0",Fabricação de produtos químicos,2025-04-08
Tintas ABC,"4,6",Fabricação de produtos químicos,2025-04-08
Sofix,"4,2",Fabricação de produtos químicos,2025-04-08
Protack,"4,6",Fabricação de produtos químicos,2025-04-08
Bio-Chem CleanTec Soluções Ambientais,"5,0",Fabricação de produtos químicos,2025-04-08
BioNat Agro,"4,5",Fabricação de produtos químicos,2025-04-08
ITW FLUIDS E HYIENE SOLUTIONS LTDA,"4,0",Fabricação de produtos químicos,2025-04-08
Magecolor,"4,5",Fabricação de produtos químicos,2025-04-08
Projesan Water & Co,"4,5",Fabricação de produtos químicos,2025-04-08
Gota Limpa,"5,0",Fabricação de produtos químicos,2025-04-08
PrintJet,"4,0",Fabricação de produtos químicos,2025-04-08
Coggiola,"4,0",Fabricação de produtos químicos,2025-04-08
Braskim Química,"5,0",Fabricação de produtos químicos,2025-04-08
Imperial Produtos de Limpeza,"5,0",Fabricação de produtos químicos,2025-04-08
NIVELARTEC,"5,0",Fabricação de produtos químicos,2025-04-08
Nova Lub,"4,0",Fabricação de produtos químicos,2025-04-08
Dipil,"4,0",Fabricação de produtos químicos,2025-04-08
ACS Scientific,"5,0",Fabricação de produtos químicos,2025-04-08
Falcão Indústria e Comércio de Tintas,"5,0",Fabricação de produtos químicos,2025-04-08
LEOLAC Tintas,"5,0",Fabricação de produtos químicos,2025-04-08
COELBRA,"4,0",Fabricação de produtos químicos,2025-04-08
Alpes,"4,6",Fabricação de produtos químicos,2025-04-08
Aratrop,"4,0",Fabricação de produtos químicos,2025-04-08
Quimilaus,"4,4",Fabricação de produtos químicos,2025-04-08
"Ilsa (Arzignano,Italy )","5,0",Fabricação de produtos químicos,2025-04-08
Evolua Ethanol,"4,0",Fabricação de produtos químicos,2025-04-08
Alkim,"5,0",Fabricação de produtos químicos,2025-04-08
KWP Ind. e Comércio de Artefatos Plásticos,"5,0",Fabricação de produtos químicos,2025-04-08
Salini Pintura Industrial,"5,0",Fabricação de produtos químicos,2025-04-08
Santa Monica Produtos Quimicos,"4,0",Fabricação de produtos químicos,2025-04-08
Terplas,"5,0",Fabricação de produtos químicos,2025-04-08
Resinas 22 de Dezembro,"5,0",Fabricação de produtos químicos,2025-04-08
Alpha Color Pintura Eletrostática,"5,0",Fabricação de produtos químicos,2025-04-08
Reinigend Química do Brasil,"5,0",Fabricação de produtos químicos,2025-04-08
Paolucci Tintas,"5,0",Fabricação de produtos químicos,2025-04-08
British,"4,0",Fabricação de produtos químicos,2025-04-08
Mekal,"5,0",Fabricação de produtos químicos,2025-04-08
Manufatura de Produtos King,"4,0",Fabricação de produtos químicos,2025-04-08
Masterpol Tecnologia Em Adesivos,"5,0",Fabricação de produtos químicos,2025-04-08
