nome,nota,setor,data_ingestao
Johnson & Johnson,"4,1",Farmacêutica e biotecnologia,2025-04-08
Sanofi,"4,2",Farmacêutica e biotecnologia,2025-04-08
GSK,"4,1",Farmacêutica e biotecnologia,2025-04-08
Roche,"4,2",Farmacêutica e biotecnologia,2025-04-08
Novartis,"4,0",Farmacêutica e biotecnologia,2025-04-08
Merck,"4,1",Farmacêutica e biotecnologia,2025-04-08
AstraZeneca,"4,0",Farmacêutica e biotecnologia,2025-04-08
Boehringer Ingelheim,"4,1",Farmacêutica e biotecnologia,2025-04-08
Siemens Healthineers,"4,0",Farmacêutica e biotecnologia,2025-04-08
Novo Nordisk,"4,3",Farmacêutica e biotecnologia,2025-04-08
Eli Lilly and Company,"4,1",Farmacêutica e biotecnologia,2025-04-08
Aché Laboratórios Farmacêuticos,"4,2",Farmacêutica e biotecnologia,2025-04-08
AbbVie,"4,0",Farmacêutica e biotecnologia,2025-04-08
MSD,"4,1",Farmacêutica e biotecnologia,2025-04-08
Eurofarma,"4,3",Farmacêutica e biotecnologia,2025-04-08
Merck KGaA,"4,0",Farmacêutica e biotecnologia,2025-04-08
Libbs Farmaceutica,"4,4",Farmacêutica e biotecnologia,2025-04-08
Amgen,"4,1",Farmacêutica e biotecnologia,2025-04-08
Parexel,"4,0",Farmacêutica e biotecnologia,2025-04-08
Cristália,"4,0",Farmacêutica e biotecnologia,2025-04-08
Biolab Farmacêutica,"4,1",Farmacêutica e biotecnologia,2025-04-08
Sandoz,"4,0",Farmacêutica e biotecnologia,2025-04-08
Servier,"4,1",Farmacêutica e biotecnologia,2025-04-08
Daiichi Sankyo,"4,0",Farmacêutica e biotecnologia,2025-04-08
Farmoquímica,"4,1",Farmacêutica e biotecnologia,2025-04-08
Marjan Farma,"4,4",Farmacêutica e biotecnologia,2025-04-08
bioMérieux,"4,0",Farmacêutica e biotecnologia,2025-04-08
Ourofino Saúde Animal,"4,3",Farmacêutica e biotecnologia,2025-04-08
UCB,"4,1",Farmacêutica e biotecnologia,2025-04-08
Herbarium,"4,2",Farmacêutica e biotecnologia,2025-04-08
Interplayers,"4,1",Farmacêutica e biotecnologia,2025-04-08
Granado,"4,1",Farmacêutica e biotecnologia,2025-04-08
Pioneer,"4,3",Farmacêutica e biotecnologia,2025-04-08
Organon,"4,0",Farmacêutica e biotecnologia,2025-04-08
Zydus Lifesciences,"4,4",Farmacêutica e biotecnologia,2025-04-08
Brainfarma Indústria Química e Farmacêutica,"4,3",Farmacêutica e biotecnologia,2025-04-08
Grunenthal,"4,0",Farmacêutica e biotecnologia,2025-04-08
Chiesi,"4,1",Farmacêutica e biotecnologia,2025-04-08
Adeste,"4,3",Farmacêutica e biotecnologia,2025-04-08
Lundbeck,"4,1",Farmacêutica e biotecnologia,2025-04-08
Vertex Pharmaceuticals,"4,1",Farmacêutica e biotecnologia,2025-04-08
Genentech,"4,1",Farmacêutica e biotecnologia,2025-04-08
ISDIN,"4,0",Farmacêutica e biotecnologia,2025-04-08
Torrent Pharmaceuticals,"4,0",Farmacêutica e biotecnologia,2025-04-08
Farmácias Unipreço,"4,2",Farmacêutica e biotecnologia,2025-04-08
Amgen,"4,2",Farmacêutica e biotecnologia,2025-04-08
Laboratorios Pisa,"4,0",Farmacêutica e biotecnologia,2025-04-08
PSI CRO,"4,2",Farmacêutica e biotecnologia,2025-04-08
Dechra Pharmaceuticals,"4,0",Farmacêutica e biotecnologia,2025-04-08
Momenta (Brazil),"4,6",Farmacêutica e biotecnologia,2025-04-08
