nome,nota,setor,data_ingestao
Itaú Unibanco (Itaú BBA e Rede),"4,4",Financeiro,2025-04-08
Banco Bradesco,"4,1",Financeiro,2025-04-08
Stone,"4,0",Financeiro,2025-04-08
Banco do Brasil,"4,4",Financeiro,2025-04-08
Nubank,"4,4",Financeiro,2025-04-08
Caixa Econômica Federal,"4,4",Financeiro,2025-04-08
J.P. Morgan,"4,0",Financeiro,2025-04-08
Creditas,"4,0",Financeiro,2025-04-08
PagBank,"4,0",Financeiro,2025-04-08
Credit Suisse,"4,0",Financeiro,2025-04-08
XP Inc.,"4,2",Financeiro,2025-04-08
Sicredi,"4,4",Financeiro,2025-04-08
Allianz,"4,0",Financeiro,2025-04-08
Cielo,"4,0",Financeiro,2025-04-08
JPMorganChase,"4,5",Financeiro,2025-04-08
banco BV,"4,4",Financeiro,2025-04-08
Mastercard,"4,2",Financeiro,2025-04-08
Banco Itaú,"4,3",Financeiro,2025-04-08
B3,"4,3",Financeiro,2025-04-08
American Express,"4,1",Financeiro,2025-04-08
Agibank,"4,0",Financeiro,2025-04-08
Fidelity Investments,"4,1",Financeiro,2025-04-08
Edenred,"4,0",Financeiro,2025-04-08
Serasa,"4,0",Financeiro,2025-04-08
Banrisul,"4,2",Financeiro,2025-04-08
Embracon,"4,0",Financeiro,2025-04-08
will bank,"4,2",Financeiro,2025-04-08
Unicred,"4,2",Financeiro,2025-04-08
DM,"4,2",Financeiro,2025-04-08
Banco Bmg,"4,0",Financeiro,2025-04-08
Ame Digital,"4,0",Financeiro,2025-04-08
Cresol,"4,4",Financeiro,2025-04-08
Centro Cooperativo Sicoob - CCS,"4,1",Financeiro,2025-04-08
Alelo,"4,4",Financeiro,2025-04-08
Bradesco,"4,0",Financeiro,2025-04-08
Sem Parar,"4,0",Financeiro,2025-04-08
Rabobank,"4,1",Financeiro,2025-04-08
TecBan,"4,1",Financeiro,2025-04-08
Banco do Nordeste do Brasil,"4,6",Financeiro,2025-04-08
Central Ailos,"4,3",Financeiro,2025-04-08
Banco Carrefour,"4,0",Financeiro,2025-04-08
Genial Investimentos,"4,0",Financeiro,2025-04-08
"CloudWalk, Inc.","4,4",Financeiro,2025-04-08
Toro Investimentos,"4,0",Financeiro,2025-04-08
Empiricus,"4,4",Financeiro,2025-04-08
Vindi,"4,1",Financeiro,2025-04-08
Paraná Banco,"4,2",Financeiro,2025-04-08
APPMAX,"4,0",Financeiro,2025-04-08
ING,"4,0",Financeiro,2025-04-08
Banco ABC Brasil,"4,2",Financeiro,2025-04-08
FICO,"4,1",Financeiro,2025-04-08
Questrade,"4,0",Financeiro,2025-04-08
Grupo Travelex Confidence,"4,0",Financeiro,2025-04-08
Viacredi Cooperativa de Crédito,"4,2",Financeiro,2025-04-08
Solfácil,"4,0",Financeiro,2025-04-08
Banco de Brasília,"4,3",Financeiro,2025-04-08
Remessa Online,"4,5",Financeiro,2025-04-08
Swile,"4,3",Financeiro,2025-04-08
Núclea,"4,1",Financeiro,2025-04-08
Vórtx,"4,1",Financeiro,2025-04-08
iugu,"4,1",Financeiro,2025-04-08
Blu,"4,3",Financeiro,2025-04-08
Rede,"4,2",Financeiro,2025-04-08
The World Bank,"4,1",Financeiro,2025-04-08
Mercado Pago,"4,2",Financeiro,2025-04-08
FortBrasil,"4,3",Financeiro,2025-04-08
Santander Río,"4,0",Financeiro,2025-04-08
Pismo,"4,5",Financeiro,2025-04-08
Banco Sofisa,"4,2",Financeiro,2025-04-08
ABN AMRO,"4,0",Financeiro,2025-04-08
Julius Baer,"4,0",Financeiro,2025-04-08
Pluxee,"4,0",Financeiro,2025-04-08
Patria Investments,"4,2",Financeiro,2025-04-08
Ultra,"4,0",Financeiro,2025-04-08
Conta Simples,"4,1",Financeiro,2025-04-08
Omni Financeira,"4,2",Financeiro,2025-04-08
IFC,"4,3",Financeiro,2025-04-08
BBVA,"4,2",Financeiro,2025-04-08
Trustly,"4,0",Financeiro,2025-04-08
CREDZ,"4,1",Financeiro,2025-04-08
Banco Central do Brasil,"4,2",Financeiro,2025-04-08
Grupo Recovery,"4,1",Financeiro,2025-04-08
CIBC,"4,0",Financeiro,2025-04-08
Avenue Securities,"4,5",Financeiro,2025-04-08
MSCI,"4,1",Financeiro,2025-04-08
Banco BBM,"4,1",Financeiro,2025-04-08
AgroGalaxy,"4,1",Financeiro,2025-04-08
Efí,"4,2",Financeiro,2025-04-08
NatWest Group,"4,1",Financeiro,2025-04-08
CredSystem,"4,4",Financeiro,2025-04-08
Inter-American Development Bank,"4,0",Financeiro,2025-04-08
Grupo Suno,"4,1",Financeiro,2025-04-08
Natixis,"4,0",Financeiro,2025-04-08
Desjardins,"4,1",Financeiro,2025-04-08
Ável Investimentos,"4,1",Financeiro,2025-04-08
Susquehanna International Group,"4,1",Financeiro,2025-04-08
Ágora,"4,0",Financeiro,2025-04-08
GFT,"4,3",Financeiro,2025-04-08
Belvo,"4,5",Financeiro,2025-04-08
Bitso,"4,0",Financeiro,2025-04-08
Hash,"4,0",Financeiro,2025-04-08
Commerzbank,"4,1",Financeiro,2025-04-08
CPQi,"4,1",Financeiro,2025-04-08
Nomad Global,"4,3",Financeiro,2025-04-08
Afinz,"4,0",Financeiro,2025-04-08
Portocred,"4,3",Financeiro,2025-04-08
Standard Bank Group,"4,2",Financeiro,2025-04-08
Grupo GCB,"4,3",Financeiro,2025-04-08
Acesso Soluções de Pagamento,"4,0",Financeiro,2025-04-08
CNP Assurances,"4,0",Financeiro,2025-04-08
SuperSim,"4,3",Financeiro,2025-04-08
CashMe,"4,2",Financeiro,2025-04-08
Fontes Promotora de Crédito,"4,1",Financeiro,2025-04-08
Bem Promotora,"4,4",Financeiro,2025-04-08
BizCapital,"4,6",Financeiro,2025-04-08
Magnetis,"4,4",Financeiro,2025-04-08
PPRO,"4,2",Financeiro,2025-04-08
Eletronorte,"4,5",Financeiro,2025-04-08
Ali Crédito,"4,0",Financeiro,2025-04-08
Movile Pay,"4,3",Financeiro,2025-04-08
Grafeno Digital,"4,0",Financeiro,2025-04-08
Evoluservices - Meios de pagamento,"4,4",Financeiro,2025-04-08
BLUE3 Investimentos,"4,5",Financeiro,2025-04-08
Ticket Log,"4,1",Financeiro,2025-04-08
Fannie Mae,"4,1",Financeiro,2025-04-08
Galapagos Capital,"4,0",Financeiro,2025-04-08
Capital Group,"4,0",Financeiro,2025-04-08
Empower,"4,2",Financeiro,2025-04-08
Evertec,"4,1",Financeiro,2025-04-08
Absa,"4,0",Financeiro,2025-04-08
