nome,nota,setor,data_ingestao
Freelancer,"4,2",Gerenciamento e consultoria,2025-04-08
Coca-Cola FEMSA,"4,1",Gerenciamento e consultoria,2025-04-08
McKinsey & Company,"4,1",Gerenciamento e consultoria,2025-04-08
Bain & Company,"4,3",Gerenciamento e consultoria,2025-04-08
Boston Consulting Group,"4,2",Gerenciamento e consultoria,2025-04-08
Manpower,"4,1",Gerenciamento e consultoria,2025-04-08
Alvarez & Marsal,"4,0",Gerenciamento e consultoria,2025-04-08
SelfEmployed.com,"4,4",Gerenciamento e consultoria,2025-04-08
V4 Company,"4,0",Gerenciamento e consultoria,2025-04-08
SEBRAE,"4,4",Gerenciamento e consultoria,2025-04-08
S&P Global,"4,1",Gerenciamento e consultoria,2025-04-08
Sotreq,"4,3",Gerenciamento e consultoria,2025-04-08
Kearney,"4,0",Gerenciamento e consultoria,2025-04-08
Makro Atacadista,"4,3",Gerenciamento e consultoria,2025-04-08
Gartner,"4,0",Gerenciamento e consultoria,2025-04-08
Visagio,"4,1",Gerenciamento e consultoria,2025-04-08
Progen,"4,2",Gerenciamento e consultoria,2025-04-08
Venturus Centro de Inovação Tecnológica,"4,5",Gerenciamento e consultoria,2025-04-08
Komatsu,"4,1",Gerenciamento e consultoria,2025-04-08
EloGroup,"4,2",Gerenciamento e consultoria,2025-04-08
freelance,"4,2",Gerenciamento e consultoria,2025-04-08
FAPESP,"4,7",Gerenciamento e consultoria,2025-04-08
Oliver Wyman,"4,1",Gerenciamento e consultoria,2025-04-08
dunnhumby,"4,3",Gerenciamento e consultoria,2025-04-08
Aperam,"4,1",Gerenciamento e consultoria,2025-04-08
Embraco,"4,1",Gerenciamento e consultoria,2025-04-08
Acciona,"4,0",Gerenciamento e consultoria,2025-04-08
Randstad Enterprise,"4,0",Gerenciamento e consultoria,2025-04-08
Test,"4,0",Gerenciamento e consultoria,2025-04-08
ScanSource,"4,1",Gerenciamento e consultoria,2025-04-08
Butantan Institute,"4,2",Gerenciamento e consultoria,2025-04-08
LexisNexis Risk Solutions,"4,0",Gerenciamento e consultoria,2025-04-08
Techint,"4,2",Gerenciamento e consultoria,2025-04-08
Faber-Castell,"4,0",Gerenciamento e consultoria,2025-04-08
FICO,"4,1",Gerenciamento e consultoria,2025-04-08
Airswift,"4,0",Gerenciamento e consultoria,2025-04-08
Enext,"4,1",Gerenciamento e consultoria,2025-04-08
Jacobs,"4,0",Gerenciamento e consultoria,2025-04-08
Companhia Siderurgica do Pecem,"4,2",Gerenciamento e consultoria,2025-04-08
IHS Markit,"4,0",Gerenciamento e consultoria,2025-04-08
Vector Marketing,"4,5",Gerenciamento e consultoria,2025-04-08
PWC Brasil,"4,0",Gerenciamento e consultoria,2025-04-08
Strategy&,"4,0",Gerenciamento e consultoria,2025-04-08
FEMSA,"4,2",Gerenciamento e consultoria,2025-04-08
SPC Brasil,"4,6",Gerenciamento e consultoria,2025-04-08
LACTEC,"4,1",Gerenciamento e consultoria,2025-04-08
Companhia Própria,"4,8",Gerenciamento e consultoria,2025-04-08
Awin,"4,4",Gerenciamento e consultoria,2025-04-08
Peers Consulting + Technology,"4,6",Gerenciamento e consultoria,2025-04-08
Fitch Ratings,"4,0",Gerenciamento e consultoria,2025-04-08
BETC HAVAS,"4,0",Gerenciamento e consultoria,2025-04-08
In Press Porter Novelli,"4,2",Gerenciamento e consultoria,2025-04-08
Guiabolso,"4,1",Gerenciamento e consultoria,2025-04-08
Wieden+Kennedy,"4,1",Gerenciamento e consultoria,2025-04-08
Simon-Kucher,"4,0",Gerenciamento e consultoria,2025-04-08
Jungheinrich,"4,0",Gerenciamento e consultoria,2025-04-08
Self Opportunity,"4,3",Gerenciamento e consultoria,2025-04-08
Taboola,"4,3",Gerenciamento e consultoria,2025-04-08
INDT,"4,5",Gerenciamento e consultoria,2025-04-08
Time-Now Engenharia,"4,1",Gerenciamento e consultoria,2025-04-08
Artefact,"4,0",Gerenciamento e consultoria,2025-04-08
Coppetec,"4,1",Gerenciamento e consultoria,2025-04-08
Go Further,"4,2",Gerenciamento e consultoria,2025-04-08
Perkins & Will,"4,1",Gerenciamento e consultoria,2025-04-08
Semcon,"4,2",Gerenciamento e consultoria,2025-04-08
Intertechne,"4,2",Gerenciamento e consultoria,2025-04-08
Fluor,"4,0",Gerenciamento e consultoria,2025-04-08
KUKA,"4,1",Gerenciamento e consultoria,2025-04-08
RNP,"4,1",Gerenciamento e consultoria,2025-04-08
Adtail,"4,2",Gerenciamento e consultoria,2025-04-08
Cia de Talentos,"4,0",Gerenciamento e consultoria,2025-04-08
Orizon (Brazil),"4,0",Gerenciamento e consultoria,2025-04-08
Promon Engenharia,"4,5",Gerenciamento e consultoria,2025-04-08
SPAR Brasil,"4,2",Gerenciamento e consultoria,2025-04-08
CTC - Centro de Tecnologia Canavieira,"4,2",Gerenciamento e consultoria,2025-04-08
Procergs,"4,5",Gerenciamento e consultoria,2025-04-08
Grainger,"4,0",Gerenciamento e consultoria,2025-04-08
iPlace,"4,0",Gerenciamento e consultoria,2025-04-08
Porsche Consulting,"4,3",Gerenciamento e consultoria,2025-04-08
Hines,"4,3",Gerenciamento e consultoria,2025-04-08
Mutato,"4,1",Gerenciamento e consultoria,2025-04-08
Vitrio,"4,0",Gerenciamento e consultoria,2025-04-08
Skanska,"4,1",Gerenciamento e consultoria,2025-04-08
WayCarbon,"4,2",Gerenciamento e consultoria,2025-04-08
Ultrapar,"4,2",Gerenciamento e consultoria,2025-04-08
METARH Recursos Humanos,"4,4",Gerenciamento e consultoria,2025-04-08
SENER,"4,2",Gerenciamento e consultoria,2025-04-08
Pöyry,"4,4",Gerenciamento e consultoria,2025-04-08
Demarco,"4,1",Gerenciamento e consultoria,2025-04-08
Conversion Brasil,"4,2",Gerenciamento e consultoria,2025-04-08
OC&C Strategy Consultants,"4,4",Gerenciamento e consultoria,2025-04-08
EDC Group,"4,4",Gerenciamento e consultoria,2025-04-08
Outgive,"4,2",Gerenciamento e consultoria,2025-04-08
Superside,"4,4",Gerenciamento e consultoria,2025-04-08
Phibro Animal Health,"4,1",Gerenciamento e consultoria,2025-04-08
Octagon,"4,1",Gerenciamento e consultoria,2025-04-08
4flow,"4,6",Gerenciamento e consultoria,2025-04-08
Aquanima,"4,0",Gerenciamento e consultoria,2025-04-08
Synergia Consultoria Socioambiental,"4,0",Gerenciamento e consultoria,2025-04-08
Driven CX,"4,2",Gerenciamento e consultoria,2025-04-08
SEBRAE SP,"4,3",Gerenciamento e consultoria,2025-04-08
Morningstar,"4,0",Gerenciamento e consultoria,2025-04-08
Integration Consulting,"4,4",Gerenciamento e consultoria,2025-04-08
Mosaic North America,"4,0",Gerenciamento e consultoria,2025-04-08
Promon Group,"4,0",Gerenciamento e consultoria,2025-04-08
IAV,"4,2",Gerenciamento e consultoria,2025-04-08
Gallup,"4,3",Gerenciamento e consultoria,2025-04-08
Grupo Portfolio,"4,4",Gerenciamento e consultoria,2025-04-08
Departamento Nacional de Infraestrutura de Transportes (DNIT),"4,1",Gerenciamento e consultoria,2025-04-08
AZ Tecnologia em Gestão,"4,6",Gerenciamento e consultoria,2025-04-08
Associação dos Advogados de São Paulo,"4,0",Gerenciamento e consultoria,2025-04-08
Global Estratégias Financeiras,"4,1",Gerenciamento e consultoria,2025-04-08
Spencer Stuart,"4,3",Gerenciamento e consultoria,2025-04-08
Indicium,"4,5",Gerenciamento e consultoria,2025-04-08
Analysis Group,"4,4",Gerenciamento e consultoria,2025-04-08
Kontik Franstur,"4,0",Gerenciamento e consultoria,2025-04-08
Fractal,"4,2",Gerenciamento e consultoria,2025-04-08
Incepa,"4,0",Gerenciamento e consultoria,2025-04-08
ProV International,"4,0",Gerenciamento e consultoria,2025-04-08
Paul Wurth,"4,0",Gerenciamento e consultoria,2025-04-08
The Foursales Company,"4,7",Gerenciamento e consultoria,2025-04-08
"Realize Crédito, Financiamento e Investimento","4,1",Gerenciamento e consultoria,2025-04-08
Macfor Marketing,"4,0",Gerenciamento e consultoria,2025-04-08
Endeavor Global,"4,3",Gerenciamento e consultoria,2025-04-08
Atlas Professionals,"4,1",Gerenciamento e consultoria,2025-04-08
Tata,"4,0",Gerenciamento e consultoria,2025-04-08
SMS,"4,3",Gerenciamento e consultoria,2025-04-08
Partners in Performance,"4,2",Gerenciamento e consultoria,2025-04-08
Civil Master Engenharia em Altura,"4,3",Gerenciamento e consultoria,2025-04-08
CITS,"4,0",Gerenciamento e consultoria,2025-04-08
Embrasil Segurança,"4,2",Gerenciamento e consultoria,2025-04-08
GMR Marketing,"4,0",Gerenciamento e consultoria,2025-04-08
Growth Machine,"4,5",Gerenciamento e consultoria,2025-04-08
Pöyry Tecnologia,"4,4",Gerenciamento e consultoria,2025-04-08
HEINEKEN USA,"4,3",Gerenciamento e consultoria,2025-04-08
Weme,"4,0",Gerenciamento e consultoria,2025-04-08
Bom Pra Crédito,"4,0",Gerenciamento e consultoria,2025-04-08
match.mt,"4,2",Gerenciamento e consultoria,2025-04-08
Jeffrey Group,"4,3",Gerenciamento e consultoria,2025-04-08
Hprojekt,"4,1",Gerenciamento e consultoria,2025-04-08
EcoUrbis Ambiental,"4,7",Gerenciamento e consultoria,2025-04-08
Coca-Cola HBC,"4,0",Gerenciamento e consultoria,2025-04-08
FoxTime Recursos Humanos,"4,0",Gerenciamento e consultoria,2025-04-08
DinsmoreCompass,"4,7",Gerenciamento e consultoria,2025-04-08
VIRTUS (Brazil),"4,5",Gerenciamento e consultoria,2025-04-08
Captativa,"4,6",Gerenciamento e consultoria,2025-04-08
Bridge & Co,"4,1",Gerenciamento e consultoria,2025-04-08
Apsis Consultoria,"4,2",Gerenciamento e consultoria,2025-04-08
Business France,"4,0",Gerenciamento e consultoria,2025-04-08
Athena,"4,0",Gerenciamento e consultoria,2025-04-08
ED&F Man,"4,2",Gerenciamento e consultoria,2025-04-08
Environmental Protection Agency,"4,3",Gerenciamento e consultoria,2025-04-08
Gatec S/A Gestão Agroindustrial,"4,1",Gerenciamento e consultoria,2025-04-08
SEEK,"4,0",Gerenciamento e consultoria,2025-04-08
Yeb Marketing & Sourcing,"4,0",Gerenciamento e consultoria,2025-04-08
Fundação para o Desenvolvimento Tecnológico da Engenharia,"4,3",Gerenciamento e consultoria,2025-04-08
Cask,"4,6",Gerenciamento e consultoria,2025-04-08
