nome,nota,setor,data_ingestao
Banco do Brasil,"4,4",Gestão de ativos e investimentos,2025-04-08
J.P. Morgan,"4,0",Gestão de ativos e investimentos,2025-04-08
Credit Suisse,"4,0",Gestão de ativos e investimentos,2025-04-08
XP Inc.,"4,2",Gestão de ativos e investimentos,2025-04-08
Allianz,"4,0",Gestão de ativos e investimentos,2025-04-08
Fidelity Investments,"4,1",Gestão de ativos e investimentos,2025-04-08
TecBan,"4,1",Gestão de ativos e investimentos,2025-04-08
Banco do Nordeste do Brasil,"4,6",Gestão de ativos e investimentos,2025-04-08
Genial Investimentos,"4,0",Gestão de ativos e investimentos,2025-04-08
Toro Investimentos,"4,0",Gestão de ativos e investimentos,2025-04-08
Empiricus,"4,4",Gestão de ativos e investimentos,2025-04-08
ING,"4,0",Gestão de ativos e investimentos,2025-04-08
FICO,"4,1",Gestão de ativos e investimentos,2025-04-08
Questrade,"4,0",Gestão de ativos e investimentos,2025-04-08
Patria Investments,"4,2",Gestão de ativos e investimentos,2025-04-08
Ultra,"4,0",Gestão de ativos e investimentos,2025-04-08
IFC,"4,3",Gestão de ativos e investimentos,2025-04-08
Banco Central do Brasil,"4,2",Gestão de ativos e investimentos,2025-04-08
MSCI,"4,1",Gestão de ativos e investimentos,2025-04-08
Banco BBM,"4,1",Gestão de ativos e investimentos,2025-04-08
AgroGalaxy,"4,1",Gestão de ativos e investimentos,2025-04-08
Grupo Suno,"4,1",Gestão de ativos e investimentos,2025-04-08
Natixis,"4,0",Gestão de ativos e investimentos,2025-04-08
Ágora,"4,0",Gestão de ativos e investimentos,2025-04-08
GFT,"4,3",Gestão de ativos e investimentos,2025-04-08
Commerzbank,"4,1",Gestão de ativos e investimentos,2025-04-08
CPQi,"4,1",Gestão de ativos e investimentos,2025-04-08
Grupo GCB,"4,3",Gestão de ativos e investimentos,2025-04-08
CNP Assurances,"4,0",Gestão de ativos e investimentos,2025-04-08
Magnetis,"4,4",Gestão de ativos e investimentos,2025-04-08
Eletronorte,"4,5",Gestão de ativos e investimentos,2025-04-08
BLUE3 Investimentos,"4,5",Gestão de ativos e investimentos,2025-04-08
Galapagos Capital,"4,0",Gestão de ativos e investimentos,2025-04-08
Capital Group,"4,0",Gestão de ativos e investimentos,2025-04-08
Empower,"4,2",Gestão de ativos e investimentos,2025-04-08
Rothschild & Co,"4,0",Gestão de ativos e investimentos,2025-04-08
Credigy Solutions,"4,4",Gestão de ativos e investimentos,2025-04-08
Sun Life,"4,0",Gestão de ativos e investimentos,2025-04-08
Brasilcap,"4,1",Gestão de ativos e investimentos,2025-04-08
Vinci Partners,"4,2",Gestão de ativos e investimentos,2025-04-08
Raymond James Financial,"4,2",Gestão de ativos e investimentos,2025-04-08
Deriv.com,"4,1",Gestão de ativos e investimentos,2025-04-08
Jane Street,"4,4",Gestão de ativos e investimentos,2025-04-08
United Bank for Africa,"4,0",Gestão de ativos e investimentos,2025-04-08
Lazard,"4,1",Gestão de ativos e investimentos,2025-04-08
Legal & General,"4,0",Gestão de ativos e investimentos,2025-04-08
Multiplike Gestora de Recursos,"4,5",Gestão de ativos e investimentos,2025-04-08
Fortesec,"4,1",Gestão de ativos e investimentos,2025-04-08
IQ Option,"4,1",Gestão de ativos e investimentos,2025-04-08
HedgePoint Global Markets,"4,6",Gestão de ativos e investimentos,2025-04-08
