nome,nota,setor,data_ingestao
Cepemar,"4,0",Gestão de resíduos,2025-04-08
CORSAN,"4,1",Gestão de resíduos,2025-04-08
Suma Brasil,"4,1",Gestão de resíduos,2025-04-08
Busato,"4,2",Gestão de resíduos,2025-04-08
Attend Ambiental,"4,2",Gestão de resíduos,2025-04-08
Cidade Limpa Ambiental,"4,2",Gestão de resíduos,2025-04-08
Águas do Sertão,"4,4",Gestão de resíduos,2025-04-08
HBJ Biomassa,"4,1",Gestão de resíduos,2025-04-08
Econit Engenharia Ambiental,"4,3",Gestão de resíduos,2025-04-08
Grupo Recicla,"4,1",Gestão de resíduos,2025-04-08
ALPHENZ INDÚSTRIA,"4,2",Gestão de resíduos,2025-04-08
Suga Tudo Limpezas Industriais,"4,3",Gestão de resíduos,2025-04-08
Forca Ambiental,"4,6",Gestão de resíduos,2025-04-08
Recicle Serviços de Limpeza,"4,7",Gestão de resíduos,2025-04-08
Suprema Servicos Industriais,"4,6",Gestão de resíduos,2025-04-08
Allsan Engenharia e Adm,"4,2",Gestão de resíduos,2025-04-08
RACLI Limpeza Urbana,"4,3",Gestão de resíduos,2025-04-08
Guarulhos Comercio De Sucatas,"4,8",Gestão de resíduos,2025-04-08
Atica,"4,2",Gestão de resíduos,2025-04-08
Recitec Reciclagem Técnica,"4,5",Gestão de resíduos,2025-04-08
Biofílica Ambipar Environment,"4,7",Gestão de resíduos,2025-04-08
Macaúbas Meio Ambiente,"5,0",Gestão de resíduos,2025-04-08
Relimpp,"4,6",Gestão de resíduos,2025-04-08
RIOVIVO,"4,0",Gestão de resíduos,2025-04-08
Soma Ambiental,"4,2",Gestão de resíduos,2025-04-08
São Gabriel Saneamento,"5,0",Gestão de resíduos,2025-04-08
Comsercaf,"4,0",Gestão de resíduos,2025-04-08
Vina (Brazil),"4,5",Gestão de resíduos,2025-04-08
Capital Reciclavéis,"5,0",Gestão de resíduos,2025-04-08
RECICLAR GERENCIAMENTO DE RESIDUOS,"4,3",Gestão de resíduos,2025-04-08
Sucatas Dalmolin,"5,0",Gestão de resíduos,2025-04-08
S.O.S 360,"4,0",Gestão de resíduos,2025-04-08
Seleta Ambiental,"4,7",Gestão de resíduos,2025-04-08
Gerenciamento Ambiental Tech Lix,"5,0",Gestão de resíduos,2025-04-08
FVA Indústria de Válvulas Automotivas,"5,0",Gestão de resíduos,2025-04-08
Bueno Gestão Ambiental,"4,1",Gestão de resíduos,2025-04-08
ENGVITA,"4,0",Gestão de resíduos,2025-04-08
Samma Serviços,"5,0",Gestão de resíduos,2025-04-08
Coopercaps,"4,5",Gestão de resíduos,2025-04-08
Eco Forte Bioenergia,"4,6",Gestão de resíduos,2025-04-08
GMV Recycle,"5,0",Gestão de resíduos,2025-04-08
Industria de Papel R Ramenzoni SA,"5,0",Gestão de resíduos,2025-04-08
SAAE Lençóis Paulista,"4,0",Gestão de resíduos,2025-04-08
Serviço Autônomo de Água e Esgoto Pirapora,"4,5",Gestão de resíduos,2025-04-08
Aveverde,"5,0",Gestão de resíduos,2025-04-08
HMS Gestão de Resíduos,"5,0",Gestão de resíduos,2025-04-08
Fibratec Engenharia,"5,0",Gestão de resíduos,2025-04-08
Planeta Limpo,"4,1",Gestão de resíduos,2025-04-08
Sociedade Comercial de Resíduos e Aparas,"4,0",Gestão de resíduos,2025-04-08
EcoTecno,"4,4",Gestão de resíduos,2025-04-08
Escolha Ecológica,"4,0",Gestão de resíduos,2025-04-08
Mensura Serviços Florestais,"5,0",Gestão de resíduos,2025-04-08
ReciclaMais,"5,0",Gestão de resíduos,2025-04-08
Vanlix,"5,0",Gestão de resíduos,2025-04-08
SN Serviços Ambientais,"5,0",Gestão de resíduos,2025-04-08
Saay'S Solucoes Ambientais,"5,0",Gestão de resíduos,2025-04-08
SN Ambiental,"5,0",Gestão de resíduos,2025-04-08
Serviço Autônomo de Água e Esgoto de Taquaritinga (SAAET),"4,0",Gestão de resíduos,2025-04-08
Quantum Engenharia e Consultoria,"4,0",Gestão de resíduos,2025-04-08
Ecoeficiência Soluções Ambientais,"5,0",Gestão de resíduos,2025-04-08
Verko,"4,0",Gestão de resíduos,2025-04-08
Barone Recicláveis,"5,0",Gestão de resíduos,2025-04-08
Serviço de Água e Esgoto do Estado do Acre,"4,0",Gestão de resíduos,2025-04-08
Eco 4 Solutions,"5,0",Gestão de resíduos,2025-04-08
SAAE Barra Bonita,"5,0",Gestão de resíduos,2025-04-08
Ensa (Brazil),"5,0",Gestão de resíduos,2025-04-08
SALTO SOLUÇÕES AMBIENTAIS.,"5,0",Gestão de resíduos,2025-04-08
Serviço Autônomo de Água e Esgoto (SAAE) de Guaçuí-ES,"4,0",Gestão de resíduos,2025-04-08
Vega Empresa de Serviços Gerais,"5,0",Gestão de resíduos,2025-04-08
Am Tec- Am Tecnologia,"4,0",Gestão de resíduos,2025-04-08
FlexiBag,"5,0",Gestão de resíduos,2025-04-08
Grupo Transer,"4,0",Gestão de resíduos,2025-04-08
Hynove Ambiental,"4,0",Gestão de resíduos,2025-04-08
