nome,nota,setor,data_ingestao
Reviver,"4,1",Gestão imobiliária,2025-04-08
Goodman Group,"4,2",Gestão imobiliária,2025-04-08
BRB Serviços,"4,1",Gestão imobiliária,2025-04-08
Auxiliar Serviços,"4,1",Gestão imobiliária,2025-04-08
Girando Sol,"4,8",Gestão imobiliária,2025-04-08
Prime Quality Services,"4,4",Gestão imobiliária,2025-04-08
Cactos serviços gerais,"4,6",Gestão imobiliária,2025-04-08
VIP Zeladoria,"4,7",Gestão imobiliária,2025-04-08
Arquipix,"5,0",Gestão imobiliária,2025-04-08
Amazon Cleaner,"4,3",Gestão imobiliária,2025-04-08
Mrs fênix,"5,0",Gestão imobiliária,2025-04-08
DW Jones Management,"5,0",Gestão imobiliária,2025-04-08
Perfect Clean (Brazil),"4,0",Gestão imobiliária,2025-04-08
Palmares Administradora de Imóveis,"4,4",Gestão imobiliária,2025-04-08
Office Clean - Soluções Profissionais em Limpeza,"5,0",Gestão imobiliária,2025-04-08
Hugo's Locksmithing & Keys,"4,0",Gestão imobiliária,2025-04-08
Chemisch,"4,3",Gestão imobiliária,2025-04-08
Impacta Condomínios,"4,4",Gestão imobiliária,2025-04-08
Brasil Facility Clean,"4,0",Gestão imobiliária,2025-04-08
Vigon Soluções,"5,0",Gestão imobiliária,2025-04-08
Via Park Estacionamentos,"5,0",Gestão imobiliária,2025-04-08
Lajes Santa Inês,"4,0",Gestão imobiliária,2025-04-08
