nome,nota,setor,data_ingestao
Casas Bahia,"4,0",Hipermercados e lojas em geral,2025-04-08
St. Marche,"4,1",Hipermercados e lojas em geral,2025-04-08
Brasileira de Distribuição,"4,0",Hipermercados e lojas em geral,2025-04-08
Future Group,"4,0",Hipermercados e lojas em geral,2025-04-08
Grupo ABC Supermercados,"4,2",Hipermercados e lojas em geral,2025-04-08
ADEO,"4,1",Hipermercados e lojas em geral,2025-04-08
Lopes Supermercados,"4,0",Hipermercados e lojas em geral,2025-04-08
Grupo Ginseng,"4,1",Hipermercados e lojas em geral,2025-04-08
Zôdio,"4,4",Hipermercados e lojas em geral,2025-04-08
Tekap Servicos e Consultoria,"4,0",Hipermercados e lojas em geral,2025-04-08
Chimar Supermercado,"4,0",Hipermercados e lojas em geral,2025-04-08
Shopping ABC,"4,3",Hipermercados e lojas em geral,2025-04-08
Gigante,"4,0",Hipermercados e lojas em geral,2025-04-08
Nova Era Superatacado,"4,5",Hipermercados e lojas em geral,2025-04-08
Serramar Parque Shopping,"4,2",Hipermercados e lojas em geral,2025-04-08
Grupo líder,"4,8",Hipermercados e lojas em geral,2025-04-08
Citro 5,"4,5",Hipermercados e lojas em geral,2025-04-08
HiperTrade,"4,2",Hipermercados e lojas em geral,2025-04-08
Cofermeta Ferramentas,"4,5",Hipermercados e lojas em geral,2025-04-08
Doce Preço,"4,4",Hipermercados e lojas em geral,2025-04-08
Dia Distribuição,"4,3",Hipermercados e lojas em geral,2025-04-08
Druziki Supermercados,"4,3",Hipermercados e lojas em geral,2025-04-08
Claeck Supermercados,"4,2",Hipermercados e lojas em geral,2025-04-08
Opa! Supermercados,"4,8",Hipermercados e lojas em geral,2025-04-08
Supermercado Alegria,"4,2",Hipermercados e lojas em geral,2025-04-08
Paulista North Way Shopping,"4,2",Hipermercados e lojas em geral,2025-04-08
Pátio Norte Shopping,"4,2",Hipermercados e lojas em geral,2025-04-08
ANT Ferramentas,"4,4",Hipermercados e lojas em geral,2025-04-08
Parque Shopping Bahia,"4,1",Hipermercados e lojas em geral,2025-04-08
Supermercados Poupy,"4,0",Hipermercados e lojas em geral,2025-04-08
Marília Shopping,"4,2",Hipermercados e lojas em geral,2025-04-08
Supermercados Revolução,"4,0",Hipermercados e lojas em geral,2025-04-08
Milano Materiais de Construção,"4,5",Hipermercados e lojas em geral,2025-04-08
Cristal Supermercado (Brazil),"4,2",Hipermercados e lojas em geral,2025-04-08
Maquisul Comercial,"4,6",Hipermercados e lojas em geral,2025-04-08
Shopping China Importados,"4,0",Hipermercados e lojas em geral,2025-04-08
Azevedo Alimentos,"4,8",Hipermercados e lojas em geral,2025-04-08
Nevada Supermercados,"4,7",Hipermercados e lojas em geral,2025-04-08
Superviza Supermercados,"5,0",Hipermercados e lojas em geral,2025-04-08
Supermercado Cidade,"4,3",Hipermercados e lojas em geral,2025-04-08
Ferramac Ferramentas e Equipamentos de Segurança,"5,0",Hipermercados e lojas em geral,2025-04-08
Leve Mais,"4,3",Hipermercados e lojas em geral,2025-04-08
DDP Holdings,"4,4",Hipermercados e lojas em geral,2025-04-08
Milênio Supermercado,"4,6",Hipermercados e lojas em geral,2025-04-08
Shopping Rio Claro,"4,0",Hipermercados e lojas em geral,2025-04-08
Armazém Paraíba (Brazil),"4,3",Hipermercados e lojas em geral,2025-04-08
Xexeumar,"4,0",Hipermercados e lojas em geral,2025-04-08
Material de Construção Sperandio,"4,0",Hipermercados e lojas em geral,2025-04-08
Paris Duty Free,"5,0",Hipermercados e lojas em geral,2025-04-08
Bom dia paraíso,"5,0",Hipermercados e lojas em geral,2025-04-08
i9 Promoções,"4,7",Hipermercados e lojas em geral,2025-04-08
Conesul Distribuidora,"4,5",Hipermercados e lojas em geral,2025-04-08
Dantas Distribuidora,"5,0",Hipermercados e lojas em geral,2025-04-08
Shopping Jardim Guadalupe,"4,6",Hipermercados e lojas em geral,2025-04-08
Super da Praia,"4,5",Hipermercados e lojas em geral,2025-04-08
Campelo,"4,6",Hipermercados e lojas em geral,2025-04-08
Assis Supermercados,"5,0",Hipermercados e lojas em geral,2025-04-08
Super Silva Supermercados,"5,0",Hipermercados e lojas em geral,2025-04-08
Viva Supermercados,"5,0",Hipermercados e lojas em geral,2025-04-08
Rede Top Supermarcados,"4,0",Hipermercados e lojas em geral,2025-04-08
Br Supermercados,"5,0",Hipermercados e lojas em geral,2025-04-08
