nome,nota,setor,data_ingestao
Hospital São Camilo,"4,1",Hospitais e clínicas de saúde,2025-04-08
Hospital Ipiranga,"4,1",Hospitais e clínicas de saúde,2025-04-08
Instituto de Cardiologia do Rio Grande do Sul,"4,0",Hospitais e clínicas de saúde,2025-04-08
Grupo Taiz Campbell,"4,5",Hospitais e clínicas de saúde,2025-04-08
CBV Hospital de Olhos,"4,4",Hospitais e clínicas de saúde,2025-04-08
Genial Care,"4,0",Hospitais e clínicas de saúde,2025-04-08
Beneficiencia hospitalar cesáreo lange,"4,0",Hospitais e clínicas de saúde,2025-04-08
Instituto de Análises Clínicas de Santos (IACS),"4,2",Hospitais e clínicas de saúde,2025-04-08
Unimed Ribeirão Preto,"4,3",Hospitais e clínicas de saúde,2025-04-08
Hospital Dom Alvarenga,"4,0",Hospitais e clínicas de saúde,2025-04-08
Instituto de Saúde Nossa Senhora da Vitoria,"4,0",Hospitais e clínicas de saúde,2025-04-08
Labs A+,"4,1",Hospitais e clínicas de saúde,2025-04-08
Theia (Brazil),"4,8",Hospitais e clínicas de saúde,2025-04-08
Cuidare - Cuidadores de Pessoas,"4,5",Hospitais e clínicas de saúde,2025-04-08
Hospital São Camilo Cura d'Ars,"4,2",Hospitais e clínicas de saúde,2025-04-08
Dimagem Diagnóstico por Imagem,"4,1",Hospitais e clínicas de saúde,2025-04-08
Hospital DF Star,"4,2",Hospitais e clínicas de saúde,2025-04-08
Acuidar,"4,4",Hospitais e clínicas de saúde,2025-04-08
Martagão Gesteira,"4,3",Hospitais e clínicas de saúde,2025-04-08
Impacto Auditoria,"4,1",Hospitais e clínicas de saúde,2025-04-08
Hospital Cirurgia,"4,6",Hospitais e clínicas de saúde,2025-04-08
Hospital Municipal Carlos Chagas,"4,4",Hospitais e clínicas de saúde,2025-04-08
Hospital Geral,"4,3",Hospitais e clínicas de saúde,2025-04-08
Unimed Sul Capixaba,"4,3",Hospitais e clínicas de saúde,2025-04-08
Instituto Singular,"4,0",Hospitais e clínicas de saúde,2025-04-08
Hospital de Olhos Niterói,"4,4",Hospitais e clínicas de saúde,2025-04-08
Albert Sabin Hospital e Maternidade,"4,6",Hospitais e clínicas de saúde,2025-04-08
Hospital Santa Cruz (Brazil),"4,3",Hospitais e clínicas de saúde,2025-04-08
Sermed Saúde,"4,5",Hospitais e clínicas de saúde,2025-04-08
Hospital Ilha do Governador,"4,1",Hospitais e clínicas de saúde,2025-04-08
Hospital Bom Jesus,"4,1",Hospitais e clínicas de saúde,2025-04-08
Diagmax,"4,2",Hospitais e clínicas de saúde,2025-04-08
Hospital Nossa Senhora de Fátima,"4,3",Hospitais e clínicas de saúde,2025-04-08
Hospital Plantadores de Cana,"4,5",Hospitais e clínicas de saúde,2025-04-08
Hospital São Paulo,"4,5",Hospitais e clínicas de saúde,2025-04-08
Hospital Santa Joana Recife (Brazil),"4,0",Hospitais e clínicas de saúde,2025-04-08
Landeskrankenhaus,"4,5",Hospitais e clínicas de saúde,2025-04-08
Casa de Saúde Stella Maris,"4,5",Hospitais e clínicas de saúde,2025-04-08
Hospital São Vicente de Paulo (Brazil),"4,1",Hospitais e clínicas de saúde,2025-04-08
Hospital São Lucas,"4,2",Hospitais e clínicas de saúde,2025-04-08
Hospital SPplus Saúde,"4,0",Hospitais e clínicas de saúde,2025-04-08
Hospital Militar de Porto Alegre,"4,9",Hospitais e clínicas de saúde,2025-04-08
Boris Berenstein Medicina Diagnóstica,"4,0",Hospitais e clínicas de saúde,2025-04-08
HOSPITAL NOSSA SENHORA DA CONCEIÇÃO,"4,4",Hospitais e clínicas de saúde,2025-04-08
Setrab Group,"4,6",Hospitais e clínicas de saúde,2025-04-08
Biogesp,"4,7",Hospitais e clínicas de saúde,2025-04-08
Instituto de Olhos de Belo Horizonte,"4,1",Hospitais e clínicas de saúde,2025-04-08
GGNet,"4,7",Hospitais e clínicas de saúde,2025-04-08
Reikilibre Fisio,"4,7",Hospitais e clínicas de saúde,2025-04-08
Hospital do Rim,"5,0",Hospitais e clínicas de saúde,2025-04-08
Imagens Medicina Diagnóstica,"4,4",Hospitais e clínicas de saúde,2025-04-08
Yellow Bus ABA,"4,4",Hospitais e clínicas de saúde,2025-04-08
Hospital Sabará,"4,6",Hospitais e clínicas de saúde,2025-04-08
Femina Hospital e Maternidade,"4,1",Hospitais e clínicas de saúde,2025-04-08
Sensumed,"4,3",Hospitais e clínicas de saúde,2025-04-08
Saúde e Suporte Home Care,"4,5",Hospitais e clínicas de saúde,2025-04-08
Hospital Santa Rita (Brazil),"4,5",Hospitais e clínicas de saúde,2025-04-08
Plano de Saúde São Lucas,"4,5",Hospitais e clínicas de saúde,2025-04-08
ResMedical,"4,5",Hospitais e clínicas de saúde,2025-04-08
Hospital - Centro Medico Maranhense,"4,8",Hospitais e clínicas de saúde,2025-04-08
Hospital Arquidiocesano Consul Carlos Renaux,"4,1",Hospitais e clínicas de saúde,2025-04-08
