nome,nota,setor,data_ingestao
IHG Hotels and Resorts,"4,0",Hotéis e resorts,2025-04-08
Royal Caribbean Group,"4,1",Hotéis e resorts,2025-04-08
Hamburg Süd,"4,1",Hotéis e resorts,2025-04-08
Aviva Parques e Resorts,"4,4",Hotéis e resorts,2025-04-08
Bourbon Hotéis e Resorts,"4,1",Hotéis e resorts,2025-04-08
Starwood Hotels & Resorts,"4,0",Hotéis e resorts,2025-04-08
Blue Tree Hotels,"4,0",Hotéis e resorts,2025-04-08
Omni Hotels,"4,1",Hotéis e resorts,2025-04-08
Amarante,"4,7",Hotéis e resorts,2025-04-08
Iberostar Hotels & Resorts,"4,2",Hotéis e resorts,2025-04-08
Belmond,"4,0",Hotéis e resorts,2025-04-08
Grupo Tauá de Hotéis e Resorts,"4,4",Hotéis e resorts,2025-04-08
Ouro MInas Palace Hotel,"4,0",Hotéis e resorts,2025-04-08
Country Holidays Inn & Suites,"4,4",Hotéis e resorts,2025-04-08
Oberoi Hotels & Resorts,"4,0",Hotéis e resorts,2025-04-08
Oetker Collection,"4,3",Hotéis e resorts,2025-04-08
Laghetto Hotéis,"4,3",Hotéis e resorts,2025-04-08
Universal Orlando Resort,"4,1",Hotéis e resorts,2025-04-08
Atlantica Hospitality International,"4,1",Hotéis e resorts,2025-04-08
ALICE,"4,3",Hotéis e resorts,2025-04-08
The Leading Hotels of the World,"4,6",Hotéis e resorts,2025-04-08
Hotel Marco Internacional,"4,1",Hotéis e resorts,2025-04-08
Fontainebleau,"4,3",Hotéis e resorts,2025-04-08
Hostelling International,"4,0",Hotéis e resorts,2025-04-08
Wernher Von Braun,"4,0",Hotéis e resorts,2025-04-08
Sage Hospitality,"4,2",Hotéis e resorts,2025-04-08
DFDS,"4,0",Hotéis e resorts,2025-04-08
Japaratinga Lounge Resort,"4,7",Hotéis e resorts,2025-04-08
Hotel InterContinental São Paulo,"4,1",Hotéis e resorts,2025-04-08
Grupo Wish,"4,1",Hotéis e resorts,2025-04-08
Principal,"4,1",Hotéis e resorts,2025-04-08
WAM Hotéis,"4,1",Hotéis e resorts,2025-04-08
Red Carnation Hotels,"4,3",Hotéis e resorts,2025-04-08
FourSeasons Hotel,"4,1",Hotéis e resorts,2025-04-08
Grande Hotel Campos do Jordão,"4,0",Hotéis e resorts,2025-04-08
FRT Operadora de Turismo,"4,1",Hotéis e resorts,2025-04-08
Reservations.com,"4,3",Hotéis e resorts,2025-04-08
HVM,"4,3",Hotéis e resorts,2025-04-08
Six Senses,"4,1",Hotéis e resorts,2025-04-08
One & Only Resorts,"4,1",Hotéis e resorts,2025-04-08
Relais & Châteaux,"4,1",Hotéis e resorts,2025-04-08
Salinas Maceió All Inclusive Resort,"5,0",Hotéis e resorts,2025-04-08
FLAME,"4,2",Hotéis e resorts,2025-04-08
Emirates Palace Hotel,"4,3",Hotéis e resorts,2025-04-08
Playa Hotels & Resorts,"4,0",Hotéis e resorts,2025-04-08
Hotel Majestic,"4,0",Hotéis e resorts,2025-04-08
Receptions,"4,5",Hotéis e resorts,2025-04-08
Evian Resort,"4,4",Hotéis e resorts,2025-04-08
Aviator,"4,1",Hotéis e resorts,2025-04-08
Sugarbush Resorts,"4,0",Hotéis e resorts,2025-04-08
Gran Bahia Principe,"4,1",Hotéis e resorts,2025-04-08
Trul Hotéis,"4,0",Hotéis e resorts,2025-04-08
Everlan By Dominion,"4,8",Hotéis e resorts,2025-04-08
Bandon Dunes Golf Resort,"4,1",Hotéis e resorts,2025-04-08
Hotel Nacional (Brazil),"4,1",Hotéis e resorts,2025-04-08
Angra Beach Hotel,"4,4",Hotéis e resorts,2025-04-08
Hotel Portobello Resort e Safari,"4,0",Hotéis e resorts,2025-04-08
Metropolitan Hotel,"4,1",Hotéis e resorts,2025-04-08
Fazenda da Grama,"4,2",Hotéis e resorts,2025-04-08
Lake Vilas Charm Hotel & Spa,"4,0",Hotéis e resorts,2025-04-08
Futurestay,"4,6",Hotéis e resorts,2025-04-08
LK Design Hotel,"4,7",Hotéis e resorts,2025-04-08
Hotel Fazenda Dona Carolina,"4,5",Hotéis e resorts,2025-04-08
Quarto à Vista,"4,6",Hotéis e resorts,2025-04-08
ASCA,"4,2",Hotéis e resorts,2025-04-08
Hotel Monteleone,"4,5",Hotéis e resorts,2025-04-08
Vivaz Cataratas Hotel Resort,"5,0",Hotéis e resorts,2025-04-08
Viale Hoteis,"4,0",Hotéis e resorts,2025-04-08
Interalpen-Hotel Tyrol,"4,0",Hotéis e resorts,2025-04-08
Hotel Valencia Santana Row,"4,1",Hotéis e resorts,2025-04-08
Casa Hotéis,"4,6",Hotéis e resorts,2025-04-08
Martinhal Family Hotels & Resorts,"4,2",Hotéis e resorts,2025-04-08
CELI HOTEL ARACAJU,"4,4",Hotéis e resorts,2025-04-08
Hotel Fazenda China Park,"4,3",Hotéis e resorts,2025-04-08
HCC Hotel Specialist,"4,8",Hotéis e resorts,2025-04-08
CTJ,"4,6",Hotéis e resorts,2025-04-08
Residencial Santa Cruz,"4,3",Hotéis e resorts,2025-04-08
Hotel Recanto Business Center,"4,6",Hotéis e resorts,2025-04-08
Hotel Vila Rica,"4,2",Hotéis e resorts,2025-04-08
Hotel Estância Barra Bonita,"4,7",Hotéis e resorts,2025-04-08
Samoa Beach Resort,"4,6",Hotéis e resorts,2025-04-08
CADS,"4,1",Hotéis e resorts,2025-04-08
Haras Larissa Hotel,"4,6",Hotéis e resorts,2025-04-08
Hotel Florença,"4,7",Hotéis e resorts,2025-04-08
MME HOTÉIS,"4,0",Hotéis e resorts,2025-04-08
BDL Group,"4,9",Hotéis e resorts,2025-04-08
Hotel Istana,"4,3",Hotéis e resorts,2025-04-08
The Havana,"4,3",Hotéis e resorts,2025-04-08
Ribalta Hotelaria e Turismo,"4,7",Hotéis e resorts,2025-04-08
Grand Carimã Resort,"4,3",Hotéis e resorts,2025-04-08
Let's Atlantica,"4,3",Hotéis e resorts,2025-04-08
WEAC,"4,1",Hotéis e resorts,2025-04-08
"The Coral (Fortaleza, Ceará, Brazil)","4,3",Hotéis e resorts,2025-04-08
Reserve Atlantica,"4,0",Hotéis e resorts,2025-04-08
Gran Paradiso Campos do Jordão Resort,"4,5",Hotéis e resorts,2025-04-08
Anavilhanas Jungle Lodge,"5,0",Hotéis e resorts,2025-04-08
Brasil Free Shop,"4,0",Hotéis e resorts,2025-04-08
Aram Hotéis,"4,1",Hotéis e resorts,2025-04-08
Sanma Hotel,"4,6",Hotéis e resorts,2025-04-08
Hotel Luzeiros Fortaleza,"4,1",Hotéis e resorts,2025-04-08
Dolphin Hotels,"4,3",Hotéis e resorts,2025-04-08
Ovibe Hostel & Artes,"4,0",Hotéis e resorts,2025-04-08
Nivea Hospitality,"5,0",Hotéis e resorts,2025-04-08
Art Hotels,"4,7",Hotéis e resorts,2025-04-08
Centerhotels,"4,0",Hotéis e resorts,2025-04-08
Atrium Hotel,"4,3",Hotéis e resorts,2025-04-08
Bendito Cacao Resort e SPA,"4,2",Hotéis e resorts,2025-04-08
VIDAM,"4,0",Hotéis e resorts,2025-04-08
Atlântico Búzios Convention,"5,0",Hotéis e resorts,2025-04-08
My Mabu,"5,0",Hotéis e resorts,2025-04-08
Transamerica Resort Comandatuba,"5,0",Hotéis e resorts,2025-04-08
Village Itaparica,"4,0",Hotéis e resorts,2025-04-08
Villa Rosa,"4,0",Hotéis e resorts,2025-04-08
Oceano Hotel and Spa,"4,8",Hotéis e resorts,2025-04-08
Hotel Monreale Express,"4,0",Hotéis e resorts,2025-04-08
Leão de Judá Charme hotel,"4,3",Hotéis e resorts,2025-04-08
Quality Paulista,"4,0",Hotéis e resorts,2025-04-08
LUV Motéis,"4,0",Hotéis e resorts,2025-04-08
Scorial Rio Hotel,"4,0",Hotéis e resorts,2025-04-08
Hotel Brisa Tropical de Macaé,"4,8",Hotéis e resorts,2025-04-08
Hotel Terme Merano,"4,3",Hotéis e resorts,2025-04-08
Grupo Vila do Farol,"5,0",Hotéis e resorts,2025-04-08
Fazenda Ribeirão Hotel de Lazer,"5,0",Hotéis e resorts,2025-04-08
Cataratas Park Hotel,"4,7",Hotéis e resorts,2025-04-08
Hotel Senac Barreira Roxa,"4,4",Hotéis e resorts,2025-04-08
