nome,nota,setor,data_ingestao
RE/MAX,"4,2",Imobiliária,2025-04-08
Extra Space Storage,"4,3",Imobiliária,2025-04-08
Vitta Residencial,"4,1",Imobiliária,2025-04-08
Hines,"4,3",Imobiliária,2025-04-08
Keller Williams,"4,3",Imobiliária,2025-04-08
Prologis,"4,6",Imobiliária,2025-04-08
Hype Empreendimentos,"4,0",Imobiliária,2025-04-08
Guarida Imóveis,"4,4",Imobiliária,2025-04-08
Matera,"4,3",Imobiliária,2025-04-08
Century 21,"4,1",Imobiliária,2025-04-08
eXp Realty,"4,5",Imobiliária,2025-04-08
Outra,"4,3",Imobiliária,2025-04-08
HHHunt,"4,1",Imobiliária,2025-04-08
Tabas,"4,0",Imobiliária,2025-04-08
YEES! by JJR Empreendimentos,"4,5",Imobiliária,2025-04-08
LRG,"4,1",Imobiliária,2025-04-08
Liverpool,"4,0",Imobiliária,2025-04-08
Coldwell Banker,"4,1",Imobiliária,2025-04-08
Bozzuto,"4,0",Imobiliária,2025-04-08
Nomah,"4,0",Imobiliária,2025-04-08
SYN Prop Tech,"4,2",Imobiliária,2025-04-08
Conac Administradora de Imóveis,"4,3",Imobiliária,2025-04-08
Grupo Gaia,"4,3",Imobiliária,2025-04-08
Nexpe,"4,0",Imobiliária,2025-04-08
Anagê Imóveis,"4,1",Imobiliária,2025-04-08
ClearSale,"4,7",Imobiliária,2025-04-08
Zeus,"4,1",Imobiliária,2025-04-08
GuardeAqui,"4,2",Imobiliária,2025-04-08
Panco,"4,5",Imobiliária,2025-04-08
Laramar Group,"4,0",Imobiliária,2025-04-08
Foncia,"4,1",Imobiliária,2025-04-08
InstaCasa,"4,1",Imobiliária,2025-04-08
RE/MAX Urban,"4,6",Imobiliária,2025-04-08
TARRAF (Brazil),"4,0",Imobiliária,2025-04-08
Habitacional Empreendimentos,"4,2",Imobiliária,2025-04-08
Clever,"4,0",Imobiliária,2025-04-08
HVS,"4,2",Imobiliária,2025-04-08
Places for People,"4,1",Imobiliária,2025-04-08
Cardinal Group Companies,"4,3",Imobiliária,2025-04-08
DLP Capital,"4,5",Imobiliária,2025-04-08
Pegasus Residential,"4,2",Imobiliária,2025-04-08
Credimorar,"4,2",Imobiliária,2025-04-08
Venterra Realty,"4,3",Imobiliária,2025-04-08
Sotheby's International Realty,"4,2",Imobiliária,2025-04-08
Fathom Realty,"4,5",Imobiliária,2025-04-08
FortuneBuilders,"4,0",Imobiliária,2025-04-08
Nomad,"4,6",Imobiliária,2025-04-08
MySide,"4,2",Imobiliária,2025-04-08
SVN,"4,2",Imobiliária,2025-04-08
Optima,"4,0",Imobiliária,2025-04-08
RCG,"4,0",Imobiliária,2025-04-08
Central ParK,"4,0",Imobiliária,2025-04-08
Point,"4,3",Imobiliária,2025-04-08
Simpson Housing,"4,4",Imobiliária,2025-04-08
Carpediem Homes,"4,0",Imobiliária,2025-04-08
LAR.app,"4,3",Imobiliária,2025-04-08
Skyline,"4,0",Imobiliária,2025-04-08
Pilar,"4,1",Imobiliária,2025-04-08
Instant Group,"4,0",Imobiliária,2025-04-08
GPT,"4,0",Imobiliária,2025-04-08
Spotahome,"4,4",Imobiliária,2025-04-08
Inova BH,"4,0",Imobiliária,2025-04-08
Link Logistics Real Estate,"4,3",Imobiliária,2025-04-08
Grupo Lírios Empreendimentos Imobiliários,"4,1",Imobiliária,2025-04-08
NBR Group,"4,2",Imobiliária,2025-04-08
Della Adventure,"4,4",Imobiliária,2025-04-08
LocX,"4,4",Imobiliária,2025-04-08
Allen Tate,"4,4",Imobiliária,2025-04-08
RCLCO,"4,1",Imobiliária,2025-04-08
Kidder Mathews,"4,0",Imobiliária,2025-04-08
Activa,"4,3",Imobiliária,2025-04-08
Stok,"4,3",Imobiliária,2025-04-08
MASB Empreendmentos,"4,1",Imobiliária,2025-04-08
Integra Realty Resources,"4,0",Imobiliária,2025-04-08
SMARTWORKS COWORKING SPACES LIMITED,"4,1",Imobiliária,2025-04-08
Gerald Eve,"4,2",Imobiliária,2025-04-08
SODIC,"4,1",Imobiliária,2025-04-08
Westdale Asset Management,"4,0",Imobiliária,2025-04-08
BMOC,"4,1",Imobiliária,2025-04-08
Yogha,"4,0",Imobiliária,2025-04-08
Casarão Imóveis,"4,3",Imobiliária,2025-04-08
LG Fairmont Group,"4,3",Imobiliária,2025-04-08
GSE Group,"4,8",Imobiliária,2025-04-08
RE/MAX Distinctive Real Estate,"4,3",Imobiliária,2025-04-08
Lucio,"4,2",Imobiliária,2025-04-08
Cofra Holding,"4,2",Imobiliária,2025-04-08
Elio Winter Incorporações,"4,7",Imobiliária,2025-04-08
Nested,"4,5",Imobiliária,2025-04-08
Wilshire Financial Network,"4,4",Imobiliária,2025-04-08
HSA,"4,2",Imobiliária,2025-04-08
Muck Imobiliária,"4,3",Imobiliária,2025-04-08
RE/MAX Results,"4,2",Imobiliária,2025-04-08
Lavanda,"4,5",Imobiliária,2025-04-08
PSR,"4,1",Imobiliária,2025-04-08
Intercontinental,"4,0",Imobiliária,2025-04-08
SKR Incorporadora e Construtora,"4,1",Imobiliária,2025-04-08
CBRE Build,"4,0",Imobiliária,2025-04-08
CIRE Equity,"4,9",Imobiliária,2025-04-08
NextHome,"4,3",Imobiliária,2025-04-08
Iron House,"4,6",Imobiliária,2025-04-08
HGHI Holding,"4,4",Imobiliária,2025-04-08
Consórcio Sisbracon,"4,3",Imobiliária,2025-04-08
RPT Realty,"4,4",Imobiliária,2025-04-08
Ollie,"4,6",Imobiliária,2025-04-08
Ausin Group,"4,1",Imobiliária,2025-04-08
Terra Brasilis,"4,3",Imobiliária,2025-04-08
Vard,"4,3",Imobiliária,2025-04-08
DNA Imóveis,"4,2",Imobiliária,2025-04-08
iHOUSEWeb Solutions,"4,0",Imobiliária,2025-04-08
Gesellschaft für Grund- und Hausbesitz,"4,0",Imobiliária,2025-04-08
GT Building,"4,9",Imobiliária,2025-04-08
The Excelsior Group,"4,0",Imobiliária,2025-04-08
Santa Maria Imóveis,"4,4",Imobiliária,2025-04-08
Valor Capital,"4,6",Imobiliária,2025-04-08
Servitas,"4,0",Imobiliária,2025-04-08
Essencial Registros & Servicos,"4,0",Imobiliária,2025-04-08
Júdice & Araújo,"4,6",Imobiliária,2025-04-08
PMB,"4,0",Imobiliária,2025-04-08
OnSiteIQ,"4,1",Imobiliária,2025-04-08
ONCOR,"4,2",Imobiliária,2025-04-08
PMZ Real Estate,"4,2",Imobiliária,2025-04-08
CREA,"4,0",Imobiliária,2025-04-08
Dalfen Industrial,"4,1",Imobiliária,2025-04-08
KMG,"4,0",Imobiliária,2025-04-08
CONTI Capital,"4,1",Imobiliária,2025-04-08
DMB,"4,4",Imobiliária,2025-04-08
Groupe Valophis,"4,2",Imobiliária,2025-04-08
Beegru,"4,5",Imobiliária,2025-04-08
Grupo Potencial,"4,6",Imobiliária,2025-04-08
FC Incorporadora,"4,2",Imobiliária,2025-04-08
Campanelli,"5,0",Imobiliária,2025-04-08
EcoPlan,"4,2",Imobiliária,2025-04-08
Mira,"4,1",Imobiliária,2025-04-08
Ferreira Ferraz,"4,0",Imobiliária,2025-04-08
Berrys,"4,1",Imobiliária,2025-04-08
Estatemint,"4,0",Imobiliária,2025-04-08
API Global,"4,6",Imobiliária,2025-04-08
TRITEC,"4,0",Imobiliária,2025-04-08
NSK3 Imóveis,"4,6",Imobiliária,2025-04-08
Arantes Imóveis,"4,6",Imobiliária,2025-04-08
Citz,"4,0",Imobiliária,2025-04-08
Vivere Imóveis,"4,3",Imobiliária,2025-04-08
DVL,"4,6",Imobiliária,2025-04-08
Toca Imóveis,"4,8",Imobiliária,2025-04-08
Construtora Canal,"4,1",Imobiliária,2025-04-08
SWA Realty,"4,1",Imobiliária,2025-04-08
Leaves Premium Suites,"4,2",Imobiliária,2025-04-08
Shoppings do Grupo PaulOOctavio,"4,3",Imobiliária,2025-04-08
HostGenius,"4,2",Imobiliária,2025-04-08
RGW Construction,"4,1",Imobiliária,2025-04-08
Nest Realty,"4,9",Imobiliária,2025-04-08
Pasqualotto&GT,"4,2",Imobiliária,2025-04-08
CONAC,"4,1",Imobiliária,2025-04-08
Kazzas,"4,0",Imobiliária,2025-04-08
HomeGuru,"4,3",Imobiliária,2025-04-08
Residencial Morada dos Pássaros,"4,6",Imobiliária,2025-04-08
Luagge Imóveis,"4,2",Imobiliária,2025-04-08
Cooper Life,"4,0",Imobiliária,2025-04-08
360 Suítes,"4,0",Imobiliária,2025-04-08
11 Capital Finance,"4,2",Imobiliária,2025-04-08
TACADA,"4,8",Imobiliária,2025-04-08
REISift,"5,0",Imobiliária,2025-04-08
Simplicity,"4,1",Imobiliária,2025-04-08
Market House,"4,6",Imobiliária,2025-04-08
Alphaville Fortaleza,"4,5",Imobiliária,2025-04-08
Bortolini Imóveis,"4,6",Imobiliária,2025-04-08
