nome,nota,setor,data_ingestao
PWC Brasil,"4,0",Impressão comercial,2025-04-08
Aboissa,"4,2",Impressão comercial,2025-04-08
Franklin Trade Graphics,"4,2",Impressão comercial,2025-04-08
Schattdecor,"4,1",Impressão comercial,2025-04-08
Simpress Printing,"4,3",Impressão comercial,2025-04-08
Durst Image Technology,"4,2",Impressão comercial,2025-04-08
ASAP,"4,4",Impressão comercial,2025-04-08
São Francisco Gráfica e Editora,"4,2",Impressão comercial,2025-04-08
Prakolar Sato,"4,8",Impressão comercial,2025-04-08
imageOne,"4,6",Impressão comercial,2025-04-08
Vitória Régia,"4,3",Impressão comercial,2025-04-08
Master Print,"4,2",Impressão comercial,2025-04-08
celebrate company,"4,5",Impressão comercial,2025-04-08
JHI,"4,2",Impressão comercial,2025-04-08
Cromotransfer,"4,4",Impressão comercial,2025-04-08
Catuaí Rótulos,"4,6",Impressão comercial,2025-04-08
Quiver,"4,9",Impressão comercial,2025-04-08
Gráfica e Editora Brogotá,"4,3",Impressão comercial,2025-04-08
Color,"4,1",Impressão comercial,2025-04-08
Embagraf,"4,5",Impressão comercial,2025-04-08
ePrint,"4,0",Impressão comercial,2025-04-08
Brascolor Gráfica e Editora,"4,1",Impressão comercial,2025-04-08
Pulsar Technologies,"4,3",Impressão comercial,2025-04-08
LAR,"4,4",Impressão comercial,2025-04-08
PrintArt,"4,3",Impressão comercial,2025-04-08
Metiq,"4,4",Impressão comercial,2025-04-08
Gráfica e Editora Lcr,"4,0",Impressão comercial,2025-04-08
Brindec,"4,6",Impressão comercial,2025-04-08
Printpoint,"5,0",Impressão comercial,2025-04-08
Irmãos Hort,"5,0",Impressão comercial,2025-04-08
Têxtil RC,"5,0",Impressão comercial,2025-04-08
Santa Cruz Indústria Gráfica,"4,0",Impressão comercial,2025-04-08
MasterPress,"4,3",Impressão comercial,2025-04-08
Todaytec,"4,7",Impressão comercial,2025-04-08
Tech Press Artes Graficas,"5,0",Impressão comercial,2025-04-08
Volpato Soluções Gráficas,"5,0",Impressão comercial,2025-04-08
B&F Plastics,"5,0",Impressão comercial,2025-04-08
TK Comunicação Visual,"4,0",Impressão comercial,2025-04-08
Visual Lab,"4,0",Impressão comercial,2025-04-08
Etiquetas Dalla,"4,0",Impressão comercial,2025-04-08
Alsace Techniques Étiquetage,"4,0",Impressão comercial,2025-04-08
Tipotil Indústria Gráfica,"4,3",Impressão comercial,2025-04-08
Cia de Tecnologia Digital,"5,0",Impressão comercial,2025-04-08
Faci Color,"4,0",Impressão comercial,2025-04-08
Grupo Serwir,"5,0",Impressão comercial,2025-04-08
BH Gráfica,"5,0",Impressão comercial,2025-04-08
DMD Business Forms & Printing,"5,0",Impressão comercial,2025-04-08
Equipa Outsourcing,"4,5",Impressão comercial,2025-04-08
Gráfica Ecoprint,"4,0",Impressão comercial,2025-04-08
Bureau de Imagens,"4,0",Impressão comercial,2025-04-08
Exklusiva,"5,0",Impressão comercial,2025-04-08
Malires Gráfica,"4,0",Impressão comercial,2025-04-08
Amaral Incorp,"4,0",Impressão comercial,2025-04-08
Brsplice,"5,0",Impressão comercial,2025-04-08
APP Comunicação Visual,"5,0",Impressão comercial,2025-04-08
Tac Etiquetas,"4,0",Impressão comercial,2025-04-08
Gráfica Imenores,"4,0",Impressão comercial,2025-04-08
ITW Technopack,"4,5",Impressão comercial,2025-04-08
Automação Indústria Gráfica,"4,0",Impressão comercial,2025-04-08
UVPress,"5,0",Impressão comercial,2025-04-08
46 Indústria Gráfica e Logística de Impressos,"5,0",Impressão comercial,2025-04-08
CCS Gráfica e Editora,"5,0",Impressão comercial,2025-04-08
Art Floc,"5,0",Impressão comercial,2025-04-08
Novaprint do Brasil,"5,0",Impressão comercial,2025-04-08
Mk Informatica,"5,0",Impressão comercial,2025-04-08
