nome,nota,setor,data_ingestao
AIESEC,"4,5",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação Petrobras de Seguridade Social,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
GRAACC,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação Estudar,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
AAAS,"4,3",Instituições de caridade e de concessão de bolsas,2025-04-08
Fraunhofer-Gesellschaft,"4,1",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundacred,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
IEEE,"4,2",Instituições de caridade e de concessão de bolsas,2025-04-08
Institut Pasteur,"4,3",Instituições de caridade e de concessão de bolsas,2025-04-08
Atados,"4,4",Instituições de caridade e de concessão de bolsas,2025-04-08
Ford Foundation,"4,1",Instituições de caridade e de concessão de bolsas,2025-04-08
Wadhwani Foundation,"4,2",Instituições de caridade e de concessão de bolsas,2025-04-08
ALSAC/St. Jude Children's Research Hospital,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
LIVESTRONG,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
FOM,"4,5",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação Educacional Severino Sombra,"4,1",Instituições de caridade e de concessão de bolsas,2025-04-08
FUNEV,"4,3",Instituições de caridade e de concessão de bolsas,2025-04-08
Obama For America,"4,3",Instituições de caridade e de concessão de bolsas,2025-04-08
Heinrich-Böll-Stiftung,"4,1",Instituições de caridade e de concessão de bolsas,2025-04-08
Aldeia do Futuro,"4,4",Instituições de caridade e de concessão de bolsas,2025-04-08
LDS Family Services,"4,3",Instituições de caridade e de concessão de bolsas,2025-04-08
Movimiento CREA,"4,6",Instituições de caridade e de concessão de bolsas,2025-04-08
Medical Council of Canada,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
The Good Food Institute Brasil,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
IPEN,"4,2",Instituições de caridade e de concessão de bolsas,2025-04-08
Cantalician Center,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Associação Peter Pan,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
International Care Ministries,"4,1",Instituições de caridade e de concessão de bolsas,2025-04-08
Grant Advance,"4,6",Instituições de caridade e de concessão de bolsas,2025-04-08
Rosa Luxemburg Stiftung,"4,4",Instituições de caridade e de concessão de bolsas,2025-04-08
Dharohar,"4,6",Instituições de caridade e de concessão de bolsas,2025-04-08
AGES (Brazil),"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação São Paulo,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
DG Group Marketing Solutions,"4,1",Instituições de caridade e de concessão de bolsas,2025-04-08
Instituto Monsenhor Antunes,"4,3",Instituições de caridade e de concessão de bolsas,2025-04-08
Instituto Nacional de Erradicação da Carência Escolar e Social,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Apae Bauru,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação Espírita Judas Iscariotes,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Equitas,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
WINGS,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Redeh de Beneficencia Cristã,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundacao Benedito Pereira Nunes,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Maison de l'Enfance du 7ème,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Cervejaria Cathedral,"4,5",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação José Luiz Egydio Setúbal,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Abrigo Jesus,"4,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação São João Batista,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Fundação Fórum Campinas,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
Diocese de Nova Iguaçu,"5,0",Instituições de caridade e de concessão de bolsas,2025-04-08
