nome,nota,setor,data_ingestao
The Church of Jesus Christ of Latter-day Saints,"4,6",Instituições religiosas,2025-04-08
Igreja Universal do Reino de Deus,"4,1",Instituições religiosas,2025-04-08
Compassion International,"4,4",Instituições religiosas,2025-04-08
Associação Brasileira de A Igreja de Jesus Cristo dos Santos dos Últimos Dias,"4,5",Instituições religiosas,2025-04-08
Igreja Batista Atitude,"4,2",Instituições religiosas,2025-04-08
Lar São Vicente de Paulo,"4,3",Instituições religiosas,2025-04-08
Alpha,"4,0",Instituições religiosas,2025-04-08
BGEA,"4,1",Instituições religiosas,2025-04-08
CCV,"4,2",Instituições religiosas,2025-04-08
The Gideons International,"4,1",Instituições religiosas,2025-04-08
Shalom Austin,"4,1",Instituições religiosas,2025-04-08
Christian Vision,"4,1",Instituições religiosas,2025-04-08
TWR,"4,4",Instituições religiosas,2025-04-08
Federação Espírita do Paraná,"4,2",Instituições religiosas,2025-04-08
Aliança de Misericórdia,"4,7",Instituições religiosas,2025-04-08
Associação Planalto Central,"4,5",Instituições religiosas,2025-04-08
ICCR,"4,5",Instituições religiosas,2025-04-08
União Centro-Oeste Brasileira,"4,5",Instituições religiosas,2025-04-08
Igreja Adventista do Sétimo Dia - União Noroeste Brasileira,"4,6",Instituições religiosas,2025-04-08
Jehovah’s Witnesses,"4,1",Instituições religiosas,2025-04-08
Diocese de São José dos Campos,"4,6",Instituições religiosas,2025-04-08
Solo Sagrado,"4,1",Instituições religiosas,2025-04-08
Instituto Jesus Eucarístico,"4,2",Instituições religiosas,2025-04-08
Comunidade Religiosa Santa Rita de Cássia,"4,2",Instituições religiosas,2025-04-08
Iris Ministries,"4,5",Instituições religiosas,2025-04-08
Província Brasileira da Congregação da Missão,"5,0",Instituições religiosas,2025-04-08
Arquidiocese de Olinda e Recife,"5,0",Instituições religiosas,2025-04-08
Instituto CanZion,"4,8",Instituições religiosas,2025-04-08
Igreja Cristã Maranata,"5,0",Instituições religiosas,2025-04-08
União Nacional das Igrejas e Pastores Evangélicos,"4,6",Instituições religiosas,2025-04-08
Arquidiocese de Diamantina,"5,0",Instituições religiosas,2025-04-08
Igreja Adventista do Sétimo Dia (Marituba),"5,0",Instituições religiosas,2025-04-08
Associação Rio Fluminense,"4,6",Instituições religiosas,2025-04-08
Calvary Chapel of Modesto,"4,0",Instituições religiosas,2025-04-08
Missão Belém,"4,3",Instituições religiosas,2025-04-08
Pinacoteca do Ceará,"5,0",Instituições religiosas,2025-04-08
Mitra Diocesana de Nova Friburgo,"4,5",Instituições religiosas,2025-04-08
Diocese de Tianguá,"4,6",Instituições religiosas,2025-04-08
Associação Sul Espírito Santense,"4,5",Instituições religiosas,2025-04-08
SIM,"4,0",Instituições religiosas,2025-04-08
Centro Espírita Caminho de Damasco,"4,0",Instituições religiosas,2025-04-08
Comunidade Obra de Maria,"5,0",Instituições religiosas,2025-04-08
YAH Church,"4,0",Instituições religiosas,2025-04-08
Santuário Basílica da Penha,"5,0",Instituições religiosas,2025-04-08
Missionários do Sagrado Coração,"4,0",Instituições religiosas,2025-04-08
Madre Regina,"4,5",Instituições religiosas,2025-04-08
Copiosa Redenção,"4,5",Instituições religiosas,2025-04-08
Igreja Adventista do Setimo Dia,"5,0",Instituições religiosas,2025-04-08
AD Floripa,"5,0",Instituições religiosas,2025-04-08
Arquidiocese de Belém do Pará,"5,0",Instituições religiosas,2025-04-08
Fundacao Internacional De Comunicacao,"4,0",Instituições religiosas,2025-04-08
Elodafé,"5,0",Instituições religiosas,2025-04-08
Capela da Penha,"4,0",Instituições religiosas,2025-04-08
Mosteiro Dévakan,"5,0",Instituições religiosas,2025-04-08
Florianopolis House Of Prayer,"5,0",Instituições religiosas,2025-04-08
Inspetoria Salesiana São Pio X,"5,0",Instituições religiosas,2025-04-08
Sociedade Espírita Fraternidade,"4,0",Instituições religiosas,2025-04-08
Grupo Bom Jesus Assistência Funeral,"5,0",Instituições religiosas,2025-04-08
Igreja Adventista Do Setimo Dia,"5,0",Instituições religiosas,2025-04-08
Rede Rogacionista,"5,0",Instituições religiosas,2025-04-08
Divino Oleiro,"5,0",Instituições religiosas,2025-04-08
Ministério Evangélico Palavra de Vida,"5,0",Instituições religiosas,2025-04-08
Jornal A Federação,"5,0",Instituições religiosas,2025-04-08
Assembleia De Jesus,"5,0",Instituições religiosas,2025-04-08
Escola Batista Cristo é a Vida,"5,0",Instituições religiosas,2025-04-08
