nome,nota,setor,data_ingestao
Google,"4,3",Internet e serviços Web,2025-04-08
Mercado Livre,"4,2",Internet e serviços Web,2025-04-08
iFood,"4,2",Internet e serviços Web,2025-04-08
UOL,"4,2",Internet e serviços Web,2025-04-08
LinkedIn,"4,0",Internet e serviços Web,2025-04-08
OLX Brasil,"4,2",Internet e serviços Web,2025-04-08
Wellhub,"4,2",Internet e serviços Web,2025-04-08
Booking.com,"4,0",Internet e serviços Web,2025-04-08
99,"4,0",Internet e serviços Web,2025-04-08
Netflix,"4,2",Internet e serviços Web,2025-04-08
Yahoo,"4,0",Internet e serviços Web,2025-04-08
YouTube,"4,4",Internet e serviços Web,2025-04-08
Net Serviços de Comunicação,"4,2",Internet e serviços Web,2025-04-08
Quero Educação,"4,0",Internet e serviços Web,2025-04-08
Criteo,"4,1",Internet e serviços Web,2025-04-08
Embratel,"4,1",Internet e serviços Web,2025-04-08
RecargaPay,"4,2",Internet e serviços Web,2025-04-08
Glassdoor,"4,2",Internet e serviços Web,2025-04-08
Catho Online,"4,2",Internet e serviços Web,2025-04-08
Indeed,"4,0",Internet e serviços Web,2025-04-08
Méliuz,"4,5",Internet e serviços Web,2025-04-08
Eduzz,"4,5",Internet e serviços Web,2025-04-08
Airbnb,"4,3",Internet e serviços Web,2025-04-08
ESPN,"4,0",Internet e serviços Web,2025-04-08
Webmotors,"4,2",Internet e serviços Web,2025-04-08
Google Cloud,"4,2",Internet e serviços Web,2025-04-08
Delivery Center,"4,4",Internet e serviços Web,2025-04-08
Viva Rio,"4,3",Internet e serviços Web,2025-04-08
Garena,"4,1",Internet e serviços Web,2025-04-08
Estratégia Concursos,"4,3",Internet e serviços Web,2025-04-08
Didi Chuxing,"4,0",Internet e serviços Web,2025-04-08
Webjump,"4,1",Internet e serviços Web,2025-04-08
Hostinger International,"4,2",Internet e serviços Web,2025-04-08
Pinterest,"4,0",Internet e serviços Web,2025-04-08
NeoAssist,"4,0",Internet e serviços Web,2025-04-08
Movile,"4,4",Internet e serviços Web,2025-04-08
Spotify,"4,0",Internet e serviços Web,2025-04-08
BlaBlaCar,"4,5",Internet e serviços Web,2025-04-08
Fullstack Labs,"4,2",Internet e serviços Web,2025-04-08
Fiverr Inc.,"4,2",Internet e serviços Web,2025-04-08
Slide Inc,"4,4",Internet e serviços Web,2025-04-08
CoreBiz. Group,"4,1",Internet e serviços Web,2025-04-08
Incognia,"4,7",Internet e serviços Web,2025-04-08
Agoda,"4,0",Internet e serviços Web,2025-04-08
Wix,"4,1",Internet e serviços Web,2025-04-08
Rocket Internet,"4,2",Internet e serviços Web,2025-04-08
Preply,"4,1",Internet e serviços Web,2025-04-08
Pareto Group (Brazil),"4,7",Internet e serviços Web,2025-04-08
DANA,"4,1",Internet e serviços Web,2025-04-08
Tencent,"4,1",Internet e serviços Web,2025-04-08
Maitha Tech,"4,6",Internet e serviços Web,2025-04-08
Grab,"4,0",Internet e serviços Web,2025-04-08
Gringo o Melhor Amigo do Motorista,"4,3",Internet e serviços Web,2025-04-08
Híbrido,"4,3",Internet e serviços Web,2025-04-08
Flix,"4,0",Internet e serviços Web,2025-04-08
Ascential,"4,2",Internet e serviços Web,2025-04-08
Kraken Digital Asset Exchange,"4,4",Internet e serviços Web,2025-04-08
Goomer,"4,3",Internet e serviços Web,2025-04-08
SUPERCOMM,"4,4",Internet e serviços Web,2025-04-08
Rei do Pitaco,"4,1",Internet e serviços Web,2025-04-08
Letras,"4,3",Internet e serviços Web,2025-04-08
BigDataCorp,"4,2",Internet e serviços Web,2025-04-08
Umbler,"4,5",Internet e serviços Web,2025-04-08
Melhor Plano,"4,0",Internet e serviços Web,2025-04-08
Wavy Global,"4,3",Internet e serviços Web,2025-04-08
Yandex,"4,3",Internet e serviços Web,2025-04-08
Equativ,"4,5",Internet e serviços Web,2025-04-08
OKG,"4,1",Internet e serviços Web,2025-04-08
italki,"4,4",Internet e serviços Web,2025-04-08
Voltz Capital,"4,0",Internet e serviços Web,2025-04-08
atolls,"4,1",Internet e serviços Web,2025-04-08
scandiweb,"4,6",Internet e serviços Web,2025-04-08
Jota,"4,5",Internet e serviços Web,2025-04-08
Comunique-se,"4,1",Internet e serviços Web,2025-04-08
KAYAK,"4,5",Internet e serviços Web,2025-04-08
Sorte Online,"4,3",Internet e serviços Web,2025-04-08
Bio Ritmo,"4,2",Internet e serviços Web,2025-04-08
Aunica,"4,1",Internet e serviços Web,2025-04-08
GoBots,"4,4",Internet e serviços Web,2025-04-08
Z-Tech Brasil,"4,0",Internet e serviços Web,2025-04-08
Tokopedia,"4,2",Internet e serviços Web,2025-04-08
MakeMyTrip,"4,3",Internet e serviços Web,2025-04-08
Duda,"4,4",Internet e serviços Web,2025-04-08
Gojek,"4,0",Internet e serviços Web,2025-04-08
Chama The App,"4,5",Internet e serviços Web,2025-04-08
Oyster,"4,3",Internet e serviços Web,2025-04-08
Nuuvem,"4,3",Internet e serviços Web,2025-04-08
tech.fit,"4,1",Internet e serviços Web,2025-04-08
Neustar,"4,1",Internet e serviços Web,2025-04-08
Despegar.com,"4,0",Internet e serviços Web,2025-04-08
Promobit,"4,0",Internet e serviços Web,2025-04-08
Even3,"4,2",Internet e serviços Web,2025-04-08
Course Hero,"4,5",Internet e serviços Web,2025-04-08
ChatGuru,"4,2",Internet e serviços Web,2025-04-08
ARVORE Immersive Experiences,"4,2",Internet e serviços Web,2025-04-08
Directi,"4,1",Internet e serviços Web,2025-04-08
Jampp,"4,3",Internet e serviços Web,2025-04-08
Volanty,"4,6",Internet e serviços Web,2025-04-08
Snapdeal,"4,1",Internet e serviços Web,2025-04-08
Agency Enterprise Studio,"4,1",Internet e serviços Web,2025-04-08
Agrosmart,"4,0",Internet e serviços Web,2025-04-08
Personare,"4,3",Internet e serviços Web,2025-04-08
Radix,"4,2",Internet e serviços Web,2025-04-08
Traktor Tração Digital,"4,7",Internet e serviços Web,2025-04-08
Trakto,"4,0",Internet e serviços Web,2025-04-08
Voodoo,"4,3",Internet e serviços Web,2025-04-08
Duolingo,"4,2",Internet e serviços Web,2025-04-08
"Quora, Inc.","4,3",Internet e serviços Web,2025-04-08
Urban,"4,3",Internet e serviços Web,2025-04-08
Itelios,"4,0",Internet e serviços Web,2025-04-08
Blueshift,"4,2",Internet e serviços Web,2025-04-08
Moon Active,"4,3",Internet e serviços Web,2025-04-08
Par Perfeito,"4,0",Internet e serviços Web,2025-04-08
Studio Visual,"4,3",Internet e serviços Web,2025-04-08
Wego,"4,5",Internet e serviços Web,2025-04-08
The Trade Desk,"4,2",Internet e serviços Web,2025-04-08
Casar.com,"4,2",Internet e serviços Web,2025-04-08
AirHelp,"4,5",Internet e serviços Web,2025-04-08
Ambush,"4,3",Internet e serviços Web,2025-04-08
Chegg,"4,0",Internet e serviços Web,2025-04-08
DTEL Telecom,"4,0",Internet e serviços Web,2025-04-08
BrowserStack,"4,4",Internet e serviços Web,2025-04-08
Arcor,"4,3",Internet e serviços Web,2025-04-08
bol,"4,1",Internet e serviços Web,2025-04-08
Fivestars,"4,0",Internet e serviços Web,2025-04-08
TOPi,"4,3",Internet e serviços Web,2025-04-08
QueroDelivery,"4,4",Internet e serviços Web,2025-04-08
Null Corporation,"4,2",Internet e serviços Web,2025-04-08
iDinheiro,"4,8",Internet e serviços Web,2025-04-08
Tempo,"4,0",Internet e serviços Web,2025-04-08
ISI Emerging Markets Group,"4,1",Internet e serviços Web,2025-04-08
Virtus Tech Tecnologia e Serviços,"4,3",Internet e serviços Web,2025-04-08
Close,"4,9",Internet e serviços Web,2025-04-08
Talentify.io,"4,2",Internet e serviços Web,2025-04-08
NeoDocto,"4,8",Internet e serviços Web,2025-04-08
Muni Tienda,"4,1",Internet e serviços Web,2025-04-08
Fuerza Studio,"4,4",Internet e serviços Web,2025-04-08
Birdeye,"4,2",Internet e serviços Web,2025-04-08
Verisign,"4,2",Internet e serviços Web,2025-04-08
CARFAX,"4,0",Internet e serviços Web,2025-04-08
PushStart,"4,3",Internet e serviços Web,2025-04-08
Innovid,"4,1",Internet e serviços Web,2025-04-08
"Proton, privacy by default","4,0",Internet e serviços Web,2025-04-08
Manychat,"4,7",Internet e serviços Web,2025-04-08
Incentivar,"4,1",Internet e serviços Web,2025-04-08
Fantasy,"4,1",Internet e serviços Web,2025-04-08
Zartis,"4,8",Internet e serviços Web,2025-04-08
UP Outsourcing,"5,0",Internet e serviços Web,2025-04-08
Trip.com Group,"4,0",Internet e serviços Web,2025-04-08
Action Labs,"4,1",Internet e serviços Web,2025-04-08
Superplayer & Co.,"4,7",Internet e serviços Web,2025-04-08
Mitgo,"4,3",Internet e serviços Web,2025-04-08
VK,"4,1",Internet e serviços Web,2025-04-08
GoCache,"4,3",Internet e serviços Web,2025-04-08
Lead Forensics,"4,4",Internet e serviços Web,2025-04-08
Edrone,"4,2",Internet e serviços Web,2025-04-08
Bending Spoons,"4,7",Internet e serviços Web,2025-04-08
Hotjar,"4,0",Internet e serviços Web,2025-04-08
Project A,"4,5",Internet e serviços Web,2025-04-08
Arena.im,"4,0",Internet e serviços Web,2025-04-08
