nome,nota,setor,data_ingestao
PMU,"4,1",Jogos de azar,2025-04-08
Superbet,"4,0",Jogos de azar,2025-04-08
Midnite,"4,6",Jogos de azar,2025-04-08
Camelot Group,"4,0",Jogos de azar,2025-04-08
888 Spectate,"4,5",Jogos de azar,2025-04-08
Suprema Gaming & CO,"4,0",Jogos de azar,2025-04-08
BetWarrior,"4,2",Jogos de azar,2025-04-08
WPT Global,"4,5",Jogos de azar,2025-04-08
Pixbet,"4,1",Jogos de azar,2025-04-08
Casa de Apostas,"5,0",Jogos de azar,2025-04-08
Epulze,"4,2",Jogos de azar,2025-04-08
4bet Poker Team,"5,0",Jogos de azar,2025-04-08
JOGODEOUROBET,"5,0",Jogos de azar,2025-04-08
Piplay,"4,2",Jogos de azar,2025-04-08
