nome,nota,setor,data_ingestao
Werfen,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Paulo C. Azevedo,"4,1",Laboratórios clínicos e de testes médicos,2025-04-08
Unimed Laboratório,"4,1",Laboratórios clínicos e de testes médicos,2025-04-08
Ramos Medicina Diagnóstica,"4,6",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratórios Clínicos Associados,"4,2",Laboratórios clínicos e de testes médicos,2025-04-08
Centerlab,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
IHEF Laboratório,"4,1",Laboratórios clínicos e de testes médicos,2025-04-08
Sonitec,"4,3",Laboratórios clínicos e de testes médicos,2025-04-08
Labimed Análises Clínicas,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Cepclin,"4,6",Laboratórios clínicos e de testes médicos,2025-04-08
Quanta Diagnóstico por Imagem,"4,7",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Samuel Pessoa,"4,1",Laboratórios clínicos e de testes médicos,2025-04-08
Cedap,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Duarte Qualidade a Servico da Vida,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Medical Harbour,"4,5",Laboratórios clínicos e de testes médicos,2025-04-08
Sigma Diagnostico Por Imagem,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
LabCare Medicina Diagnóstica,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Marlene Spir,"4,1",Laboratórios clínicos e de testes médicos,2025-04-08
Fontana Laboratório Clínico,"4,2",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Rebouças,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Fit Lab,"4,3",Laboratórios clínicos e de testes médicos,2025-04-08
Vicenlab Laboratório de Anências Clínicas,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
BRK Laboratórios,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Maurílio de Almeida,"4,5",Laboratórios clínicos e de testes médicos,2025-04-08
Projlab Laboratórios,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Hermann,"4,2",Laboratórios clínicos e de testes médicos,2025-04-08
Exame Brasil,"4,3",Laboratórios clínicos e de testes médicos,2025-04-08
Grupo Plátano,"4,4",Laboratórios clínicos e de testes médicos,2025-04-08
Memorial Diagnóstico,"4,5",Laboratórios clínicos e de testes médicos,2025-04-08
Mercolab Laboratorios,"4,5",Laboratórios clínicos e de testes médicos,2025-04-08
RT Medical,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Aliança,"4,5",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Silveira.,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Fleming Medicina Diagnóstica,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório São Luís,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Central (Brazil),"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
S1 Saude Planos Ambulatorias,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Clínica de Radiologia Rio de Janeiro,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Labocliv,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratorio Imune,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
CVD Diagnóstico por Imagem,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
CDA Diagnóstico e Análises,"4,6",Laboratórios clínicos e de testes médicos,2025-04-08
Bunzl Saúde,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Carlos Chagas(Brazil),"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Oswaldo Cruz,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laborfase Padrão,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
PremiumLab (Brazil),"4,5",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório João Adroaldo,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laborcentro,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Citoclin,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
CDC Laboratório,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Santanna Laboratório,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Conceito Diagnosticos,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratorio Equipe,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
CCAB,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Centro Ortopédico Guarulhos,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Prolmedic Laboratório Clinico,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Clinisul,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Metrobras,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
LABORATÓRIO DE PESQUISAS CLÍNICAS PLINIO BACELAR,"4,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Buainain,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Neo Clinic,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório Citocenter,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
Laboratório biociência,"5,0",Laboratórios clínicos e de testes médicos,2025-04-08
