nome,nota,setor,data_ingestao
Grupo Autoglass,"4,3",Lojas de acessórios e peças automotivas,2025-04-08
KOSTAL,"4,0",Lojas de acessórios e peças automotivas,2025-04-08
TVH Group,"4,0",Lojas de acessórios e peças automotivas,2025-04-08
Automax Fiat,"4,3",Lojas de acessórios e peças automotivas,2025-04-08
Kaizen Auto Peças,"4,5",Lojas de acessórios e peças automotivas,2025-04-08
Delta Máquinas,"4,4",Lojas de acessórios e peças automotivas,2025-04-08
NSA Pneutec,"4,3",Lojas de acessórios e peças automotivas,2025-04-08
Densul Ar Condicionado Automotivo,"4,5",Lojas de acessórios e peças automotivas,2025-04-08
Gamma Distribuidora de Lubrificantes,"4,2",Lojas de acessórios e peças automotivas,2025-04-08
MAGNUM DISTRIBUIDORA DE PNEUS,"4,5",Lojas de acessórios e peças automotivas,2025-04-08
Luna Technologies,"4,0",Lojas de acessórios e peças automotivas,2025-04-08
Tortuga Câmaras de Ar,"4,1",Lojas de acessórios e peças automotivas,2025-04-08
Novo Mundo Caminhões,"4,0",Lojas de acessórios e peças automotivas,2025-04-08
Sommer's Automotive,"4,1",Lojas de acessórios e peças automotivas,2025-04-08
Noroeste,"5,0",Lojas de acessórios e peças automotivas,2025-04-08
MRT,"4,4",Lojas de acessórios e peças automotivas,2025-04-08
Distribuidora de Pecas e Acessorios para Carretas,"4,3",Lojas de acessórios e peças automotivas,2025-04-08
AutoLinea,"4,3",Lojas de acessórios e peças automotivas,2025-04-08
Fox Pneus,"5,0",Lojas de acessórios e peças automotivas,2025-04-08
BR Company,"4,7",Lojas de acessórios e peças automotivas,2025-04-08
NovoRumo Honda,"4,2",Lojas de acessórios e peças automotivas,2025-04-08
Joaçaba Pneus,"4,4",Lojas de acessórios e peças automotivas,2025-04-08
Polisul Agrícola,"4,1",Lojas de acessórios e peças automotivas,2025-04-08
Pneus Paulista,"4,6",Lojas de acessórios e peças automotivas,2025-04-08
Go Mec Autopeças,"4,4",Lojas de acessórios e peças automotivas,2025-04-08
Baldi Industria E Comercio,"4,3",Lojas de acessórios e peças automotivas,2025-04-08
NHD BOATS,"4,3",Lojas de acessórios e peças automotivas,2025-04-08
Proteauto,"4,0",Lojas de acessórios e peças automotivas,2025-04-08
Auto Moto Escola Pinheirense,"4,1",Lojas de acessórios e peças automotivas,2025-04-08
Priority Componentes Automotivos,"5,0",Lojas de acessórios e peças automotivas,2025-04-08
Dave Carter & Associates,"4,5",Lojas de acessórios e peças automotivas,2025-04-08
Compeças,"5,0",Lojas de acessórios e peças automotivas,2025-04-08
Roni da Silva Chaves,"4,5",Lojas de acessórios e peças automotivas,2025-04-08
Motociclo Motos Peças e Acessórios,"4,8",Lojas de acessórios e peças automotivas,2025-04-08
