nome,nota,setor,data_ingestao
Supermercados Guanabara,"4,0",Lojas de alimentos e bebidas,2025-04-08
AB Mauri,"4,4",Lojas de alimentos e bebidas,2025-04-08
Moinhos Cruzeiro do Sul,"4,2",Lojas de alimentos e bebidas,2025-04-08
Sucocitrico Cutrale,"4,1",Lojas de alimentos e bebidas,2025-04-08
Cervecería y Maltería Quilmes,"4,1",Lojas de alimentos e bebidas,2025-04-08
Costa Atacadão (Brazil),"4,5",Lojas de alimentos e bebidas,2025-04-08
Distribuidora de Bebidas Virginia,"4,2",Lojas de alimentos e bebidas,2025-04-08
Coca-Cola Brazil,"4,2",Lojas de alimentos e bebidas,2025-04-08
Imperial,"4,3",Lojas de alimentos e bebidas,2025-04-08
Villa Camarão,"4,1",Lojas de alimentos e bebidas,2025-04-08
Melhor Atacadista,"4,0",Lojas de alimentos e bebidas,2025-04-08
Cadan Distribuicao,"4,1",Lojas de alimentos e bebidas,2025-04-08
Cia. Iguaçu de Café Solúvel,"4,0",Lojas de alimentos e bebidas,2025-04-08
Praso,"4,1",Lojas de alimentos e bebidas,2025-04-08
Bees Brasil,"4,0",Lojas de alimentos e bebidas,2025-04-08
Bahamas Mix,"4,0",Lojas de alimentos e bebidas,2025-04-08
PJ Refeições Coletivas,"4,1",Lojas de alimentos e bebidas,2025-04-08
Brewteco,"4,0",Lojas de alimentos e bebidas,2025-04-08
Perboni Brasil,"4,5",Lojas de alimentos e bebidas,2025-04-08
Sítio Recanto do Queijo,"4,6",Lojas de alimentos e bebidas,2025-04-08
Alfama Alimentos,"4,4",Lojas de alimentos e bebidas,2025-04-08
Traveling Vineyard,"4,8",Lojas de alimentos e bebidas,2025-04-08
Romanha,"4,2",Lojas de alimentos e bebidas,2025-04-08
Usina Monte Alegre,"4,0",Lojas de alimentos e bebidas,2025-04-08
Qualimax,"4,6",Lojas de alimentos e bebidas,2025-04-08
Supermercados Festval,"4,6",Lojas de alimentos e bebidas,2025-04-08
Iane (Brasil),"4,3",Lojas de alimentos e bebidas,2025-04-08
Leve Max SuperAtacado,"4,3",Lojas de alimentos e bebidas,2025-04-08
Garra Food Solutions,"4,1",Lojas de alimentos e bebidas,2025-04-08
Mercato,"4,0",Lojas de alimentos e bebidas,2025-04-08
JULIO STAMPA REPRESENTACOES COMERCIAIS,"4,2",Lojas de alimentos e bebidas,2025-04-08
Oba! É muito bom,"4,1",Lojas de alimentos e bebidas,2025-04-08
Camil Alimentos (Brazil),"4,4",Lojas de alimentos e bebidas,2025-04-08
Pardal Sorvetes,"4,0",Lojas de alimentos e bebidas,2025-04-08
Elma Chips,"4,2",Lojas de alimentos e bebidas,2025-04-08
Padaria Requinte,"4,0",Lojas de alimentos e bebidas,2025-04-08
Difal Alimentos,"5,0",Lojas de alimentos e bebidas,2025-04-08
Armazém Fit Store,"4,1",Lojas de alimentos e bebidas,2025-04-08
Marvi (Brazil),"4,6",Lojas de alimentos e bebidas,2025-04-08
Schlumberger (Germany),"4,3",Lojas de alimentos e bebidas,2025-04-08
TERÊ FRUTAS,"4,4",Lojas de alimentos e bebidas,2025-04-08
Lindoya Verão,"4,6",Lojas de alimentos e bebidas,2025-04-08
Firstleaf,"4,0",Lojas de alimentos e bebidas,2025-04-08
Dusnei Distribuidora,"4,5",Lojas de alimentos e bebidas,2025-04-08
Amorix alimentos,"4,7",Lojas de alimentos e bebidas,2025-04-08
Hu Products,"4,4",Lojas de alimentos e bebidas,2025-04-08
Padaria Bianchi,"4,0",Lojas de alimentos e bebidas,2025-04-08
Jacobs Douwe Egberts Professional,"4,3",Lojas de alimentos e bebidas,2025-04-08
Rivelli Alimentos,"4,6",Lojas de alimentos e bebidas,2025-04-08
Art-Pão Confeitaria,"4,9",Lojas de alimentos e bebidas,2025-04-08
Maguacamp Distribuidora,"4,8",Lojas de alimentos e bebidas,2025-04-08
Supermercado Scoton,"4,5",Lojas de alimentos e bebidas,2025-04-08
Calebito,"4,3",Lojas de alimentos e bebidas,2025-04-08
Minas Mais,"4,3",Lojas de alimentos e bebidas,2025-04-08
Cream Color,"4,4",Lojas de alimentos e bebidas,2025-04-08
Caicó Frios,"4,1",Lojas de alimentos e bebidas,2025-04-08
