nome,nota,setor,data_ingestao
Vieira Brasil Distribuidora,"4,1",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
PioVetss Comercio Pet,"4,2",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Agro Foods,"4,1",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
FreeFaro,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Qualy Distribuicao Armazenagem E Logistica,"4,4",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Maré Shopping,"4,5",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Platinum Performance,"4,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Grupo CMS,"4,3",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Alvorada Pet Shop,"4,6",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Pet Mania,"4,8",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Turamix Nutricao Animal,"4,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Lupi Pet,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Progato,"4,1",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Zoori Pet,"4,1",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Wave Dog,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Vidan Nutrição Animal,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Green Buddy,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Pet House by One Fur All,"4,4",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Cedan Rações Indústria e Comércio,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Biopet Distribuidora Comercial de Medicamentos Veterinários,"4,3",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
SÓ PASSAROS,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Vet Line Express,"4,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Dog Minas Triângulo,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Petniva,"4,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Agrofarm,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
Grupo Carzenne,"5,0",Lojas de animais de estimação e de produtos para animais de estimação,2025-04-08
