nome,nota,setor,data_ingestao
Brasileira de Distribuição,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Zema (Brazil),"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Focus Camera,"4,3",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
123 Comprou!,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Linio,"4,5",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
TCL SEMP,"4,3",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Millena Móveis e Eletro,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Globex Utilidades,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Eletroluz Materiais Elétricos,"4,4",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Bowers & Wilkins,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Energy Sistem,"4,4",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Doji,"4,9",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Digistar Telecomunicações,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Continental Brazil,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Neuco (IL),"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
EZ Comércio Digital,"4,5",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Império das capas,"4,8",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Lojas Hidromar,"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Comercial Brasil,"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Tomate,"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
MaxTech Services,"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Grupo Mueller,"4,6",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Netwin solution,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Eletrica Serpal,"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
LEDEXPERT,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Mondial,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
xBloom,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
"Centro Elétrico (Sao Luis, Brazil)","5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Bahiatech Materiais Elétricos,"4,4",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
M.A Soluções em Tecnologia,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Shop JPS,"4,3",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Dz Materiais Eletricos,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Elétrica União,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Eros Alto-Falantes,"4,5",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
P&R Automação Industrial,"4,4",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Modia,"4,4",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Mega Services,"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Comercial Aliança,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
PontoMax,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Planeta Energia,"4,1",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Exatronic Indústria e Comércio,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Up!Consertos,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Uehara Elétrica,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Sudeste Importacao E Distribuicao,"4,6",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
CompuMax,"4,3",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Teletron,"4,4",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Filadelfia Info,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Premel Materiais Elétricos,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Maxx Flex Industria de Borrachas,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Mundial Refrigeração,"4,5",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Elétrica J. Santos,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
ProAir Equipment,"4,4",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
JR Store,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Eletro Cardoso Engenharia,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Sumexr,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Ismafer Ferramentas,"4,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Elétrica Pólo,"5,0",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
Fiamon,"4,2",Lojas de aparelhos e equipamentos eletrônicos,2025-04-08
