nome,nota,setor,data_ingestao
Grupo Boticário,"4,4",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
O Boticário,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Richemont,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Beleza na Web,"4,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Amend Cosméticos,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Mary Kay,"4,2",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Compactor (Brazil),"4,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
IPSY,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
cosnova,"4,3",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Acium (Brazil),"4,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Comepi,"4,3",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Ollie Cosméticos,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Ara Vartanian,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Iguatemi Fortaleza,"4,2",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Rental Y Do Brasil,"4,3",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
D&D Cosmeticos,"4,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Classy Brands,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Botocenter,"4,3",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Blaze,"4,1",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Cos Bar,"4,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Grupo Euphoria,"4,2",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
SkinStore,"5,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Greenish (Brazil),"4,7",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
ADCOS IND. E COM.,"4,3",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Sexópolis,"5,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Farmacia Alquimia,"4,2",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Vult Cosméticos,"4,7",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Ana Luisa,"4,3",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Ótica Max,"5,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Outly,"5,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Óticas Vida,"4,6",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
MBS Pro Grooming,"5,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Vizzela,"4,8",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Hallon Dermocosméticos,"4,0",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Souvie Cosméticos Orgânicos,"4,4",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
Mq Hair,"4,4",Lojas de artigos de beleza e acessórios pessoais,2025-04-08
