nome,nota,setor,data_ingestao
Decathlon,"4,0",Lojas de artigos esportivos,2025-04-08
Netshoes,"4,3",Lojas de artigos esportivos,2025-04-08
Patagonia,"4,0",Lojas de artigos esportivos,2025-04-08
R.brands,"4,3",Lojas de artigos esportivos,2025-04-08
Casa do Fitness,"4,0",Lojas de artigos esportivos,2025-04-08
Dass calçados,"4,3",Lojas de artigos esportivos,2025-04-08
Golf Galaxy,"4,0",Lojas de artigos esportivos,2025-04-08
Brooks Running,"4,3",Lojas de artigos esportivos,2025-04-08
Br-moto Honda,"4,2",Lojas de artigos esportivos,2025-04-08
Thule Group,"4,1",Lojas de artigos esportivos,2025-04-08
SCF,"4,0",Lojas de artigos esportivos,2025-04-08
Piscines Desjoyaux,"4,1",Lojas de artigos esportivos,2025-04-08
Mantel (Netherlands),"4,1",Lojas de artigos esportivos,2025-04-08
Sportsworld,"4,2",Lojas de artigos esportivos,2025-04-08
Taurus Helmets Industria de Capacetes,"4,2",Lojas de artigos esportivos,2025-04-08
ANCORE,"4,5",Lojas de artigos esportivos,2025-04-08
Lumman Calçados & Sports,"4,0",Lojas de artigos esportivos,2025-04-08
Reply (Brazil),"4,6",Lojas de artigos esportivos,2025-04-08
Groove Bikes,"4,0",Lojas de artigos esportivos,2025-04-08
Nicola Motos,"4,5",Lojas de artigos esportivos,2025-04-08
Grand Slam,"4,3",Lojas de artigos esportivos,2025-04-08
Jácomo Botas,"4,8",Lojas de artigos esportivos,2025-04-08
Metalúrgica DDL,"4,7",Lojas de artigos esportivos,2025-04-08
CFMOTO Brasil,"4,0",Lojas de artigos esportivos,2025-04-08
Avanti Sports,"5,0",Lojas de artigos esportivos,2025-04-08
Athletic Shop,"4,3",Lojas de artigos esportivos,2025-04-08
Pecmotors,"5,0",Lojas de artigos esportivos,2025-04-08
Lider Sport,"4,3",Lojas de artigos esportivos,2025-04-08
Roger's Tennis,"4,7",Lojas de artigos esportivos,2025-04-08
Zouil,"4,0",Lojas de artigos esportivos,2025-04-08
Yamaha Moto Fácil,"4,5",Lojas de artigos esportivos,2025-04-08
Paratec,"4,0",Lojas de artigos esportivos,2025-04-08
MasterBoys Motos,"4,0",Lojas de artigos esportivos,2025-04-08
Softconfort,"5,0",Lojas de artigos esportivos,2025-04-08
Kandido Calçados,"5,0",Lojas de artigos esportivos,2025-04-08
KF Baterias,"5,0",Lojas de artigos esportivos,2025-04-08
