nome,nota,setor,data_ingestao
Ambev,"4,3",Manufatura,2025-04-08
Nestlé,"4,3",Manufatura,2025-04-08
Unilever,"4,0",Manufatura,2025-04-08
Procter & Gamble,"4,1",Manufatura,2025-04-08
GE,"4,0",Manufatura,2025-04-08
Siemens,"4,1",Manufatura,2025-04-08
Ford Motor Company,"4,0",Manufatura,2025-04-08
L'Oréal,"4,1",Manufatura,2025-04-08
Gerdau,"4,1",Manufatura,2025-04-08
Coca-Cola FEMSA,"4,1",Manufatura,2025-04-08
The HEINEKEN Company,"4,4",Manufatura,2025-04-08
The Coca-Cola Company,"4,1",Manufatura,2025-04-08
ArcelorMittal,"4,3",Manufatura,2025-04-08
BAT,"4,0",Manufatura,2025-04-08
Suzano,"4,4",Manufatura,2025-04-08
Danone,"4,0",Manufatura,2025-04-08
ABB,"4,0",Manufatura,2025-04-08
NIKE,"4,0",Manufatura,2025-04-08
Natura,"4,2",Manufatura,2025-04-08
Caterpillar,"4,1",Manufatura,2025-04-08
Petrobras,"4,6",Manufatura,2025-04-08
Henkel,"4,3",Manufatura,2025-04-08
Volkswagen Group,"4,2",Manufatura,2025-04-08
Mars,"4,3",Manufatura,2025-04-08
Volvo Group,"4,1",Manufatura,2025-04-08
Honda,"4,0",Manufatura,2025-04-08
Kimberly-Clark,"4,0",Manufatura,2025-04-08
Braskem,"4,2",Manufatura,2025-04-08
Philip Morris International,"4,0",Manufatura,2025-04-08
GE HealthCare,"4,2",Manufatura,2025-04-08
SENAI,"4,3",Manufatura,2025-04-08
Michelin,"4,0",Manufatura,2025-04-08
WEG,"4,3",Manufatura,2025-04-08
Petrobras Energía,"4,5",Manufatura,2025-04-08
Dow,"4,1",Manufatura,2025-04-08
General Mills,"4,1",Manufatura,2025-04-08
Klabin,"4,0",Manufatura,2025-04-08
Colgate-Palmolive,"4,1",Manufatura,2025-04-08
Toyota Motor Corporation,"4,0",Manufatura,2025-04-08
BMW Group,"4,1",Manufatura,2025-04-08
Mercedes-Benz Group,"4,1",Manufatura,2025-04-08
Votorantim Cimentos,"4,0",Manufatura,2025-04-08
Solar BR Coca Cola,"4,2",Manufatura,2025-04-08
Scania,"4,1",Manufatura,2025-04-08
Red Bull,"4,2",Manufatura,2025-04-08
M. Dias Branco,"4,2",Manufatura,2025-04-08
Boston Scientific,"4,1",Manufatura,2025-04-08
Intelbras,"4,3",Manufatura,2025-04-08
Bosch,"4,1",Manufatura,2025-04-08
Solvay,"4,0",Manufatura,2025-04-08
Atlas Copco,"4,2",Manufatura,2025-04-08
Tetra Pak,"4,3",Manufatura,2025-04-08
Stryker,"4,1",Manufatura,2025-04-08
JTI - Japan Tobacco International,"4,3",Manufatura,2025-04-08
Motorola Mobility,"4,2",Manufatura,2025-04-08
Sony,"4,1",Manufatura,2025-04-08
Ypê (Química Amparo),"4,2",Manufatura,2025-04-08
Yara,"4,0",Manufatura,2025-04-08
Coca Cola Andina,"4,1",Manufatura,2025-04-08
Givaudan,"4,0",Manufatura,2025-04-08
JLR,"4,0",Manufatura,2025-04-08
Bunge Limited,"4,2",Manufatura,2025-04-08
Pernod Ricard,"4,1",Manufatura,2025-04-08
Grupo Arcor,"4,0",Manufatura,2025-04-08
Ternium,"4,2",Manufatura,2025-04-08
Ferrero,"4,0",Manufatura,2025-04-08
Grupo 3corações,"4,0",Manufatura,2025-04-08
Bunge Alimentos,"4,3",Manufatura,2025-04-08
Beiersdorf,"4,1",Manufatura,2025-04-08
Cooperativa Central Aurora Alimentos,"4,2",Manufatura,2025-04-08
Komatsu,"4,1",Manufatura,2025-04-08
Voith,"4,1",Manufatura,2025-04-08
Trane Technologies,"4,0",Manufatura,2025-04-08
ZEISS Group,"4,0",Manufatura,2025-04-08
Audi,"4,1",Manufatura,2025-04-08
Toyota North America,"4,0",Manufatura,2025-04-08
SKF,"4,0",Manufatura,2025-04-08
Oxiteno,"4,2",Manufatura,2025-04-08
Randoncorp,"4,3",Manufatura,2025-04-08
BENTELER Group,"4,0",Manufatura,2025-04-08
Marcopolo,"4,3",Manufatura,2025-04-08
Aeris Energy,"4,1",Manufatura,2025-04-08
COFCO Group,"4,1",Manufatura,2025-04-08
Yara Brasil Fertilizantes,"4,4",Manufatura,2025-04-08
Aperam,"4,1",Manufatura,2025-04-08
Norsk Hydro,"4,0",Manufatura,2025-04-08
BIC,"4,0",Manufatura,2025-04-08
Evonik,"4,0",Manufatura,2025-04-08
Bosch Rexroth,"4,0",Manufatura,2025-04-08
Furukawa Electric Group,"4,0",Manufatura,2025-04-08
Lindt & Sprüngli,"4,0",Manufatura,2025-04-08
Air Products,"4,0",Manufatura,2025-04-08
NXP Semiconductors,"4,0",Manufatura,2025-04-08
Flowserve,"4,1",Manufatura,2025-04-08
Arauco,"4,1",Manufatura,2025-04-08
Sandvik,"4,0",Manufatura,2025-04-08
Tramontina,"4,3",Manufatura,2025-04-08
Faber-Castell,"4,0",Manufatura,2025-04-08
Toledo do Brasil Indústria de Balanças,"4,4",Manufatura,2025-04-08
Kärcher,"4,0",Manufatura,2025-04-08
Avon Cosméticos,"4,2",Manufatura,2025-04-08
Festo,"4,0",Manufatura,2025-04-08
InterCement,"4,3",Manufatura,2025-04-08
Valmet,"4,1",Manufatura,2025-04-08
Padtec,"4,0",Manufatura,2025-04-08
Copacol- Cooperativa Agroindustrial,"4,4",Manufatura,2025-04-08
Bühler Group,"4,0",Manufatura,2025-04-08
the LEGO Group,"4,3",Manufatura,2025-04-08
ICL Group,"4,0",Manufatura,2025-04-08
FEMSA,"4,2",Manufatura,2025-04-08
Texas Instruments,"4,0",Manufatura,2025-04-08
Bombril,"4,1",Manufatura,2025-04-08
Smith+Nephew,"4,0",Manufatura,2025-04-08
Andreas Stihl,"4,3",Manufatura,2025-04-08
Maxion Wheels,"4,1",Manufatura,2025-04-08
Wärtsilä,"4,0",Manufatura,2025-04-08
Companhia de Tecidos Norte,"4,0",Manufatura,2025-04-08
LANXESS,"4,0",Manufatura,2025-04-08
Camargo Corrêa,"4,3",Manufatura,2025-04-08
Sylvamo,"4,2",Manufatura,2025-04-08
Clarios,"4,0",Manufatura,2025-04-08
Fiat Automóveis,"4,1",Manufatura,2025-04-08
OneSubsea,"4,1",Manufatura,2025-04-08
Leão,"4,4",Manufatura,2025-04-08
Grupo Piracanjuba,"4,1",Manufatura,2025-04-08
Aptar,"4,0",Manufatura,2025-04-08
Royal Canin,"4,0",Manufatura,2025-04-08
Amway,"4,0",Manufatura,2025-04-08
Nidec Global Appliance,"4,0",Manufatura,2025-04-08
Metalsa,"4,1",Manufatura,2025-04-08
SEW-Eurodrive,"4,1",Manufatura,2025-04-08
Marilan Alimentos,"4,0",Manufatura,2025-04-08
Bateria Moura,"4,2",Manufatura,2025-04-08
Midea Carrier,"4,0",Manufatura,2025-04-08
Perfetti Van Melle,"4,0",Manufatura,2025-04-08
Bruning Tecnometal,"4,3",Manufatura,2025-04-08
Bacardi,"4,1",Manufatura,2025-04-08
Elsys Eletrônicos,"4,4",Manufatura,2025-04-08
Itautec,"4,3",Manufatura,2025-04-08
SICPA,"4,0",Manufatura,2025-04-08
Aditya Birla Group,"4,0",Manufatura,2025-04-08
Solinftec,"4,4",Manufatura,2025-04-08
Sadia,"4,2",Manufatura,2025-04-08
Schweitzer Engineering Laboratories,"4,0",Manufatura,2025-04-08
Fertipar,"4,3",Manufatura,2025-04-08
ypf,"4,0",Manufatura,2025-04-08
Cebrace,"4,3",Manufatura,2025-04-08
Hyster-Yale Materials Handling,"4,0",Manufatura,2025-04-08
Porsche,"4,3",Manufatura,2025-04-08
Krones,"4,2",Manufatura,2025-04-08
Michelin North America,"4,1",Manufatura,2025-04-08
XXX Energy Drink,"4,0",Manufatura,2025-04-08
SIG Group,"4,1",Manufatura,2025-04-08
SICK,"4,1",Manufatura,2025-04-08
Tecumseh Products,"4,1",Manufatura,2025-04-08
Endress+Hauser Gruppe,"4,1",Manufatura,2025-04-08
Stihl,"4,1",Manufatura,2025-04-08
LyondellBasell,"4,0",Manufatura,2025-04-08
ARLANXEO,"4,0",Manufatura,2025-04-08
Jungheinrich,"4,0",Manufatura,2025-04-08
AVL,"4,1",Manufatura,2025-04-08
Gomes da Costa,"4,4",Manufatura,2025-04-08
Applied Materials,"4,0",Manufatura,2025-04-08
Yakult,"4,0",Manufatura,2025-04-08
Fertilizantes Heringer,"4,3",Manufatura,2025-04-08
Caramuru,"4,2",Manufatura,2025-04-08
STMicroelectronics,"4,0",Manufatura,2025-04-08
Harsco,"4,0",Manufatura,2025-04-08
MWM International,"4,5",Manufatura,2025-04-08
SEMP TCL,"4,0",Manufatura,2025-04-08
Mabe,"4,2",Manufatura,2025-04-08
Indústrias Romi,"4,0",Manufatura,2025-04-08
Unipar,"4,2",Manufatura,2025-04-08
KLA,"4,0",Manufatura,2025-04-08
ARYZTA,"4,0",Manufatura,2025-04-08
Wickbold,"4,0",Manufatura,2025-04-08
KUKA,"4,1",Manufatura,2025-04-08
NETZSCH Group,"4,1",Manufatura,2025-04-08
CMPC,"4,0",Manufatura,2025-04-08
DATACOM (Brazil),"4,3",Manufatura,2025-04-08
Unicharm,"4,1",Manufatura,2025-04-08
Robert Bosch India,"4,0",Manufatura,2025-04-08
BMW Manufacturing,"4,0",Manufatura,2025-04-08
Infineon Technologies,"4,1",Manufatura,2025-04-08
Fitesa,"4,0",Manufatura,2025-04-08
Infinera,"4,2",Manufatura,2025-04-08
MANE,"4,1",Manufatura,2025-04-08
SMS group,"4,1",Manufatura,2025-04-08
Schuler,"4,0",Manufatura,2025-04-08
Forno de Minas,"4,3",Manufatura,2025-04-08
Tangará Foods,"4,0",Manufatura,2025-04-08
