nome,nota,setor,data_ingestao
Bram Offshore,"4,2",Marine Transportation,2025-04-08
Portonave,"4,5",Marine Transportation,2025-04-08
Ageo Terminais e Armazens Gerais,"4,1",Marine Transportation,2025-04-08
Unimar,"4,2",Marine Transportation,2025-04-08
Altera Infrastructure,"4,1",Marine Transportation,2025-04-08
Super Terminais,"4,2",Marine Transportation,2025-04-08
Foresea (Brazil),"4,5",Marine Transportation,2025-04-08
Skymarine Logistics,"4,1",Marine Transportation,2025-04-08
Commodity Supplies,"4,1",Marine Transportation,2025-04-08
Camorim Serviços Marítimos,"4,1",Marine Transportation,2025-04-08
CTI Cargo,"4,3",Marine Transportation,2025-04-08
Detroit Brasil,"4,1",Marine Transportation,2025-04-08
Dome Serviços Integrados,"4,1",Marine Transportation,2025-04-08
Allcargo Logistics,"4,2",Marine Transportation,2025-04-08
Companhia Brasileira De Offshore,"4,1",Marine Transportation,2025-04-08
G & H Towing,"4,0",Marine Transportation,2025-04-08
VCat Boats,"4,2",Marine Transportation,2025-04-08
Hamburger Hafen und Logistik,"4,3",Marine Transportation,2025-04-08
F. Andreis & Cia,"4,0",Marine Transportation,2025-04-08
ZMax Blue Ship,"4,6",Marine Transportation,2025-04-08
Krooze,"4,1",Marine Transportation,2025-04-08
Terminal Marítimo do Guarujá,"4,7",Marine Transportation,2025-04-08
Complexo do Pecém,"4,2",Marine Transportation,2025-04-08
Transpmar,"4,0",Marine Transportation,2025-04-08
TPAR Porto de Angra,"4,8",Marine Transportation,2025-04-08
CMM Offshore,"4,1",Marine Transportation,2025-04-08
Safe Logistics,"4,0",Marine Transportation,2025-04-08
Navemazonia,"4,5",Marine Transportation,2025-04-08
COPI Operações Integradas,"4,0",Marine Transportation,2025-04-08
Barra do Rio,"4,0",Marine Transportation,2025-04-08
Triton Yachts,"5,0",Marine Transportation,2025-04-08
Porto Vale,"4,0",Marine Transportation,2025-04-08
L&L Crewing,"4,5",Marine Transportation,2025-04-08
Supply Offshore Serviços Técnicos Especializados Ltda,"5,0",Marine Transportation,2025-04-08
Barra do Pará - Belém Pilot,"5,0",Marine Transportation,2025-04-08
Starmar Serviços Marítimos,"5,0",Marine Transportation,2025-04-08
Marina Igararecê,"5,0",Marine Transportation,2025-04-08
BC PORT,"5,0",Marine Transportation,2025-04-08
CatSul,"5,0",Marine Transportation,2025-04-08
Leme Serviços Navais,"5,0",Marine Transportation,2025-04-08
Alumax Nautica,"4,0",Marine Transportation,2025-04-08
Grupo Pipes,"5,0",Marine Transportation,2025-04-08
Porto de Areia Nossa Senhora Aparecida,"5,0",Marine Transportation,2025-04-08
Navegação Natal,"5,0",Marine Transportation,2025-04-08
