nome,nota,setor,data_ingestao
Oba Hortifruti,"4,0",Mercados e mercearias,2025-04-08
Trader Joe's,"4,1",Mercados e mercearias,2025-04-08
Wegmans Food Markets,"4,1",Mercados e mercearias,2025-04-08
H E B,"4,1",Mercados e mercearias,2025-04-08
La Anónima,"4,1",Mercados e mercearias,2025-04-08
BI-LO,"4,2",Mercados e mercearias,2025-04-08
None Such Farm,"4,0",Mercados e mercearias,2025-04-08
Trimais Supermercado,"4,0",Mercados e mercearias,2025-04-08
Casa Flora,"4,2",Mercados e mercearias,2025-04-08
Supermercado Now,"4,1",Mercados e mercearias,2025-04-08
Grupo Amigão,"4,0",Mercados e mercearias,2025-04-08
Boza Supermercados,"4,3",Mercados e mercearias,2025-04-08
Mercado Brasco,"4,2",Mercados e mercearias,2025-04-08
Nosso Atacarejo,"4,1",Mercados e mercearias,2025-04-08
Roche Bros. Supermarkets,"4,0",Mercados e mercearias,2025-04-08
Tracbel Agro,"4,0",Mercados e mercearias,2025-04-08
Sítio Verde Hortifruti,"4,6",Mercados e mercearias,2025-04-08
Super Mercadinhos São Luiz,"4,6",Mercados e mercearias,2025-04-08
Grupo Pajeú,"4,2",Mercados e mercearias,2025-04-08
Pátio Gourmet,"4,7",Mercados e mercearias,2025-04-08
Supermercados Codebal,"4,9",Mercados e mercearias,2025-04-08
Oliver's Markets,"4,1",Mercados e mercearias,2025-04-08
Extra Supermercado,"4,2",Mercados e mercearias,2025-04-08
Poupaki,"4,0",Mercados e mercearias,2025-04-08
Catuaí Palladium Shopping Center,"4,3",Mercados e mercearias,2025-04-08
CURIO SUPERMERCADOS,"4,0",Mercados e mercearias,2025-04-08
Grupo JChagas,"4,0",Mercados e mercearias,2025-04-08
Supermercado Joanin,"4,6",Mercados e mercearias,2025-04-08
Cenourão,"4,4",Mercados e mercearias,2025-04-08
Dib Supermercados,"4,8",Mercados e mercearias,2025-04-08
GRUPO CRIS FRUT,"4,0",Mercados e mercearias,2025-04-08
Poupe Real Supermercados,"4,0",Mercados e mercearias,2025-04-08
Ito Frutas,"4,0",Mercados e mercearias,2025-04-08
"Martins (Linhares, Brazil)","4,3",Mercados e mercearias,2025-04-08
Badotti,"4,5",Mercados e mercearias,2025-04-08
Macçã Desidratados,"4,3",Mercados e mercearias,2025-04-08
Supermercado Verdí Bairro,"5,0",Mercados e mercearias,2025-04-08
Sacolão Supermercados,"4,3",Mercados e mercearias,2025-04-08
Mezzalira,"4,4",Mercados e mercearias,2025-04-08
Shopping Bosque Grão-Pará,"4,2",Mercados e mercearias,2025-04-08
SuperFood,"4,7",Mercados e mercearias,2025-04-08
Organizacoes Marques Center,"5,0",Mercados e mercearias,2025-04-08
Leve Hortifruti,"5,0",Mercados e mercearias,2025-04-08
Consul,"4,0",Mercados e mercearias,2025-04-08
Disul Supermercado,"5,0",Mercados e mercearias,2025-04-08
Preço Baixo meio a meio,"4,0",Mercados e mercearias,2025-04-08
Supermercado Leão da Serra,"4,5",Mercados e mercearias,2025-04-08
Gualtieri Supermercado,"4,1",Mercados e mercearias,2025-04-08
Redepas Rosa Felipe,"4,4",Mercados e mercearias,2025-04-08
Supermercado Fialho,"4,0",Mercados e mercearias,2025-04-08
Central Supermercados,"4,0",Mercados e mercearias,2025-04-08
Silveira Supermercados Em Casa,"4,0",Mercados e mercearias,2025-04-08
Hortifruti Imigrantes,"5,0",Mercados e mercearias,2025-04-08
Frutalha,"4,4",Mercados e mercearias,2025-04-08
Supermercado Carneiro,"5,0",Mercados e mercearias,2025-04-08
Supermercados Unicos,"4,0",Mercados e mercearias,2025-04-08
Royal Foods Company,"4,6",Mercados e mercearias,2025-04-08
Frutícola Irmãos Faisão,"5,0",Mercados e mercearias,2025-04-08
Super Gumz,"4,0",Mercados e mercearias,2025-04-08
Super das frutas,"5,0",Mercados e mercearias,2025-04-08
Supermercados 3Jota,"4,0",Mercados e mercearias,2025-04-08
Santa Clara Supermercados,"4,1",Mercados e mercearias,2025-04-08
Hortifruti Do Campo,"5,0",Mercados e mercearias,2025-04-08
Supermercado Strieder,"5,0",Mercados e mercearias,2025-04-08
Jayme Vieira Supermercado,"5,0",Mercados e mercearias,2025-04-08
Pompeia Supermercados,"5,0",Mercados e mercearias,2025-04-08
Quitanda (Vitória),"4,0",Mercados e mercearias,2025-04-08
Rede Forte Supermercado,"5,0",Mercados e mercearias,2025-04-08
JJR Supermercado,"5,0",Mercados e mercearias,2025-04-08
