nome,nota,setor,data_ingestao
Globo,"4,2",Mídia e comunicação,2025-04-08
Grupo Globo,"4,1",Mídia e comunicação,2025-04-08
Record TV,"4,0",Mídia e comunicação,2025-04-08
NBCUniversal,"4,0",Mídia e comunicação,2025-04-08
Riot Games,"4,1",Mídia e comunicação,2025-04-08
ESPN,"4,0",Mídia e comunicação,2025-04-08
Elsevier,"4,0",Mídia e comunicação,2025-04-08
Electronic Arts,"4,1",Mídia e comunicação,2025-04-08
PlayStation,"4,0",Mídia e comunicação,2025-04-08
Private TV,"4,1",Mídia e comunicação,2025-04-08
Slide Inc,"4,4",Mídia e comunicação,2025-04-08
Argus Media,"4,0",Mídia e comunicação,2025-04-08
Springer Nature,"4,0",Mídia e comunicação,2025-04-08
Deezer,"4,3",Mídia e comunicação,2025-04-08
Aquiris Game Studio,"4,2",Mídia e comunicação,2025-04-08
BMG,"4,1",Mídia e comunicação,2025-04-08
Nickelodeon,"4,1",Mídia e comunicação,2025-04-08
HBO,"4,0",Mídia e comunicação,2025-04-08
Gazeus Games,"4,2",Mídia e comunicação,2025-04-08
CANAL+ Group,"4,2",Mídia e comunicação,2025-04-08
Fortis Games,"4,0",Mídia e comunicação,2025-04-08
Watch Brasil,"4,4",Mídia e comunicação,2025-04-08
IGG,"4,5",Mídia e comunicação,2025-04-08
Grupo Planeta,"4,4",Mídia e comunicação,2025-04-08
Playboy,"4,1",Mídia e comunicação,2025-04-08
DIRECTV Latin America,"4,0",Mídia e comunicação,2025-04-08
Jolivi,"4,5",Mídia e comunicação,2025-04-08
Financial Times,"4,3",Mídia e comunicação,2025-04-08
Chleba Digital Agency,"4,0",Mídia e comunicação,2025-04-08
Pixar Animation Studios,"4,4",Mídia e comunicação,2025-04-08
Lucasfilm,"4,4",Mídia e comunicação,2025-04-08
Manifesto Game Studio,"4,4",Mídia e comunicação,2025-04-08
Casa Publicadora Brasileira,"4,0",Mídia e comunicação,2025-04-08
Hulu,"4,0",Mídia e comunicação,2025-04-08
TV Gazeta,"4,2",Mídia e comunicação,2025-04-08
Turner International,"4,2",Mídia e comunicação,2025-04-08
Lumina Datamatics,"4,1",Mídia e comunicação,2025-04-08
Cartoon Network,"4,2",Mídia e comunicação,2025-04-08
DreamWorks Animation,"4,2",Mídia e comunicação,2025-04-08
Pluto TV,"4,1",Mídia e comunicação,2025-04-08
FremantleMedia,"4,0",Mídia e comunicação,2025-04-08
INSANE,"4,2",Mídia e comunicação,2025-04-08
Industrial Light & Magic,"4,3",Mídia e comunicação,2025-04-08
Valnet Inc.,"4,2",Mídia e comunicação,2025-04-08
Null Corporation,"4,2",Mídia e comunicação,2025-04-08
MGID,"4,7",Mídia e comunicação,2025-04-08
Marvel Entertainment,"4,0",Mídia e comunicação,2025-04-08
InnoGames,"4,2",Mídia e comunicação,2025-04-08
Zynga,"4,2",Mídia e comunicação,2025-04-08
Chess.com,"4,5",Mídia e comunicação,2025-04-08
Supercell,"4,1",Mídia e comunicação,2025-04-08
The Pokémon Company International,"4,1",Mídia e comunicação,2025-04-08
National Geographic Society,"4,0",Mídia e comunicação,2025-04-08
Animal Logic,"4,3",Mídia e comunicação,2025-04-08
BMJ,"4,2",Mídia e comunicação,2025-04-08
Universal Pictures,"4,3",Mídia e comunicação,2025-04-08
Pocket Gems,"4,3",Mídia e comunicação,2025-04-08
Publitas,"4,6",Mídia e comunicação,2025-04-08
Sistema Verdes Mares de Comunicação,"4,3",Mídia e comunicação,2025-04-08
The Boston Globe,"4,0",Mídia e comunicação,2025-04-08
Valve Corporation,"4,6",Mídia e comunicação,2025-04-08
Insider,"4,5",Mídia e comunicação,2025-04-08
