nome,nota,setor,data_ingestao
Vale,"4,3",Mineração e extração,2025-04-08
Anglo American,"4,3",Mineração e extração,2025-04-08
The Mosaic Company,"4,1",Mineração e extração,2025-04-08
Nexa Resources,"4,2",Mineração e extração,2025-04-08
AngloGold Ashanti,"4,1",Mineração e extração,2025-04-08
Metso,"4,2",Mineração e extração,2025-04-08
Belgo Bekaert Arames,"4,0",Mineração e extração,2025-04-08
Furukawa Electric Group,"4,0",Mineração e extração,2025-04-08
Samarco,"4,7",Mineração e extração,2025-04-08
Rio Tinto,"4,0",Mineração e extração,2025-04-08
Hydro,"4,1",Mineração e extração,2025-04-08
Kinross Gold,"4,1",Mineração e extração,2025-04-08
Primetals Technologies,"4,3",Mineração e extração,2025-04-08
ICONIC,"4,2",Mineração e extração,2025-04-08
Mineração Rio do Norte,"4,5",Mineração e extração,2025-04-08
BHP,"4,1",Mineração e extração,2025-04-08
Yamana Gold,"4,1",Mineração e extração,2025-04-08
OCP Groupe,"4,2",Mineração e extração,2025-04-08
PetroReconcavo,"4,2",Mineração e extração,2025-04-08
Weir ESCO,"4,0",Mineração e extração,2025-04-08
Jaguar Mining,"4,1",Mineração e extração,2025-04-08
Hindalco,"4,1",Mineração e extração,2025-04-08
Lundin Mining,"4,0",Mineração e extração,2025-04-08
Ero (Brasil),"4,4",Mineração e extração,2025-04-08
OZ Minerals,"4,3",Mineração e extração,2025-04-08
Pimenta de Ávila,"4,0",Mineração e extração,2025-04-08
Aura Minerals,"4,5",Mineração e extração,2025-04-08
Kinross Brasil Mineração,"4,5",Mineração e extração,2025-04-08
AMG Brasil SA,"4,5",Mineração e extração,2025-04-08
Deswik,"4,2",Mineração e extração,2025-04-08
Bun Tech Tecnologia Em Insumos,"4,0",Mineração e extração,2025-04-08
Titan America,"4,4",Mineração e extração,2025-04-08
Brazauro Recurso Minerais,"4,4",Mineração e extração,2025-04-08
Brass Engineering International,"4,1",Mineração e extração,2025-04-08
Barrick Gold,"4,2",Mineração e extração,2025-04-08
Lagotela,"4,2",Mineração e extração,2025-04-08
ALUMÍNIO PERFILEVE,"4,4",Mineração e extração,2025-04-08
Cameco,"4,1",Mineração e extração,2025-04-08
IntelliSense.io,"4,4",Mineração e extração,2025-04-08
Araguaia Níquel Metais,"4,2",Mineração e extração,2025-04-08
PAMA,"4,7",Mineração e extração,2025-04-08
MMG (Australia),"4,0",Mineração e extração,2025-04-08
SMD,"4,1",Mineração e extração,2025-04-08
Uranium One,"4,4",Mineração e extração,2025-04-08
Luck Companies,"4,1",Mineração e extração,2025-04-08
Persona (CA),"4,8",Mineração e extração,2025-04-08
Petra Agregados,"4,7",Mineração e extração,2025-04-08
Minasligas,"4,4",Mineração e extração,2025-04-08
Drummond Company,"4,3",Mineração e extração,2025-04-08
Tekno Kroma,"4,2",Mineração e extração,2025-04-08
Ligga S/A,"4,7",Mineração e extração,2025-04-08
Metal One Steel Plate Processing do Brasil,"4,5",Mineração e extração,2025-04-08
Maffei,"4,1",Mineração e extração,2025-04-08
Crosslam,"4,5",Mineração e extração,2025-04-08
Terra Goyana Mineradora,"4,1",Mineração e extração,2025-04-08
Libra Ligas do Brasil,"4,1",Mineração e extração,2025-04-08
