nome,nota,setor,data_ingestao
AIESEC,"4,5",ONGs e instituições sem fins lucrativos,2025-04-08
The Church of Jesus Christ of Latter-day Saints,"4,6",ONGs e instituições sem fins lucrativos,2025-04-08
Narcotics Anonymous World Services,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
Insper,"4,3",ONGs e instituições sem fins lucrativos,2025-04-08
Other,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
The Nature Conservancy,"4,1",ONGs e instituições sem fins lucrativos,2025-04-08
UNICEF,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Médecins Sans Frontières,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Igreja Universal do Reino de Deus,"4,1",ONGs e instituições sem fins lucrativos,2025-04-08
Fundação Petrobras de Seguridade Social,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
NADA,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
GRAACC,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Fundação Estudar,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
ADRA,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
UNHCR,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Compassion International,"4,4",ONGs e instituições sem fins lucrativos,2025-04-08
AAAS,"4,3",ONGs e instituições sem fins lucrativos,2025-04-08
Fundação Instituto de Administração,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
Enactus,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
World Food Programme,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Fraunhofer-Gesellschaft,"4,1",ONGs e instituições sem fins lucrativos,2025-04-08
Mosaic,"4,1",ONGs e instituições sem fins lucrativos,2025-04-08
UNOPS,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Associação Brasileira de A Igreja de Jesus Cristo dos Santos dos Últimos Dias,"4,5",ONGs e instituições sem fins lucrativos,2025-04-08
Junior Acheivement,"4,3",ONGs e instituições sem fins lucrativos,2025-04-08
Ronald McDonald House Charities,"4,1",ONGs e instituições sem fins lucrativos,2025-04-08
Associação Congregação de Santa Catarina,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
Fundacred,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Fundação Itaú Unibanco,"4,1",ONGs e instituições sem fins lucrativos,2025-04-08
YES,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
Generation,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Centro de Integração Empresa Escola (RS),"4,3",ONGs e instituições sem fins lucrativos,2025-04-08
TECHO,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Sustenidos,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Seneca Family of Agencies,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
Alcoholics Anonymous,"4,0",ONGs e instituições sem fins lucrativos,2025-04-08
Saúde Petrobras,"4,7",ONGs e instituições sem fins lucrativos,2025-04-08
UN-HABITAT,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
IEEE,"4,2",ONGs e instituições sem fins lucrativos,2025-04-08
Institut Pasteur,"4,3",ONGs e instituições sem fins lucrativos,2025-04-08
