nome,nota,setor,data_ingestao
Morada da Paz,"4,3",Organização de eventos,2025-04-08
Luto Curitiba,"4,3",Organização de eventos,2025-04-08
Troupe Brasil,"4,5",Organização de eventos,2025-04-08
Grupo Colina,"4,2",Organização de eventos,2025-04-08
Free Fire Booyah!,"4,0",Organização de eventos,2025-04-08
Grupo Krause,"4,5",Organização de eventos,2025-04-08
Plano Angelus,"4,9",Organização de eventos,2025-04-08
Futura Convites,"4,3",Organização de eventos,2025-04-08
Grupo Recanto da Paz,"4,4",Organização de eventos,2025-04-08
The Maxus Group,"4,3",Organização de eventos,2025-04-08
Parque Vila Germânica,"4,0",Organização de eventos,2025-04-08
Sempre Assistência Familiar,"4,4",Organização de eventos,2025-04-08
Sítio São Jorge,"4,7",Organização de eventos,2025-04-08
C&L Eventos e Produções,"5,0",Organização de eventos,2025-04-08
Indaiá Eventos,"4,8",Organização de eventos,2025-04-08
Giga Soluções Audiovisuals,"5,0",Organização de eventos,2025-04-08
Rede Memorial Fortaleza,"5,0",Organização de eventos,2025-04-08
AwakeBox,"5,0",Organização de eventos,2025-04-08
Alphacampus,"4,0",Organização de eventos,2025-04-08
AG-R EYE Obelisco Serviços Funerários,"4,6",Organização de eventos,2025-04-08
KiDi+,"5,0",Organização de eventos,2025-04-08
Cemitério Bosque da Paz,"5,0",Organização de eventos,2025-04-08
Cemitério e Crematório Parque das Flores,"5,0",Organização de eventos,2025-04-08
Funerária Santa Casa de Belo Horizonte,"5,0",Organização de eventos,2025-04-08
Serviços de Assistência Familiar Foz,"4,0",Organização de eventos,2025-04-08
Ruby Design,"5,0",Organização de eventos,2025-04-08
Santa Luzia Funerária,"5,0",Organização de eventos,2025-04-08
7 New Terceirização de serviços,"5,0",Organização de eventos,2025-04-08
Buffet Catharina,"4,0",Organização de eventos,2025-04-08
Upside Down Entertainment,"5,0",Organização de eventos,2025-04-08
Upside Down Entertainment,"5,0",Organização de eventos,2025-04-08
Funeraria Paraíso,"5,0",Organização de eventos,2025-04-08
HN Eventos e Promoções,"5,0",Organização de eventos,2025-04-08
PromoExpo,"4,0",Organização de eventos,2025-04-08
JA Promoções & Eventos,"5,0",Organização de eventos,2025-04-08
