nome,nota,setor,data_ingestao
Magazine Luiza,"4,1",Outras lojas varejistas,2025-04-08
Lojas Bemol,"4,3",Outras lojas varejistas,2025-04-08
Shoulder,"4,2",Outras lojas varejistas,2025-04-08
DPaschoal,"4,1",Outras lojas varejistas,2025-04-08
Obramax,"4,6",Outras lojas varejistas,2025-04-08
Grupo EBD,"4,1",Outras lojas varejistas,2025-04-08
Leo Madeiras,"4,1",Outras lojas varejistas,2025-04-08
Tambasa Atacadistas,"4,3",Outras lojas varejistas,2025-04-08
Evino,"4,2",Outras lojas varejistas,2025-04-08
Gocase Brasil,"4,4",Outras lojas varejistas,2025-04-08
Balaroti,"4,6",Outras lojas varejistas,2025-04-08
Unidasul Distribuidora Alimentícia,"4,1",Outras lojas varejistas,2025-04-08
Grupo Moas,"4,1",Outras lojas varejistas,2025-04-08
Léo Cosméticos,"4,2",Outras lojas varejistas,2025-04-08
BEYOUNG,"4,2",Outras lojas varejistas,2025-04-08
Grupo Florestas - O boticario,"4,1",Outras lojas varejistas,2025-04-08
Elettromec,"4,1",Outras lojas varejistas,2025-04-08
Dona do Lar,"4,4",Outras lojas varejistas,2025-04-08
Golden Distribuidora,"4,1",Outras lojas varejistas,2025-04-08
Carmehil,"4,0",Outras lojas varejistas,2025-04-08
Etsy,"4,0",Outras lojas varejistas,2025-04-08
TCC Verizon Authorized Retailer,"4,2",Outras lojas varejistas,2025-04-08
MasterSense,"4,0",Outras lojas varejistas,2025-04-08
Dutra Máquinas,"4,1",Outras lojas varejistas,2025-04-08
MH Alshaya,"4,0",Outras lojas varejistas,2025-04-08
Alimentos Wilson,"4,0",Outras lojas varejistas,2025-04-08
Sooper,"4,3",Outras lojas varejistas,2025-04-08
Encopel,"4,9",Outras lojas varejistas,2025-04-08
TCT Brasil,"4,0",Outras lojas varejistas,2025-04-08
Tagplus,"4,7",Outras lojas varejistas,2025-04-08
Gripmaster,"4,0",Outras lojas varejistas,2025-04-08
Bonanza,"4,0",Outras lojas varejistas,2025-04-08
JPavani Supermercados,"4,3",Outras lojas varejistas,2025-04-08
Rede JS Peças,"4,0",Outras lojas varejistas,2025-04-08
JEM Security,"4,1",Outras lojas varejistas,2025-04-08
Denteck (BR),"4,1",Outras lojas varejistas,2025-04-08
Melhor Escola,"4,1",Outras lojas varejistas,2025-04-08
Premium Star Group,"4,5",Outras lojas varejistas,2025-04-08
Grupo Matos,"4,4",Outras lojas varejistas,2025-04-08
Celular Center,"4,0",Outras lojas varejistas,2025-04-08
GPA (Brazil),"4,2",Outras lojas varejistas,2025-04-08
Brewers Decorator Centre,"4,0",Outras lojas varejistas,2025-04-08
Wiler-K Decoração,"4,4",Outras lojas varejistas,2025-04-08
Nuts.com,"4,4",Outras lojas varejistas,2025-04-08
JLS Trading,"4,3",Outras lojas varejistas,2025-04-08
Cloro Mato Grosso,"4,3",Outras lojas varejistas,2025-04-08
Custom Decorators,"4,4",Outras lojas varejistas,2025-04-08
COMAB Materiais de Construção e Lar,"4,1",Outras lojas varejistas,2025-04-08
Revest Acabamentos,"4,6",Outras lojas varejistas,2025-04-08
Mega Vale Cosméticos,"4,1",Outras lojas varejistas,2025-04-08
J. Monte Center,"4,0",Outras lojas varejistas,2025-04-08
Outlet das Tintas,"4,0",Outras lojas varejistas,2025-04-08
Shiniko Izza do Brasil Peças Automotivas,"4,1",Outras lojas varejistas,2025-04-08
MrBeast,"4,6",Outras lojas varejistas,2025-04-08
Virtual Auto Pecas,"4,4",Outras lojas varejistas,2025-04-08
Optica,"4,1",Outras lojas varejistas,2025-04-08
Preceiro Atacadista,"4,4",Outras lojas varejistas,2025-04-08
Felícia Festas,"4,1",Outras lojas varejistas,2025-04-08
R3 Suprimentos,"4,2",Outras lojas varejistas,2025-04-08
Fique Diva com Niely,"4,6",Outras lojas varejistas,2025-04-08
R.R. Parafusos (Brazil),"4,2",Outras lojas varejistas,2025-04-08
Brida Lubrificantes,"4,2",Outras lojas varejistas,2025-04-08
Unimek,"4,3",Outras lojas varejistas,2025-04-08
Nautika Lazer,"4,2",Outras lojas varejistas,2025-04-08
Construilma Material de Construção,"4,7",Outras lojas varejistas,2025-04-08
